,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002236.SZ,X002049.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,X002085.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.483395863068426,0,0,0,0,0,0,0.00196337355194353,0,0.0838128465760857,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286628357540953,0,0,0.0627838129716339,0,0,0,0,0.0178081148793653,0.194339887532674,0,-0.0120535109876851,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0.0014730961342879,0,0,0.111249923148213,0,0,0,0,0,0,0.0911574837213756,0,0,0.0117832921537906,0,0.0523936254603669,0,0.165000608503228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154542947150973,0,0.0016623513958498,0,0,0.0772243628960092,0,0,0,0,0,0,0,0.0607118097631426,0,0,-0.0923779767666338,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0.374588255556711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274077870384539,0,0,0,0.0792191597020058,0,0,0.0916517925561169,0,0,0,0,0,0,0,0,0,0,-0.0582224403456355,0,0,0,0,0.0323511931384673,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.320543102073121,0,0.0975018987484486,0,0,0,0,0,0.0418487779484834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488886522668884,0,0,0,0,0,0.0150189720694387,0,0.0208686038870961,0,0,0.0210799340916087,0,0,-0.0846523799825214,0,0,0,0,0.00599445335689408,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0.0916635155601455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201985511617101,0.0385782385905817,0,0,0,0,0.104366973017322,0.331946446198278,-0.0482293776443943,0,0,0,-0.0018022838749303,0,0,0,-0.0577527474404983,0,0,0,0.0666239997232715,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0.318867351311296,0,0,0,0.0458865890898583,0,0,0,0,0,0,0,0.0463331499272653,0,0,0,0,0,0,0.110246102599337,0,0,0,0,0,0,0,0.205158378056937,0,-0.0324845754130881,0.0954953743222435,0,0,0,0.0529755638424434,0,0,0,0,0,-0.0311193805968531,0,0,0,0,0,0,0,-0.0594433286512749,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221138916219403,0,0,0,0.0989717693293715,0,0,0,0,0.203973733790245,0,0,0,0,0.181845048533979,0,0,0,0,0,0,0,0.0674097059904987,0.0725989252097111,0,0,0,0,0.0260969708530959,0,0,-0.0446743064441343,0,0,0,0,0.0216110606892772,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260401821738735,0,0,0.0642277769385778,0,0,0.00812469969396113,0,0.00153415207717322,0.108916200559524,0.118675242059597,0,0,0,-0.0571877097157615,0,0,0,0,0,0,0,0.0164125875730604,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27132735296985,0,0,0.213009348537967,0,0,0,-0.0207786544268077,0,0,0,0,0,0.0519293286254765,0,0,0,0,0,0,0,0.0993173506080673,0,-0.0174677490690391,0,0,0,0,0,0,0,0,0,0,-0.0120921118398461,0,0,0,0,-0.0037210352969405,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0331704221202089,0,0,0,0.0355757275341431,0,0.0225163572559757,0,0,0,0,0,0.0975370633428017,0,0,0,0,0.0286743160327555,0.130275805231315,0.129815819586706,0,0,0,0,0,0,0.232646718113789,0,0,0.0146385863649475,0,0,0,0,-6.93889390390723e-18,0,0,0,0.00805689512934246,0,0,0,0,0,0,0,0,0,0,0,0
