,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X600066.SH,X002292.SZ,X000559.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X601877.SH,X002129.SZ,X600177.SH,X000016.SZ,X000547.SZ,X600839.SH,X300124.SZ,X000568.SZ,X600435.SH,X002465.SZ,X300003.SZ,X600582.SH,X002294.SZ,X002074.SZ,X002276.SZ,X000066.SZ,X600252.SH,X002456.SZ,X000581.SZ,X000550.SZ,X000977.SZ,X002008.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000550.SZ,0,0,0,0,0,0.169570654140385,0,0,0,0,0,0,0,0.0984720399417227,0.299921700993024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362949813744717,0,0,0,0.103419519674004,0,0,0,0,0,0.133609286331484,0,0,0,0,0,0,0,0,0,0,0,0,-0.00451344480456688,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.147061545774298,0,0,0.184045067257081,0,0,0,0,0.100355880041537,0,0,0,0.127258410153632,0,0,0,0,0,0,0,0,0,0,0.00556237652077327,0,0,0,0,0.0848757679142216,0,0,0,0,0,0,0.0133580445048252,0,0,0,0,0.021215112751328,0,0,0,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0.105475710113797,0,0.0456821756626723,0,0,0.108647191818268,0,0,0,0.310108138817445,0,0,0,0,0,0.00190763928925114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129735477134723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130205114325638,0.516376788743212,0,0,0,0,0.0654962903215663,0,0,0,0,0,0,0.00814821678931958,0,0,0,0.0776026879895502,0,0,0,0,0,0,0.0317201330883524,0,0,0,0,0,0,-0.00210761390847005,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0.0750879409936411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000810280900255817,0,0,0,0,0.124719426015441,-0.244851152863862,0,0,0,0,-0.0738250408453084,0,0.0728958513107458,0,0,0,0,0,-0.103926222716589,0,0,0.0985695530371201,0,0.0650473615902247,0,0,0.0222783280017394,-0.0487088900937593,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,-0.439700617671516,0,0,0,0,0,0,0,0,0,0,-2.10562113234181,0,-0.11825985239655,0,0,0,0,-0.485905969760884,0,-0.856497941748048,-0.397990270294163,0,-0.756263251040361,0,0,0,0,5.55111512312578e-17,0,0,0,-0.600053553199917,-0.662624159501411,0,0.270935746345638,0,0,0,0,1.11500496442373,0,0,0,0.0596579422276418,-0.522287649827406,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.488662050136408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170820682571028,0,0,0,0,0,0,0
RealEstate_excess,0,-0.0843089441807796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622300357144397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256379195284372,0,0,0.00119366900028557,-0.121206175597251,0.207853250196468,0,0,0,-0.103358980399088,0,0,0,0,0,0,0,0,0,0,0,0,-0.0452530356175603,-0.0048438223782159,0,0,0,0,0,0
MKreturn,0,0,-0.213868338052399,0,0,0,0,-0.105924204739296,0,0,0,0,0,0,0,0,0,0,0,0,0.0552813432363208,0,0,0,0,0,0,0,0.0219011383595595,0,0,0.126578668281521,0,0,0,0,0,0,0,-0.0462454402028204,0.0534063386089663,0,0,0,0.0328688357623364,0,0,0,0,0,0,-0.0127604627627545,0,0.0741441827505938,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000818024211040078,0,0,0,0,0.149993990569907,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184654363264014,2.71050543121376e-20,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00600139622342253,0,0,0,0,0,0,0,0.00433249241228848,0.00667507542254284,0,0,0,0,0,0.00134516733029759,0,0,0,0,-0.00335811451425935,0,0,0,0.00222484419807714,0,0,0,0,0,0,0.0137873084273535,0.00439098750426364,0,9.86181269803243e-05,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033879131700736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264106078493232,0,0,0.00462883126607147,0,0,-0.00224331869206147,0,0,0,0,0,0,-0.0067110589224944,-0.00596114604895145,-0.000551324238794133,0,0,0,0,0,0
