,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600276.SH,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X000100.SZ,X600271.SH,X600031.SH,X600372.SH,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002292.SZ,X002475.SZ,X002236.SZ,X000559.SZ,X002129.SZ,X600839.SH,X600066.SH,X000547.SZ,X300124.SZ,X600177.SH,X601877.SH,X600582.SH,X002465.SZ,X600435.SH,X300003.SZ,X000016.SZ,X002456.SZ,X000568.SZ,X002294.SZ,X002498.SZ,X002179.SZ,X002049.SZ,X600198.SH,X002008.SZ,X000977.SZ,X000800.SZ,X600060.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,0,0.0840337370638297,0,0.51947384062118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170518246587142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293539093453335,0,0,0,0,0,0,0,0,-0.000567089106869199,-0.00396989106971011,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0.0237578212898756,0,0,0,0,0.21192710530244,0,0,0,0,0.0398900457991566,0,0,0.0277276278698345,0,0.161697698234548,0.0837644199339465,0,0,0,0,0,0,0.239530251320674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102044615599546,0,0,0,-0.00650036835555321,0.013415319440878,0,0,0,0,0,0
X002498.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366381146923874,0.100586859491817,0,0.024703974699362,0,0,0,0,0,0.0923941068209691,0,0,0,0,0,0,0,0,-0.0510788724733211,-0.0535299331323593,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0534150058664205,0,0,0,0.257598588385323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.309665118395537,0,0,0,0.0321787991077882,0,0.010471666457625,0,-0.0212791950207118,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0330729384051775,0,0,0,0.102398803926311,0,0,0,0,0,0,0,0,0.277157529916661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00639090313411778,0,0,0,0,0,0,0
X600198.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.100589082208318,0,0,0,0,0,0,0,0,0,0,0,0,0.0606840640714287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436284113718845,0,0.145589397492355,0,0.180491860812988,0,0,0,-0.0186974655628513,-0.0069618573994199,0,0,0,0,0,0
X002008.SZ,0,0,0,0.0238364410497601,0,0,0,0,0,0,0,0,0.0612953237143281,0.0994682665660837,0,0.273046749407814,0,0,0,0,0,0,0,0,0,0.0851629291601902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894372158222406,0,0,0,0.0769846884171689,0,0,0.0029445274357667,-0.00956525038413502,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0.0790819105950329,0,0,0.032724847870346,0,0,0,0,0,0,0,0,0.2442579140366,0,0,0,0,0,0,0,0,0,0,0.107074976233082,0,0,0,0,0,0,0.0332680706615218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425270555762765,0.0562544468639925,0,-0.0171377119333806,-0.0197901937006778,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0505474040864313,0,0,0,0,0,0,0,0,0.0444154255772163,0,0.0189321365076662,0,0.230268284484608,0,0,0,0,0,0.0064493691702626,0,0,0,0,0,0,0,0.0366257456031569,0,0,0.00746074734247334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391972017529751,0.251694255926345,0,0,0,0,0,0,0,0.0664879781581029,0.0834154032612761,0,0.145179366787726,0,0,0,0,0,0,0,0,0.0074270597154966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00881073405151801,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589959974541329,0,0,0,0,0,0.243967431013445,0,0,0,0.0143228117237489,0,0,0,0.0720478653375913,0,0,0,0,0,0,0,0,0,0.119197000304656,0,0,0.195647138085758,0,0.0205160006672739,0,0,-0.0133424778135875,-0.0218886431084818,0,0,0,0,0,0
Change_TY3M,0.219614707380115,0,0,0,0.018542193529922,0,0,0,0,0,0,0,-0.0254638444655314,0,0,-0.0487883062844111,0,0,0,0,0.0785151649183312,0,0,0,0,0,-0.15514712926836,-0.0444259799746069,0,0,0,0,0,0,0,-0.0890303549985306,0.328709710453198,-0.188791435992356,0,0,0,0,0,0,-0.0136449971538812,0.0132342565615069,0,0.00292053299577993,0,0,0,-0.0020666064558579,-0.0399361973841777,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0.789914700274675,0,0,1.11058289637309,0,0,0,0.160303403080219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55814180912229,-0.486230602271534,0,0,0,0,0,0,0,0,0,0,-1.0387778925591,0,0,0,0,0,-1.07556605712848,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40052401393227,0,0,0,0,0,0,0,-0.178285932346363,0,0,0,0,0,0,0,0,0.114962122967734,0,0,0,0,0,0,0
RealEstate_excess,0,-0.155771368870708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102725456932869,0.14626517798919,0,-0.263205046328799,0,0,0,0,0,0.135626458913304,0,0.0448497611951618,-0.137352012036214,0,0.338629453272637,0,0,0,0,0,0,-0.0148556380095032,-0.0274922682286896,0,0,0,0,0,0
MKreturn,-0.0648635291855644,0,0,-0.01407820973623,0,0,0,0,-0.22616478105397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188726317977865,0,0,0,0,0,0,0,0,0,0,0,0.10458007231375,0,0,0,0,0,0,0.0136186510663626,0,0,-0.00558123599163107,-1.0842021724855e-19,0.0500336220136584,0,0,0,0,0
MKvol,0,0,0,0,-0.00137320387651201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00538348024341081,0,0,0,0,0,0,0.00313205874085154,0,0,0,0,0.037973636167156,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.0031602419715872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230976927592534,0,0,0,0,0,0,0.00366702373696988,-0.00775394965462383,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00322592007110501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385653235572725,0,0,0,0,0,0.00435198042681011,0.00646660741231541,0.00177042617221399,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010303344686329,0,0,0,0,0,0,0,-0.00276436889157369,-0.0015994052141389,0,0,0,0,0,0
