,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X600703.SH,X000100.SZ,X600089.SH,X002049.SZ,X002236.SZ,X600372.SH,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X002241.SZ,X600522.SH,X601877.SH,X601799.SH,X002463.SZ,X000733.SZ,X600702.SH,X002074.SZ,X002007.SZ,X000800.SZ,X002028.SZ,X300142.SZ,X002180.SZ,X600183.SH,X600487.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622710410843997,0,0,0,0,0,0,0,0,0.112832354699664,0,0,0,0.166509046275029,0.0907636055391523,0,0.0568025025004183,0.0462697233393888,0,0,0.0708045714202614,0,0,0,0,0,0,0.116421613010119,0,0.00203980007194553,0,0,0,0.00759463249022471,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173340510223332,0,0,0,0.0164030989269797,0,0,0,0,0,0.0254799661919421,0,0,0,0,0.0850978078736274,0,0,0,0,0.0452062966578794,0.0339232541258009,0,0,0.241561374977752,0,0,0,0.150278512353439,0.0439594673746928,0,0,0,0,-0.00431073626806258,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960176743320717,0,0,0,0,0.0146625380650652,0,0,0,0,0,0.0791015053829944,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0708103779543989,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166916861734871,0,0,0.0554124852378819,0.0930401009005092,0,0,0,0,0,0,0,-0.00713758520254082,0,0,0.012082158402447,0,0,0,0,0,0.0400265910251335,0,0,0,0,0,0,0.101389709254249,0,0.0871763270266338,0,0,0,-0.00422198940789908,0.00666848652725888,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714738937503253,0,0,0,0.199190469273527,0,0,0,-0.0585009713686264,0,0,0,-0.159207320541931,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.309651899064094,0,0,0,0,0,0,0,0,0.0543401351269984,-0.16646892787733,0,0,0,0,0,0.0060613406389062,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0.021155044125307,0,0,0,0,0,0.271687725750118,0,0,0,0,0,0,0,0,0,0.0212212453004843,0,0,0,0.264378929521571,0,0,0,0,0.266917712797164,0.205620689309156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365372493111637,0,0,0,0,0,0,0
X000733.SZ,-0.16210204079901,0,0,0,0,-0.0178423534396067,0,0,0,0,0,0,0,0,0,0,0,0,0.166750774743948,0,0,0,0.558524465643711,0,0,0,0,0.0811509088918433,0,0,0,-0.0318816507374101,0,0,0,0,0,0,0,0,0.0831887900225843,0,0,0,0,0,0,0,0,0,0,0.0113675055093797,0,0.100455072638838,0,0,0,0,0
X600702.SH,0,0,0,0,0.625478851971471,0.0468494313552335,0,0,0,0,0,0,0,0.175753151753989,0,0,0,0,0,0,0,0,0,0,0.0551872789716253,0,0.179732230461912,-0.0218341968274619,0,0,0,0.0311765587988915,0,0,0,0,0,0,-0.00848102238120172,0,0,0,0,0,0,0.0376406077904456,0,0,0,0,-0.052836086046885,-0.0195912768788088,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0.0208425992801263,0,0,0,0,0,0,0,0,0,0.0821085471404983,0,0,0.157599622166061,0.303278839136031,0,0,0,0,0,0,0,0,0,0,0,0.0140609542217078,0.0849440439667442,0,0,0.0168456992481589,0,0,0,0,0,0,0.0119023848037027,0,0,0,0,0,0,0,-0.019350378934003,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741852280301709,0,0,0.00957062847979684,0,0,0,0.0156984195162991,0,0,0,0.014885309976697,0,-0.128702066864887,0,0,0,0,0,0,0,0.320037617697654,0,0,0,-0.0821149283298621,-0.0215110718092164,0.0249562718874187,0.0967561306566387,0,0,0,0.204969148279509,0,0.0253586261601859,0,0,0,0.0284692715425491,0,0,0,0,0,0,0
