,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X600104.SH,X002415.SZ,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X002007.SZ,X002241.SZ,X600703.SH,X000100.SZ,X002179.SZ,X300142.SZ,X000157.SZ,X600271.SH,X000625.SZ,X300124.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600066.SH,X000977.SZ,X600498.SH,X000066.SZ,X300136.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002049.SZ,X300146.SZ,X002371.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002049.SZ,0,0,0,0,0,0,0,0,0,0.129994953708645,0,0.0594418031668912,0,0,0,0,0,0,0,0.0423990924022808,0,0,0,0.0336228657302886,0,0.22979837587673,0,0,-1.73472347597681e-18,0,0,0,0,0.0803369468530389,0,0.023874733645817,0,0,0,0,0.0699310982318133,0.254067003718132,0,0,0,0,0.178079345071234,0,0,0,0,0,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389769276793754,0.0374044574837973,0.0125903016300869,0,0,0,0,0,0,0.0849702729973539,0,0.122432051166452,0,0.0697995853650756,0,0,0.107483551673736,0,-8.67361737988404e-19,0,0.0278606552771635,0,0,0,0,0,0,0.135044477841192,0,0,0,0,0,2.08679877885971e-05,-0.027115315706871,0,0,0,0,0,0
X002371.SZ,0,0.0442510000335544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176050531683886,0,0,0,0,0,0,0,0,0,0,0,0.237516767680773,0,0.0360426968374872,0,0.0595641034081887,0,0.0367615720616258,0.216254580128783,0,0.179400188164146,0,0,0,0.0449934739223088,0,0,0,0,0,0,-0.0223196142256315,0.0267666656507118,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0.260749461892474,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0311769002655107,0.276460371029799,0,0,0,0,0.0800580501309747,0,0,0,0,0.0656089633444783,0.0467651004592224,0,0,0,0.0297403882723125,0,0,0,0,0,0,0,0,0,0,0,0.000657478409657495,0,0,0,0,0,0
X600487.SH,0,-0.0185044727744769,0,0,0,0,0,0,0,0,0,0.076948902318134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770210325872997,0,0,0,0,0.27878116097453,0,0,0,0,0,0.0439200526221067,0,0,0,4.33680868994202e-19,0,0.109374958773118,0,0,0.15215444963727,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960040268045397,0,0,0,0,0,0,0,0,0,0,0,-0.0740346826296605,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757247944612721,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.268101095136753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557923697187992,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.0360051605639471,0,0,0,0,0,0,0,0,-0.0636825157475833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225831147337333,-0.0387999646019287,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00776357846675971,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0.0784146823290315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100799439813717,0,0,0,0.00974950470792049,0,0,0,0,-0.0591340969095389,0.024776352251554,-0.0758281395339303,-0.0278618368361941,-0.046580970340782,0,0,0,0,0,0,0,0,0.0262423094104574,0,0,0,0,-0.0241299403990693,0.0384050638360523,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022969374209698,0.012986185746774,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.322835699640428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404190913689741,0.212105749427265,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000397173229485288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861343382856685,-0.00539338468231736,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325366345538492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133725437413134,0.00579903684069341,0,0,0,0,0,0,0,0,0,0,0.0280791150184888,-0.0372353354543733,0,0,0,0,0,0
