,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000568.SZ,X000063.SZ,X600703.SH,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002008.SZ,X601877.SH,X300124.SZ,X600487.SH,X002456.SZ,X002236.SZ,X600809.SH,X600867.SH,X000596.SZ,X000100.SZ,X000661.SZ,X600498.SH,X300136.SZ,X000977.SZ,X000625.SZ,X600066.SH,X600566.SH,X000157.SZ,X300142.SZ,X002179.SZ,X002294.SZ,X002180.SZ,X002007.SZ,X600522.SH,X300146.SZ,X002049.SZ,X002241.SZ,X000869.SZ,X000981.SZ,X600177.SH,X002371.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0578434316710407,0,0.329514710374814,0.0156434633117666,0,0.430100191899258,0,0,0,0,0.0109057039046982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13529842319698,0,0.198824060990367,0,0,0.00570346700586122,0.0316904452518289,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.112262862116984,0,0,0,0,0,0,0,0,0.134524728705483,0,0,0,0,0,0,0,0,0,0,0.510502446463581,0,0,0,0,0,0,0,0,0,0.125304311938258,0,0,0,0,0,0,0,0,0.0770981077284773,0,0,0,0,0,0.0159762620076988,0.033419654007173,0,0,0,0,0,0
X600867.SH,0,0,0,0,0.343371095730037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162978461606352,0,0,0,0,0,0.164345043224545,0,0,0,0,0,0,0,0,0,0,0,0.290942082433018,0,0,0,0,0,0,0,0,0,0,-0.017941156142985,-0.00172563153685206,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0.0610820835221519,0,0,0,0,0,0,0.529689155847777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244422531677344,0,0,0.0726846592811939,0.0117287939214938,0,0,0,0,0,0.125317304686955,0,0,0,0,0.0030955286543628,0.0168025978587292,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.402118161813992,0,0,0,0,0.0250012308248379,0,0,0.00899517478663951,0,0,0,0,0,0.0612103279336979,0.072014077264184,0.0491563822405313,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150101143044975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283213845474096,0.0135732436341873,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.0597380633196416,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0758127851452799,0,0,0,0,0,0,0,0.30211217756064,0,0,0,0,0,0,0,0,0.225041524925353,0,0.117425639591077,0,0,0,0.281302574717703,0,0,0,0,0,0,0,0,0,0,-0.0256963538480725,0.0187988739788443,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0560474149230881,0,0,0,0,0,0,0,0,0.205220942217958,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.179207558585762,0,0,0,0,0.0373893948975154,0,0,0,0,0,0,0.160372020505323,0,0,0,0,0,0,0,-0.00642052425075204,0,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0871270356208835,0,0,0,0,0,0,0.0783021899110337,0,0.27578845250511,0,0,0,0,0,0,0,0,0,0,0,0.0191381739685408,0,0,0,0,0,0.00441896363820229,0,0,0.165366696290481,0,0.527477184886753,0,0,0,0.0700255925860888,0,0,-0.00924170456762858,-0.0365479326730575,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.022919780425734,0,0,0,0.126774236682494,0.111276398169603,0,0,0,0,0,0,0,0,0,0,0,0.0254949928904784,8.67361737988404e-19,0,0,0,0,0,0,0,0.0788787612285069,0,0,0.296325501660461,-0.10350812176998,0.327252241715405,0,0,0,0,0.207947416024416,0,0,-0.0249520063459684,-0.0273701808349538,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0977322677984325,0,0,0.0270151569673892,0,0,0,0,0.0968139123888972,0,0,0,0,0.0173062441245901,0,0,0,0,0.0679739990688367,0,0.0729815328608708,0,0,0.0492214597681708,0,0,0.228093695711532,0,0,-0.00127549121712657,0,0,0,0,0,0
X600066.SH,0,0,0,0,0.111882099953592,0,0,0,0,0,0,0,0.0851175764291154,0,0,0,0,0.00932609760632436,0,0,0.0747167865539774,0.0882379643251585,0,0.0112693462786685,0,0,0,0,0,0,0,0,0,0,0.0491480662896594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527521585643934,0.0821215125706808,0,0,0,0,0,0
X600566.SH,0,0,0,0,0.0750777946736695,0,0,0,0,0,0,0,0,0,0,0,0.0935285694992608,0,0,0,0,0,0,0,0.104402476826605,0.318622449465421,0,0,0.0976033791553162,0,0,0,0,0.363445891596071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158985274848461,-0.0261268101669948,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.104863868625197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922637541291409,0,0,0,0,0,0,0,0,0,0,0.0690875702021398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215115656977344,-0.00284210311955095,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0.115273821767743,0,0.0304411741379017,0,0,0,0,0,0,0,0.104694387238865,0,0,0,0,0,0,0,0,0,0.00501511970554226,0,0.499243323256935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549051694673192,0.134388002885937,0,-0.0826703786331072,0,0,0.0185410960734748,-0.00219864735088683,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.0249999098490899,0,0,0,0,0,-0.0890546187769768,0,0,0.100838282984785,0,0,0,0,0.0374682132725386,0.20343124560933,-0.0689478074405779,0,0,0,0.0578093880303144,0,0,-0.0224656838111646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108749463963412,0.0279730950739272,0,0,0,0,0,0
X002294.SZ,0,0,0,0.00646016568869378,0.294397862505292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100512852497482,0,0,0.124209816128505,0.101398926433097,0.127727010061158,0,0,0,0.076640212292625,0,0.0625393695742918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497309047086209,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,-0.195931425781586,0,0,0,0.117120340640837,0,0,0,0,0,0,0,0,0,0,0.00932356823617211,0,0,0.186663853441917,0,0,0.0851403946402999,0,0.0416167948008937,0,0,0,0,0,0,0,0,0,0,0,0.010657040738415,0,0,0.0532416845775125,0,0.398679016324426,0,-0.13006121078469,-0.00990558272871429,-0.00854230042976053,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.297643654625962,0,0,0,0,0,0,0,0.104366616275457,0,0,0,0,0,0,-0.0537823826328296,0,0,0,0,0,0,0,0,0.445397106788953,0,0,0,0,0,0,0,0.0753928457583413,0,0,0,0,0,-0.013101571955823,0,0,0,0,0,0,0,0,-0.0151044090583324,0.0184079158446195,0,0,0,0,0,0
