,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X000063.SZ,X002371.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X000977.SZ,X600372.SH,X002241.SZ,X000661.SZ,X000157.SZ,X600584.SH,X601877.SH,X600741.SH,X002180.SZ,X600522.SH,X002074.SZ,X000066.SZ,X600702.SH,X000733.SZ,X300003.SZ,X300142.SZ,X600460.SH,X002007.SZ,X300146.SZ,X002463.SZ,X002294.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0.254882904119463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324201272877701,0,0.0451976305147827,0,0,0,0,0,0.0636457795895504,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649122710696101,0.224480065918094,0,0,0,0,0,0,0,0,0,0,0
X600702.SH,0,0,0,0.15119038673765,0,0,0,0,0.182864274218591,-0.0142966276126587,0,0,0,0,0,0,0,0,0.164752310306011,0,0,0,0,0,0,0.0236616216057666,0,-0.00564833186723058,0,0,0,0,0,0,0,0,0.27133753631493,0,-0.0972791003591161,0,0,0,0,0,0,0,0.146483590334338,-0.0151157233167609,0,0,0,0,-0.0564770785429181,0,0,0,0,0,0
X000733.SZ,0,0,-0.029599417323707,0,0,0,0,0,0,0,0.00519245291760375,0,0,0,0,0,0,0,0,0.299139671234357,0,0,0.0499095325511953,0.154239087550201,0,0.165469040827195,0,0,0,0,0,0.0640133718517289,0,0,0,0,0.0836323763724166,0,0,0.0401771344583365,0.035908166696963,0,0,0,0,0,-0.0914299388585963,-0.0336696372414156,-0.0631172214535477,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,-0.040388272112843,0.0223618541201468,0.000738157289667998,0,0,0,0,0,0,0,0,0,0,0.0812108439505166,0,0.0807562630634114,0,0,-0.0494880579330275,-0.0258753693826853,0,0,0,0,0.0912574839015979,0,0,0,0,0,0,0,0,0,0.0640511894470355,0,0.103128208557383,0,0,0,0,0,-0.0199669214753244,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0.0186297811886907,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.219239467824214,0.0261612770525726,0,0,0.128055022307201,0,0.0704584569708321,0,0,0,0,0,0,0,0,0,0,0,0,0.0635719260750033,0.0276506181197871,0,0,0,0,0,0,0,0,-0.0395103451246226,0.0900065641552718,0,0,0.00551931761532705,0.00240353824843776,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0.282834422956627,0,0.25822356306473,0,0,0,0,0,0,0,0.00800279394997829,0,0,0,0,-0.00182700635095194,0.257386998048927,0,0.0556520043356524,-0.111631910784481,0,0,0,0,0.00823735363242528,0,0,0,0.147175348127487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0064303867596992,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.0737879361418476,0,0,0,0,0.0331045875122513,0.0178746069041579,0,0,0,0,0,0,-0.0565576011372238,0,0,0,0,0,0,0,0,0,0.0405740320306283,0.0412657382008891,0.0330716692371477,0,0,0,0,0,0,0,0,0,0,0,0,0.271059428084243,0,0,0,0.201655828768555,0,0.0153091994324373,0,0,0.0266003542280375,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0.125968788049034,0,0,0.182656974007992,0,0,-0.00379266082082877,0,0,0,0,0,0,0,0.213628424062809,0,0,0,0,0,0,0,0,0,-0.0074998102203431,0,0,-0.0262225294044478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138339901476678,0,-0.0462781125450633,0.0174319610378528,0,0,0,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0.281357617341227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163548380755079,0.0536896048230397,0,0.371877893140145,0.190594999110844,0,0,-0.0824448528017966,0,0,-0.0506024114187151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21750131044525,0,0,-0.041404047771053,-0.00884933493478315,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,-0.00952970440161941,0,-0.248476913587322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0606926842258356,-0.0460905380353382,0.106584375922705,0.0683000201341102,0,0,0,0,0,0,-0.00104583445695415,0,0,0,0,0,0,0,0.281588246362928,0,0,0,0,0.0375099926307301,0.00508441484089329,0,0,0,0,0,0,0
X000800.SZ,0,0,0.0778259351428465,0,0,0.07936612042702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180525762860031,0.0415331603277766,0.0399957934929964,0,0.0848331803574259,-0.00361015996760244,0,0.035089864542198,0,0,0,0,0,0,0,0.238186368255816,0,-0.0204494680687628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175645135765088,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.119897387512109,0,0,0,0,0.125770804780678,0,0,0.132470569516545,0,0.0416303077409333,0,0,0,-0.360072597120568,0,0,0,0,0.175796275934583,0,0,-0.0307234511066175,0,0,0,-0.0379798313216545,0,0,0,0,0,0,-0.0469497678707556,-0.128582835880387,-0.0987306963147556,0,0,0,0,0,0,0,0,0,0,0,-0.159315043472013,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0.0129580112116802,0,0,0.322272973105346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757946924153228,0,-0.0252011858239835,0.0739731920850301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165778828643132,0,0,0,0,0,1.14157814828154,0,0,0,0,0,0
TED,0,0,-0.0729832372076062,-0.132341077368726,0,0.226269511113183,-0.0306826562109204,0,0,0,0,0,0,0,-0.602968462274093,0,0,0,0.0184694048069289,0,0,0,0,0,0.205286739659615,0,0,0,-0.0772599312414069,0,0.237634092059222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527545224679213,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0.0599303106880987,0,0,-0.105867052834161,0,-0.0596580052442496,0,0.380882115275923,0,0,0,0,1.73472347597681e-18,0.0161671521407836,0,0,0,0,0,0,0,0.0906180525043421,-0.0544618119189996,0,0,0,0,0.119090137904724,0,0,0,0.0200890737856514,0,0,0.108096707464345,-0.0162434663554251,0,0,0,0.0164285863637714,0,-0.0609125267743526,0.00167677093153097,0,0,0.0536864507755123,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.00395429266108406,0,0,0,0,0.0189851016937875,0,0.0478596651560599,0,0,0,0,0,0,0,0,0,0.065347961122699,-0.0454108975514482,0,0,0.0284222641755852,0.0722991907230924,0,0,0,0,-0.0423566354635946,0,-0.0830089023740898,0,0,0,0,0,0.0808228225865696,0,0,0.0071439669835591,0,0,0.00773465130711979,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0.000501005863770701,-0.000588842445252078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273150415399876,0,0,0,0,0,0,0.00157476331069401,0,0,0,0,0,0,0,0,0,0,0,-0.00218508167518623,-0.00170540414940393,0,-0.001169192393714,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00394802893184277,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.00140599977035999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000646835298990969,0,0,0,0.00474597388836778,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
