,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X000559.SZ,X300124.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X300146.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X300003.SZ,X600312.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000400.SZ,0,0,0,0.0605127734383485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131889680785561,0,0.0182229055970668,0,0,0,0.187653380975528,0,0,0,0.156979525193335,0,0,0,0,0,0,-0.0344454035269092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00241336063218981,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431731572237231,-0.0368242162820461,0,0,0.181456515589,0,0,0,0,0,0,0,0,0.0259434288538418,0,0.190460283774288,0,0,0,0,0,0,0,0,0.133782179363828,0,0.0199567774523388,0,0.217146305374802,0,0.0169971898461768,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,-0.049275373188847,0,0,-0.0590062349125622,0,0,0.00477613099829214,0,0,0,0,0,0,0,0,0,0,0.00178791555739892,0,0,0,0,0,0,0,0,0.0304499580212364,0,0,0,0.045212766859119,0,0,0,0,0,0,0,0,0.0472263207128681,0,0.0338001396044306,0,0.18232717931753,0,-0.127636643722498,-0.037698173526025,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,-0.00189706591232995,0.281167472404292,0.0694477719601753,0,0,0,0,0,0,0,0.0124040409092042,0,0,0,0,0,0,0,0,0,0,0,0.0657565067012445,0,-0.0447575727942497,0.137838148908126,0.229771401785708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445579557136662,-0.0198330158156169,0,0,0,0,0,0
X600839.SH,0.0760174321777226,0,0.131471320491706,0,0,0,0,0,0,0.0776512595345657,0,0,0,0,0.0622795581105742,0,0,0,0,0,0,0.106024476885157,0,0,0,0,0,0.0629469810597224,0,0,0,0,0,0,0,0.101513484015117,0.225888639589788,0,0,0,0,0,0,0,0.0861562450871104,0,0,0,0,0,0,0,-0.0199342152662464,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0705164836012251,0,0,0,0,0,0.424308405046061,0,0,0,0,0,0.0549734786318423,0,0,0.062249499393639,0.0267773539376748,0,0.119917407835449,0,0,0.0129277031376276,0,0,0,0,0,0.0463216479155014,0,0,0.0377281496893837,0,0.0125199426478024,0,0,0,0,0,0,0
X002292.SZ,0,0,0.0438920599340782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167693691346312,0,0,0.0554195464957445,0,0,0,0.18230941212446,0.0579778737860364,0,-0.0524704463881643,0,0,0,0,0,0,0,0,-0.0385482272077898,-3.46944695195361e-18,0.197380285133739,0,0,0,0,0,0,0,0.170168315221769,0,0,0,4.33680868994202e-19,-0.0151597842226671,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2016104837573,0,0,0,0,0,0,0.258050986238357,1.38777878078145e-17,0,0,0,0,0,0.163091680172945,0.0416179012075065,0,0,0,1.73472347597681e-18,0,0,0,0.0696316109000636,0,0,0,0,0,0,0,0,0,0.319271687094652,0,0,0,0.00105112148926578,-0.00351365340675468,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,-0.125232296049292,0,-0.0017186293538128,0,0,0,0,0,0,0,0,0,0,-0.222792813838385,0.0236473091063349,0,0,0,0,0.192589637483684,0,0,0,0,0,0,0,0,0,0.0277747201597709,0,0,0,0,0,0,0,0,0.143607859135291,0.359901497780411,0,0,0,0,0,0,0,0,0,0,0,0
X600312.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423929585041394,0,0.029754365894233,0,0,0,0.0236809032757369,0,0,0,0.0472828469287156,0,0,0,0.0187525388628971,0,0,0.0473170280398863,0,0,0,0,0,0,0.0877307014104037,0,0,0,0,0,0,0,-0.00830334514666777,0,0,0,0,0,0
