,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600104.SH,X600276.SH,X000651.SZ,X300124.SZ,X300014.SZ,X000725.SZ,X600031.SH,X002371.SZ,X003816.SZ,X002129.SZ,X002241.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X601877.SH,X300142.SZ,X600741.SH,X000661.SZ,X600460.SH,X000100.SZ,X600522.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600702.SH,X000157.SZ,X000799.SZ,X600884.SH,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X600372.SH,X600563.SH,X002414.SZ,X600183.SH,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0,0,0.0293399046145015,0,0,0,0,0,0,0,0,0,0,0,0,0.0668253128161289,0.0438023885787085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218196983668859,0,0,0.0325359084800648,0,0,0,0.111580386826775,0,0,0,-0.00852577281932184,0,0,0,0,0,0,0
X002176.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952762748736469,0,0,0,0,0.0426356364478355,0,0.197566323341988,0.141412092009764,0,0,0,0,0,0,0,0.0276020114225418,0,0.0736086094733017,0,0,0.419838103129267,0,0,0,0,0,0.143138220075559,0,0,0,0,0,0,0,0,0.0403658296674333,0,-0.0624930812393185,-0.154291668263678,0,0,0,0
Change_TY3M,0,0,0,0,0,0.0129656280498971,0,0,0,0,0,0,-0.0303901744264334,0,0,0,0.0715650192126724,0,-0.0237202077376259,0,0.133892094252061,0,0,0,-0.0911515934717144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193259419197901,0,0,0,0,0,0.0240724353947585,0.129251790819548,0,-0.0440371930822901,-0.0899147003845348,-0.198552342129358,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788611909126583,0,0,0,0,0,0
TED,0,0,0,0,0.0602716042805712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113354030873494,0,0,0,-0.00051816622579446,0,0,-0.0641780887562649,0,0,0,-0.1217076023163,0,0,0,0,0,0,0,0,0,0.341249835195052,0,0,0,0,0,0,0,0,0,0,-0.508169915220069,0.157969015420837,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.20353355918486,0,-0.0131550500224371,0,0,0,0,0.173466416569493,0,0,0.0525343159014632,0,0,0,0.118446012069003,0,0.0620308995523107,0,0.0518588204975146,0,0,-0.0522827701038991,0,0,0,0,0,0,0,-0.081525730278842,0,0,0,0,0.154994206574812,-0.0494370419829424,0,0,-0.0564395012303167,-0.0325633138801806,0,0,0.051611692885139,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0.0329915282987977,0,0,0,0,0,-0.0791107746736176,0.0125791924344258,0,0,0.122301740175637,0,-0.112685816623369,0.0333079928695556,0,0,0,0,0,0,0,0,0,0,-0.16977193105865,0.0952948674495175,0,0,0,0,0,0,0,0.0398010218525365,0,0,0,0,0,0,-0.0302077940915547,0,0.0169563821691571,-0.045839509396537,0.31426302707923,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875676402506411,0,0,0,0,0,0,0,0,-0.00697916294809883,0,0,0,0,0,0,0,0,0.0140183137083687,-0.00364100217212129,0,0,0,0,0,0,0,0.00135140211327579,0,0,0,-0.00457243891195731,-0.0105343056307183,0.0176076007738216,-0.0342602743339371,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00820079895421421,0,0,-0.00547294758514074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069206307743041,0.0469434561357592,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106869544627943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0582936152067247,0.0338831510873901,0,0,0,0,0,0
CarbonVol_Hubei,0,-0.0032717055671048,-0.0228393217129282,0,-0.00875938712920886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190576265577628,0,0,0,0,0,0,0,0,0,0,0,0.0102607612165912,0,0,0,0,0,0,0,0,0,0,0.00706857733411865,0,0,0,0,0,0,0.0363164459242888,0,-0.0407404427672438,0.0154924432501799,0,0,0,0,0,0
