,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002241.SZ,X002180.SZ,X300142.SZ,X600702.SH,X601877.SH,X000157.SZ,X600584.SH,X600741.SH,X002236.SZ,X600522.SH,X000733.SZ,X600460.SH,X002074.SZ,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X002294.SZ,X600183.SH,X002007.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417789962787044,0,0,0,0,0,0,0,0.151840610176247,0,0,0,0,0.144548560140834,-0.0234443936911946,0,0.159828554553557,0,0.101946941739657,0,0.0171942427229471,0,0,0,0,0,0,0.000926922552098317,0,0,0,0,0,0,0.00342006461285483,0.0071742727038446,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225439063929247,0,0,0,0,0,0,0.143281992030868,0,0,0,0.233571637734456,0,0,4.33680868994202e-19,0,0,0.0303214348826502,0.0438999472433405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343229885578486,0.00186395983870578,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0943816759220296,0,0,0,0,0,0,0,0,0,0.146018549293921,0,0,0,0,0,0.0450548211179251,0,0,0,0,0,0,0,0,0.105134444761272,0,0.372578330300615,0,0.104754248730095,0.0128489372222612,0,0.0249536434232704,0.115844318027508,0,0,0,0,0,-0.00123838303915548,0,0,0,0,0,0,0
X600741.SH,0,0,0.0395060102658719,0,0,0,0,0,0,0.00149921451979029,0.0233488484078486,0.500473773076598,0,0,0,0,0,0,0,0,0.117725754790996,0,0,0,0,0.160837493953115,-0.00516667841828603,0,0.0261913027849854,0,0,0,0.0450575356071118,0,0,0,0,0.074645753444841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056520446972275,-0.0473941661978214,0,0,0,0,0,0
X002236.SZ,0,0.0766895360839122,0.025508387258954,0,0,0,0,0,0,0,0,0,0.0313353756868181,0.152010310796005,0,0,0,0.0414047094516084,0,0,0,0,0,0,0,0,0,0,0.0811127735501153,0,0,0,0,0,0,0,0,0,0,0.0527934675294061,0,0.0533987396494946,0,0.0446881117028362,0,0,0,0,0,0,0,0,0.0242672450161175,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0.0248301510004111,0,0,0,0,0,0,0,0,0.186385162626321,0,0,0,0,0,0,0.35996936133006,0,0,0,-0.0900084715277777,0,0,0.122006362048642,0,0.0662367961403134,0,0,0,0,0,0.315123310931418,0.043287953464491,0,0,0,0,0.0131457658148886,0.078609067635371,0,0,-0.0516289939995378,-0.0331924142386076,-0.00793813944427216,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421085945273487,0,0,0,0,0.102594375467341,0,0,0,0.1598375543258,0,0.115206839519673,0,0.0993339271905636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1597509955889,0.0185646956083535,0,0,0,0,0.0125909483329151,-0.0221899574062501,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145365272209179,0.243331011514559,0,0,0.0260206613324919,0,0.0325130172863959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602634233279026,0,0,0,0,0,0,0,0,0,0.27778879615198,0,0,0,0,0.0202169475981117,0.00321554834708424,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,-0.0392425714707828,0,0,0,0.00502067200331917,0.00405166395410107,0,0,0,0,0,0,0,0.212223522464085,0,0,0,0,0,0.0760452556648834,0,0,0,0,0,0,0,0,0,0,0,0,0.0856557273294282,0,0,0,0,0.0461915169711867,-0.0080591813186646,0,0,0,0,0,0,0,0.0392986001210235,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0.249166398836552,0,0,0.128427050529556,0,0,0,0.0942381530779268,0,0,-0.234554852137313,-0.166912336757323,0,0,0.14174819453687,0,0,0,0,0,0,0.0650691613021248,0.18360560456827,0,-0.000207611052918754,0,0,0,0,0,0,0,0,0,0,0.0896395595533951,0,0,0,0.623978817854394,0,0,0,0,0.0412933130946888,0,0,0,0,0,0,0
X000066.SZ,0,0.10356688708331,0,0,0,0,0,0,0,0,0,0,0,0,0.140493240126074,0,0,0.342997686489831,0.100990529936086,0,0,0,0.0247165453317409,0,0,0,0,0,0,0,0,0,0.113536056921313,0,0.181326869385438,0,0,0.0309421751829004,0,0,0,0.125198531373796,0,0,0,0,0,0,0.149522848971352,0,0,-0.0509770898068526,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0.0157591258727924,0,0,0,0.159054463758072,0,0,0,0,0,0,0,0,0.174837649724374,0.060989227909177,0,0,0.164902226865729,0,0,0,0,0,0.0133520868118548,0,0,0,0,0.455398160260985,0,0,0,0,0.0296282848115889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110325619437059,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.396492122624981,0,0,0,0,0,0,0,0,0,0,0,0.0136763979992008,0,-0.00282145717457917,-0.0938692676505667,0,0,0,0,0,0.10713102256689,0,0,0,0,-0.356640891765295,0,0,0,0,0,0,0,0,0,0.0195216741876575,0,0,0,0,0,0.0243372227100804,0,0,0.0503078329153593,-0.0126908239707965,0.0208453259254299,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211302535398881,0,0,0,0,0,-0.0590995550997195,0,0,0,0,0,0,0.321226253142522,0,0,0.0595066039879799,0,0.11704805423934,0,0,0,0,0,0,0,0,0,-0.0225669976263065,0,0.00572958033829355,0.0205089818857751,0,0,0.02804040741066,0,0,0,-0.0578773129516264,0.048207824438287,0,0,0,0,0,0
X600183.SH,0,0.161299487664098,0,0,0,0,0,0,0,0,0,0,0,0.181194521375883,0,0,0,0,0,0,0.0123606285874623,0,0,0,0,-0.0168573630217519,0,0,0.0465284796438793,0,0,0,0,0,0,0,0,0,0,0.109569216510989,0,0,0,0,0,0,0,0,0,0,0,0.00881403628886339,-0.00235949127236375,0,0,0,0,0,0
