,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600703.SH,X600690.SH,X600741.SH,X002292.SZ,X600066.SH,X002241.SZ,X000100.SZ,X600031.SH,X600118.SH,X002236.SZ,X600177.SH,X002506.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600089.SH,X002456.SZ,X002426.SZ,X002465.SZ,X002007.SZ,X600498.SH,X000869.SZ,X002180.SZ,X601877.SH,X002508.SZ,X000050.SZ,X000977.SZ,X002008.SZ,X002049.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002049.SZ,0,0,0,0,0,0.123755878146202,0,0,0.0424902683876303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131931297378993,0,0,0,0,0,0,0,-0.229510871969006,0,0,0,0,0,0,0,0,-0.104641869493704,-0.175319216385854,0,0,0.153452778014183,0,0,0,0,0,0.0375301798162776,0,-0.120220370646094,0.0506444407944321,0,0,0,0,0,0
X600699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384279922232886,0,0,0,0,0,0,0,0,0.227015352661853,0,-0.106026911714714,0,0,0,0.095324079298493,0,0.0136373172428394,0,0,0,0,0,0.0840048364902904,0,0,0,0,0,0,0,0,0,0,0.35982399725835,0,0,-0.0862379671931244,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0174107919214642,0,-0.171000252018703,0,0,0,0,0,0,0,0,0,0.0460260669446653,0,0,0,-3.46944695195361e-18,0.234432188448867,0,-0.0190061462212152,0,0,0,0,0,0.0467513034891467,0,0.0860283945056454,0,0,-0.120984349114526,0,0,0,0,0,0,0,0,0.0166000210608555,-0.118258228017694,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789540870434557,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356300013785602,0,-0.369809536486643,0,0,0,0.142475720628164,0,0,0,0,0,0,0,0,0.144989900699761,0,0,0,0,0,0,0,0,-0.351495423759292,0,0,0,-0.570429013106023,0.210826923848823,0.306143116606628,0,0,0,-0.261087901974798,0,-0.74364142433434,0.174287315256537,0,0,0,0,-1.03151166482015,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.0148192213734601,0,0,0,0.0216075641252887,0,0,0,0,0,0,-0.0579354706545016,0,0.100742871886533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302816085193565,0.0407151840259497,0,0,0,0,0,0,0,0,-0.164876071118616,0,0.0102974664489937,0,-0.0309319379712174,0,0,0.445549422844781,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248209690580204,0,0,0,0,0,0,0,0,0,0,0,0,-0.154267413453874,0,0,0,0,0,0,0.0589494271510054,0,0,0,0,0,0.0679002560566938,0,0,0,0,0.0268925470859544,0,0,0.0241565738604468,0,0.542314740397934,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0.016596080019944,0,0,0,0.0014455073091123,0,0,0,-0.0131865849317183,0.00484794780998734,0,0,0,0,0.0015934075526489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125159524461529,0.00314836859757228,0,0,0,0,0,-0.00136347896769949,0,0,0,-0.00622440769232211,0.00215105195369209,0,0,0.0264299945677566,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00545776255561027,0.00304121869157672,0,-0.00702207864691953,0.00332333821701716,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029880226347709,0,0,0,0,0,0,0,0,0.0188384957426249,0,0,0,0,0,0,0,0.00664490787472508,0,0,0,0,-0.0120913358030877,0,0,-0.0167256698756621,0,0,0,0,0,0,0,0,0,0.0146383311399419,0.00311698611804179,0.0445896470843639,0.013160324219534,0,0,0,0,0,0
CarbonVol_Hubei,0.0238024198988167,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.000440136644175005,0,0.0125334802432325,0,0,0,-0.0489878992635572,0,0,0,0,0,0.00195843133329751,0,0,-0.00255649791230908,0,0,0,0.018224071285131,0,0,0,0,0,0,0,0.021914977369541,0.0184557199399095,0,0,0,0.0068337513205529,0,0,0,0,-0.00923141396910553,-0.0139952038433102,0,0,-0.00223830141223585,0.0525777385693901,0,0,0,0,0,0
