,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X601877.SH,X002241.SZ,X300142.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X600884.SH,X300003.SZ,X002294.SZ,X002007.SZ,X600779.SH,X300146.SZ,X600563.SH,X601799.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0,0,0,0,0,0.123116655634147,0,0,0,0,0,0,0,0.155528570552134,0,0,0.388585553190442,0,0.0783929252247463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365290665660082,0,0,0,0,0,0,0,0,0,0,0,0,-0.170675898580006,0.13562581698777,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0.105842924356934,0,0,0,0,0,0,0,0,0,-0.313119240782959,0,0.176749713299148,0,-0.114362051656543,0,0,0,0,0,0,-0.330038981696052,0,0.0574875064176918,0,0,0,0,0,0,0,0,0,0,0,0,0.0877966094801115,0.171201794995379,0.262565439610582,0.130101364892446,0,0,0,0,0,0.0171848058787301,-0.00236973445093864,0,0,0,0,0,0
X600702.SH,0,0,0.438693350408237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125307525100792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989912252919992,0,-0.0313477780295028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00183280916199775,0,0,0,0.235253950247814,0,0.185943850562607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361405375764879,0,0,0,-0.0398109181853437,0,0,0.0504637499778541,0,0,0,0,0,0,0,-0.00107644574479039,4.33680868994202e-19,0,0,0,0,0,0
X600741.SH,0,0.216152630572577,0,0,0,0,0,0,0.11123976609625,0,0,0.0170791337083757,0,0,0,0,0.0571371494948685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191220922286658,0,0,0,0,0,0.0824628284306708,0,-0.0786581503598854,0,0,0,0,0,0,0,0.0288822528482478,-0.0106149875165968,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,-0.00348032640992825,0,0,0,0,0.458756696629925,0,0,0,0,0.0418712977601764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784836878764839,0,0.226910984180404,0,0.0224733358514744,0,0,0,0,0,0.073558237035518,0,0.0295307586509555,0,0,-0.00980547651955809,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,-0.763344256990246,0,0,0,0,0,0,0,0.342435865800265,-3.46944695195361e-18,0.351440123592388,0,0.188241843928588,0,0,0.114715945757837,-0.225553911203594,0,0,0,0,0,0,0.376697815187893,0,-0.222898060349581,-0.373756219680057,0,0,0,0,0,0,0,0,0.0905394283687089,0.0144657499692785,0,0,0,0,0.279586925390259,0,0,0,-0.0970960795846437,0.0243166112213793,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174492135312053,0,0,0,0,0,0,0,0,0,0.0569883165217217,0.0286005478313832,0,0.106614704920371,0.0274209378795059,0,0.0398875388461455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014274511593089,-0.00275872247997481,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0.114256468356063,0,0,0,0,0,0,0.118443291878248,0,0,0.0507783675337027,0,0,0.00427681677552794,0,0,0,0.0585290291322544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815703561042757,0,0,0,0.135116285850326,0,0,0,0.0257021570555016,0.140282500711487,0.193724674370073,0.0920482021964018,0.0358859918408314,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0662968276520124,0,0,0,0,0,0,0,0.121976716020081,0,0,0,0,0,0,0.092404513860064,0,0.0113871401995034,0,0.0381084783346808,0,0,0,0,0,0,0,0.258144425920101,0,0,0,0,0,0,0,0,0,0,0,0,-0.00369698211973511,0.0188459989595477,0,0,0,0,0,0
X000799.SZ,0,0.0883980516230809,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262981612485437,0,0,-0.0503435503402474,0,0,0,0,0,0,0,0,0.0889261217260025,0,0.374711170597016,-0.014525304719185,0,0.0513733253721642,0,0,0,0,0,0,0,0,0,0.460092267809791,0,0,0,0,0,-0.0116202467829069,0.0217415381380316,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0.177653988233815,0,0,0,0,0,0,0,0,0,0,0,0.137523048144758,0,0,0,0,0,0.0378738000813485,0.00444684900445014,0,0,0,0,0.277770694544796,0,0,0,0,0,0,-0.0140915410589506,0,-0.0309295022496,0,0,0,0.0183128104418409,0,0,0.0235086067724103,0.0124547379000204,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0.533839757797305,0,0,0,0,0,0,0,0,0.0807665916621764,0,0,0.122565810834989,0,0,0,0,0.204875255419655,0,0,0,0,0,0.00266002823220626,0,0.101122968391653,-0.349551903714619,0,0,0,0,0,0,0.0418447308841241,0,0,0,0.0356480997203008,0.0469825862620976,0,0,0,0,0,0,-0.0420751481409962,-0.0118788822518508,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.00386935344165286,0,0.0370422218738426,0,-0.233860005418101,0,0,0,0,-0.0353400213573796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363038598561071,0.0865507553687167,0,-0.0688256784391589,0,0,0,0,0,0,0.0355911466425993,0,0,0,0.0186974378261443,0,0,0.170843617380708,0,0,0.0521467857971894,-0.0259992026467128,0.0402797065097905,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0.267199073982032,0.354470030522575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020363364726631,0.515264474360851,0,0,0,-0.0393767913515148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149702946274,0,0,0,0,0.0488025359465414,-0.024011271284437,0.00576089764909896,0,0,0,0,0,0
X600779.SH,0.228313337017543,0.00543005015315683,0,0,0,0,0,0,0,0,0,0.0456281182646189,0,0,0.0193652965703338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411592657915947,0,0,0,0,0,0,0,0,0,0.399135341733247,0,-0.0821597146416187,0,0,0,0.0551016137360567,0,0,0,0,0,-0.0349754178805256,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0.121925217932931,0,0,0,0,0.206371937341303,-1.73472347597681e-18,0,0,0,0.0681373036786872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801548480474159,0,0,0,0,0,0,0,0.115319600430251,0.0822794496814551,0,0,0,0,0,0.00207532275566056,-0.00708320713032065,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0.199373432905871,0,0,0.144305683586683,0,0,0,0,0,0,0.0346438888413079,0.0299818228180761,0,0.147194366629078,0,0,0,0,0,0,0,0,0,0,0,0.179827704367726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0473602857463706,0,-3.46944695195361e-18,0,0,0.00697628759948776,0.0218527130189146,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0.0627394425300995,0,0,0,0.00987227433818148,0,0,0,0,0.0477807607565591,0,0,0.222330975169206,0,-0.107002815405993,0,0,0,0,0,0,0,0,0.0414433026015942,-0.0297411679569512,0.0454212361324361,0,0,0.197637964725955,0,0,0,0,0,0,-0.220656522101584,0,-0.00363039298636639,0,-0.00848556962208144,0,0,0,0,-0.00655344942838,0.0141826075089254,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0.180551024589218,0,0,0,0,0,0,0,0,0,0,0.184334736934184,0,0,0,0,0,0,0.124786076314258,0.0629563453279463,0,0.0199069324790705,0,0,0,0,0.041665928889591,0,0,0,0,0,0,0,0.0309956494420929,0,0.00124621064163886,0,0,0,0.00373794635099089,0,0,0,0,0,0,0,0.0119053280375306,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-0.19330549565033,0,0.107082664916197,0,0,-0.054818173490279,0,0,0,-0.0214282399890541,0,0,-0.0444148288899903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107740720031978,0.127638420534769,0,0.106532000456413,0,0.138602080115515,0,0,0,0.241011561901418,0.0479590473466023,0,0,0,0,0,0.032702364369539,-0.0966280013942489,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42993792326365,-1.10407564552723,0,0,0.700117275674129,0,0,0,0,-0.552791442159137,-0.864698860874229,0.473805076855739,0,0,0,0,0,0.402167929305885,0,0,0,0,0,0
TED,0,0,0,-0.0643043998704693,0,0,0,0,-0.226719453470591,0,0,0.339977174991831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.806692912522728,0,0,0,0,0.250513636472338,0,0,-1.73472347597681e-18,0.647930722092903,0,0,0,0.148241499032899,0,0,0,0.216041168690147,0,-1.81765358714589,-0.0228103615575448,0,0,0,0,0,0,0
RealEstate_excess,0,0,-0.0122413140643751,0,0,0,-0.00325367769576777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522065309038681,0,0,0,0,-0.0626024670179265,0,0.079656955362624,0,0,-0.0726641681771218,0,0,0,0,0,0,0,0,0,0,0,0,0.103997318642039,-0.0490516446329823,0,0,0,0,0.0507460140039624,0.0115298700331551,-0.0051092672437664,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0.0993402400917377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191476854339508,0,0,0,0,0,0,-0.059197586852392,0.0121915812655783,0,0,0,-0.0273223760979705,0,0,0,0,0,0,0,0.0548128351625859,0,0,0,0,0,0,0.00860971877507211,0.00872266849468262,0,0,0,0,0,0
MKvol,0,-5.15863234839658e-06,0,0,0,0,0,0.0031698924732173,0,0,-0.000722256999126357,0,0,0,0,0,0,0,0,0,0,-0.0010854456754694,0,0,0,0,0,0,0,0.00359206365083346,0,-0.00213169568196974,0,0,0,0,0,0,0.00109172917958234,0,0,0.000378734728544217,0,0,0,-0.00109123240066278,0,0,0,0,0,-0.00321650901992359,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0.00241593258805307,0,0,0,-0.00266330777330844,-0.00269129824980985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00204461779654593,0,0,0,0,0,0,-0.00252531934793737,0,0.00178903507110949,-0.00309950104130967,0,0,0,0,0.0200531372448781,-0.015780306724104,0.0195480586525154,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00196635014988612,0,0,-0.0010947149637665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00250645775914225,0.00479686656144349,-0.0108462455893795,0,0,0,0,0,0
CarbonVol_Hubei,0,0,-0.012288803651109,0,0,0,0,-0.00336211479249128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00151317276605992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622478926881155,0,0,0,0.0194412811045127,0.00355433383224765,-0.0458911888705924,0,0,0,0,0
