,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X300014.SZ,X600104.SH,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X002049.SZ,X000338.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600460.SH,X600089.SH,X000100.SZ,X300142.SZ,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X600563.SH,X600522.SH,X000800.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162248069690972,0,0,0,0,0,-3.46944695195361e-18,0,0.432241591328759,0,0,0,0,0,0.155039917894564,0,0,0.0308672088919862,0,0,0,0,0,0,0.0898120925658517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0.0419514084155097,0,0,0,0,0.0487899625582638,0,0,0,0,0.166950982518275,0,0,0,0,0,0,-0.0128056593726711,0,-0.131978949088029,0,0,0.163569585796002,0,0,0,0,0,0.0173707508488666,0.0348765863164693,0,0.0255537685612309,0,-1.73472347597681e-18,0,0,0,0.0893552333394056,0,0,0.0169823442950892,0,0,0,0,0.0234922789672267,0,0,0,0,0.020288461187891,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732582221087442,0,0,0,0.0731026880318827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209013293535316,0,0,0,0.142154225246092,0,0,0,0,0,0.167701658985628,0,0.0944280454537829,-0.00609870338544625,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0.0546241859096553,0,-0.0262977852298342,0,0,0.0534856061442702,0,0,0,0.0720655380470787,0,0,0,0,0.172534479461183,0,0,0,0,0,0.0721619849155878,0,0,0,0,0,0,0,0,0,-0.020868188056846,-0.0173931633890384,0,0,0.0135907525224755,0,0,0,0,0,0.0254261474692246,0,0,0,0,-0.00852993104473736,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,-0.0361286778058859,0,0,0.187837646360982,0,0,0,0,0,-0.0599664260841156,0,0,0,0,0,0,0,-0.052603330137237,0.180069776291862,0,0,-0.11618392144673,0,0,0,-0.185646276306719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348125640111527,0,0,0,0.110753654322287,0,0
X600563.SH,0,0,0,0,0,0,0,0,0,0,-0.0489770559104405,0.257111219836141,0,0,0,0,0,0,0,0,0,0,0.0565556849432859,0,0,0,0,0.256416894554438,0,0,0,0,0,0,0,0,0,0.12684557745516,0,0.00337594184099295,0,0,0,0,0.0981624530208551,0,0,0,0,0,0,0.0594046203411483,0,0,0,0,0.042282185198371,0,0
X600522.SH,0,0,0,-0.197193473901426,0,0,0,0,0,0,0,-0.0629774968916581,0,0,0,0,0,0,0.131542083782786,0,-0.180530436474472,0.0938492673125017,0,0.226830336665917,0,0,0,0,6.93889390390723e-18,0.16658624740466,0,0,0,0.0384326716204791,0,0,0,0,0,0.101608776567681,0,0,0,0,0,0.420542030583988,0,0,0.234352902505997,0.27401846733574,0,-0.0789996963813389,0,0,0,0,0.127884991165565,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0.139078559649009,0,0,0,0,0,0,0,0,0,0.0405162461777711,0,0,0,0,0.0842808756944246,0,-0.0293631022353352,0,0,0,0,0,0,0.399505672046028,0,0,0,0,0,0,0,0,0.0271834987901223,0,0.0593785260841432,0,0,0,0.00355127054921414,0,0,0,0,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,-0.101141885749186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435775704075928,0,0,0,0,0,0,0,0.0480253691431668,0,0.0270508682466165,0,0.00500779102923557,0,0,0,0,0,0,0,0,0,0,0.0396556041761769,0.199610431223774,0,0,0,0,-0.0497749717151017,0,0,0,0.0220874731770926,0,0
Change_TY3M,0,0,0,0,-9.95685921363538e-05,0,0,0,0,0,0.130905151194137,0,0,0,0,0,0,0,0,0,-0.10609923572457,0,0,0,0,0.0597454521543559,-0.00157365415020473,0,0,0,0,-0.00919590556933871,-0.0647002322337375,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0337000504658078,0,0,0,0,0,0
Slope,0,0,0,0,-0.163010571167428,0,0,0,-0.229149971294317,0.0456986473401328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773319698058199,0,0,0,0.0286423703382719,0,-0.372036539020456,0,0,0,0,0,0,0,0.123703822807492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944904943742487,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100139671056124,0,0,0,0,0,0.784749286092602,0,0,0,0,-0.238424884192651,0,0
RealEstate_excess,0,0,0,0,0.00847331772605865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498057091488578,0.018437613846701,0,0,0.0198563856411537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0936729310303441,0,0,0,0,-0.0705079912499822,0,0,-0.0385890707176991,0,0,2.80174247276808e-06,0,0,0,-0.039359574890199,0,0
MKreturn,0,0,0,0,0,-0.00772960282255725,0,0,0,0,0,0,0,0,0,0.00123234143663559,0,-0.0206213809711491,0.0582015215254911,-0.102907623347639,0,0,0,0,0,-0.00528574361151033,0,-0.0090504454364584,0,0,0,-0.0635866628453084,0,0,0,0,-0.0068891156141018,0,0,0,0,-0.0186993471371859,0,0,0.0901891206068659,0,0,0,0,0,0,0.00793458418480757,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0.0012014322529925,0,0,0,0.00106991257444876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060163396235352,0,0,0,0.000507351288113045,0,0,0.00134571571680929,0.000307888713293486,0.000987719134541556,0,0,0,0,0,0,0,-0.00100107031121542,0.000309208257178691,0,0,0,0.00197271216834305,0,0,0,0,0.00203119922005889,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121255637815686,0,0,0,0,0,0,0,0,0,0,0,0,-0.282102809121811,0,0,0,0.139917904284654,0,0,0.0670024197930547,0,0,0,0,0.045383376143901,0,0,0,0.0892171650788318,0.0999401112185905,0,0,0,0,-0.102477578109386,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.00314609596846804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00171269604213179,0,0,0,-0.00125957660410607,0,0,0,0,0,0,0,-0.00194164168416233,0,0,0,0.00671807878348325,-0.00409335555751594,0,0,0,0.00537878471465664,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937134401807998,0,0,-0.000191984777208735,0,0,0,0,0,0,0,0,-0.00594492835652038,0,-0.00122141336904687,0,0,0,0,0,0,0,0.00522639577763983,-0.00513689746972615,0,0,0,0,0,0,0,0,0,0.00954183353646921,0.00402824554487909,0,0,0,0,-0.028152442936545,0,0
