,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000100.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X002236.SZ,X600118.SH,X600271.SH,X002085.SZ,X600177.SH,X000157.SZ,X002007.SZ,X600372.SH,X300124.SZ,X300003.SZ,X000559.SZ,X600867.SH,X002294.SZ,X002292.SZ,X600089.SH,X002180.SZ,X002426.SZ,X600522.SH,X002074.SZ,X002508.SZ,X002506.SZ,X000981.SZ,X601877.SH,X000623.SZ,X300136.SZ,X000536.SZ,X600498.SH,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0.0959088856552177,0,0,0,0,0,0,0.220724066811849,0,0,0,0,0,0,0,0,0.033359924629401,0.019036413603553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000885821529293685,0,0,0,0,0,0.0238323427904919,0,0,0,0,0.0132673395078658,0.0236060015300274,-0.0182110021510653,0,0,0,0,0,0
X600703.SH,0,0,0,0.0810693801550765,0,0,0,0,0.137060941272156,0,0,0,0,0.0577287496244376,0,0,0,0,0,0.133881625371156,0,0,0.10480144353278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400367868438154,0,0,0,0,0,0.124692628933733,0,0,0,0,0,0.123194964424866,0.0231074452597443,0.0205810935134928,0,0,0,0,0,0
X600741.SH,0,0.419714021678857,0,0,0,0,0.151116394839161,0,0.055974723992282,0,0,0,0,0,0,0.0603145922709403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174599123424056,0,0,0,0,-0.00468629119865971,0.00102849579347155,0,0,0,0,0,0
X600031.SH,0,0,0,0.0427820452855387,0,0,0,0,0,0,0.0737894726193309,0,0,0,0,0,0,0,0,0.0181510094148452,0,0,0,0,0,0,0.309966481494886,0,0,0,0,0,0,0,0,0.043649241111708,-0.0420669892837962,0,0,0,0,0,-0.0164142915946749,0,0,0,0.287629956157128,0,0,0,0,0.00453484203879674,0,0,0,0,0,0
X000568.SZ,0,0,4.33680868994202e-19,0,0.410878238161241,0,0.088821881382385,0,0,0,0,0,0,0,0,0,0,0,0,0.0212616067003165,0.0928453997291834,0,0,0,0.0944838963859266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410861554189877,0,0,0,0,0,0.0081182515593225,-0.0104932083640263,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0.0479537703254603,0,0,0,0,-0.0843276875038741,0,0,0,0,0,0.201595239375744,0.0601804199334672,0,0,0,0.0602762463156267,0,0,0,0,0,0,0,0,0,0,0,0,0.047970499765998,0.114981644058392,0,0,0,0,0,0.0810680367565621,0,0,0,0,0.0210311293176276,-0.00066682748413611,-0.0073647287932031,0,0,0,0,0,0
X002475.SZ,0,0.208475525428576,-0.0202259382322284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169624590958827,0,0,0,0,0,0.0983968822760809,0,0,0,0,0,0,0,0,0,0,0,0.0257415060899378,0,0,0,0,0,0,0,0,0.0447548629405227,0,0.223481030703109,0,0,0,-0.00807240336371811,0.0435245019827981,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297824213393333,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165441502995961,0.276947531664107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219366440245226,0,0,0,0,0,0.201088231161318,0,0.00985424978748266,0,0,0.0786041918949724,-0.0552677362127042,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145582363809068,0,0,0,0.152189922620958,0.0115797489287927,0,0,0,0.138438989810059,0,0,0,0.0592840386056191,0,0.460518651432629,0,-0.0483292268479617,0.055397919251549,-0.0723073960183239,0,0,0,0.0141586754175891,-0.0489750236955982,0.0355226861118487,0,0,0,0,0,0
X002456.SZ,0,0.0542177051787627,0,0,0,0,0,0,0,0,0,0,0,0,0.0962895583753825,0,0.292817366347311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151438859091716,0,0,0,0,0,0,0.261907805096861,-6.93889390390723e-18,0,0,0,0,0,8.67361737988404e-19,0,0.106605954309561,0,0,-0.00994240907327732,-0.0147087055824648,0,0,0,0,0,0
X002236.SZ,0,0,0,0.0386899626722266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673001080160502,0,0,0,0,0,0,0,0,0,0.193906481137946,0,0,0,0,-0.102365673341754,0,0.19730569036169,0.0678046060389622,0,0,0.116492113446041,0,0,0,0,0.00886684651887619,0,0,0,0,0,0,0
X600118.SH,0,0,0,0.0683511589573299,0,0,0,0,0,0,0,0.0387299691591329,0,0.153738210660721,0,0,0,0,0,0.0836330553495815,0,0,0,0,0,0,0,0,0,0.106506582565988,0.0738117817914324,0.0244254547908481,0.026132658060068,0,0,0,0,0,0,0.153540079359709,0,0.0477773639542508,0,0,0,0,0,0.0190805721787692,0,0,0,-0.00107426348178734,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252449240804937,0,0.00471395153409153,0,0.0210345166273433,0,0.012962684903753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565679295928987,0,0,0.092990633220648,0,0,0,0.0208614873033931,0,0,0,0,0,0.0463527012660347,0.192300130514131,0,0,0,0,0
X002085.SZ,0,0,-0.0344099338512045,0,0,0,0,0,0,0,0,0,0,0.105023535090116,0,0,0,0,0,0,0.119669366654827,0.238644538489453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163976242122477,-0.0315309439349232,0,0,0,0,-0.0186732969248759,-0.0157945741750081,0,0,0,0,0,0,0
X600177.SH,0,0.0875128857281404,0,0,0,0,0,0,0,0.050339943791364,0.221495664567132,0,0,0.0372490169956122,0,0,0,0,0,0,0.0586895816263638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157700411714572,0,0,0,0,0,0,0,0,0,0.0630444806580119,0,0,-0.00531440828020072,0,0.00431732579190942,0,0,0,0,0,0
