,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X002049.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X002241.SZ,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600487.SH,X600702.SH,X600584.SH,X600884.SH,X600563.SH,X002414.SZ,X601799.SH,X002236.SZ,X000799.SZ,X000066.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600563.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.181503908503928,0.0974147330256259,0.146485610332503,0,0,0,0,0.0882630886423568,0,0,0,0,0,0,0,0,0.171348762211459,-0.169857739306329,0,0,0,0.119688577589724,0,0,0,0,0,0.0929266713892254,0,0,0,0,0,0.12769020251874,0,0,0.0872038451789653,0,0,-0.0854073684471334,-0.00530845723770459,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,-0.0828186942242088,0,0,0,0,0,0,0.256089286203486,-0.119644517230716,0,0.231245956755939,0,0,0,0,0,0.0797241934628436,0,0,0,0,0,0,0,0.136140883277412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.407817265704653,0,0,0,0.00863412535979139,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0414786826604238,0,0,0.0885558535289493,0,0,0,0.00841520571132864,0,0,0,0,0,0,0,0,0,0,-0.156596087088249,0,0,0,0,0.0630155104387641,0,0,0,0,0,0,0.168329963602968,0.102353088377596,0,0,0,0,-0.0654692180775996,0,-0.144160359051346,-0.000153568465502204,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.131258264655665,0,0.111819966648247,0,0,0,0,0,0,0,0.103816541184942,0,0,0,0,0.250146320167396,0,0,0.10260899810496,0,0.151535912880271,0,0,0,0.0364459972890222,0,0,0.0785186179340945,0.0333072589656328,0,0,0,0,0,0,0,-0.0389674661250734,0,0,0,0,0,0,0,0,0.0611002389242863,0,0,0,0.01559337735,0,0,0,0,0,0
X000799.SZ,0.0476092875775898,0.0589875490159103,0,0,0,0.121471949300122,0,0,0,0,0,0,0,0,0,0,0,0,0.0496216763538988,0,0.0295195670042185,0,0,0,0,0.00250100581309944,0,0.172908212223246,0,0,0,0.0254752226971444,0,0,0,0,0,0,0,0,0.286252852543031,0,0,0,0.12438003823118,0,0,0,0,0,0,0.0534703537170701,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0.0128933075772583,0,0,0,0,0,0,0,0.25346809244484,0,0,0,0,0,-0.0242971347201317,0.0781835145517306,0,0,0,0,0,0.202739442015512,0,0,0.00175543462913384,0,0,0,0,0,0,0,0,0,0,0.220163927283922,0,0.0155326037282868,0.0758411366254422,0,0,0,0,0,0,0,-0.0237191025151808,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.053384829399992,-0.0670543300559823,0,0,0,0,0,0,0,0,0,0,0,0,-0.03878177021104,0,0.0747611212328317,0,0,0,0,0,-0.0113335716166413,0,0,0.0276238690476827,0,0,0,0,0,0,0,-0.0126202354117403,-0.0557187321224973,0,-2.71050543121376e-20,0,0.0676848212940874,0,0,0,0,0,0,0.0617511570362845,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0.130285988245832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117961567153075,0,0,0,0,0,0,0.10407211445869,-0.0240045286285088,0.0133430405070741,0,0,0,-0.0782141213192178,0,0,0,0,0,0,0,0,-0.159300766226568,1.73472347597681e-18,0,0,0,0,0,0,0,0.033772148395912,-0.100599544356066,0,0,0,0,0,0
Slope,0,0,0,0.17962721312846,0,0,-0.0877530255466661,0,0,0,0,0,0.180493927030918,0,0,0,0,0,0,0,-0.0417205790979029,0,0,0,0,0,0,0,0.317543552594558,0,0,0,0,0,0,-0.533668892409374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111832358848865,0.876657623415437,0,0.776929682475877,0,0,0,0,0,0
TED,0,0,0,0,0,0,0.0149936982877891,0,0,0,0,0,0,0.0924259861526013,0,-0.0913486723882878,0,0,0,0,0,0,0,0.233250721095272,0,0,0,0,0,-0.244548058071434,0,0,0,0,0,0,0,0,0,0,0,0,0.110833161354663,0,0,0,0.13494815770446,0,0,0,0,0.588694568494298,0,0,0,0,0,0,0
