,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X000157.SZ,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X000661.SZ,X002028.SZ,X600066.SH,X600584.SH,X002129.SZ,X600522.SH,X000921.SZ,X601877.SH,X000800.SZ,X601799.SH,X600183.SH,X600418.SH,X002074.SZ,X600566.SH,X002007.SZ,X002223.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,-0.00726149192862995,0,0,0.158164920316955,0,0,-0.0580296790564511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625962457579193,0,0,0.0274130077856331,0.121718847362471,0,0,0,0,0,0,0,0,0,0.0150576879692484,0.0146648775117311,0,0,0.0383926282739197,0.112914140436005,0,0.0832969342950254,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0.0814960395961342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224830340362996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425514113600601,0,0.064194898732166,0.259105890513586,0,0.00992022050017359,0,0,0,0,0,-0.115139381145328,0.04322920504109,0,0,0,0,0,0.0253097004742217,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.102122537606292,0,0,0,0,0,0,0,0,0,0.00670790927163714,0,0,0,0,0.205406017993596,0,0,-0.07385328252607,0,0,0,0,0,0,0,0,0.0394383881411224,0,0,0,0,0,0,0,0.0579328706115093,0.169598120499206,0,0.00612797992877315,0,0,-0.0953333288113236,0,-0.0923116510196068,0.0918673857974256,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.174882033192891,0,0,0,0,0,0,0,0,0,0,0,0.046205437627433,0.0922608500392028,0,0,0.217172599214586,0,0,0,0,0,0,0,0,0,0,0,0.00243483357824905,0,0,0,0.0084442988354923,0,0,0,0,-0.0487684205607197,0,0,0,0,0,0,0,0,0,-0.0133948931190093,0,0,0,0,0,0
X000596.SZ,0,0.296336133610469,0.108267398883467,0,0,0.331997014423363,0,0,0,0,0.0197299066093844,0,0,0,0,0,0,0,-0.0261357241263867,0,0.0443039035410621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239877867684532,0,0,0,0,0,0,0,0,0.101744395594389,0,0,0,-0.00685633117120225,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130075067950446,0.0977208173949446,0,0,0,0.264220714649865,0,0,0,-0.00754725199693943,0.092743834469232,0.222573060786047,0.136634217542438,0,0,0,0,0,0,0,0,0,0,0.0581232686939946,-0.0360835448518773,-1.73472347597681e-18,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.00116955731386397,0,0,0,0,0.0657224559069394,0.0507047505487759,0.0720122261588268,0.0241506741076845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722322912226283,0.00340145952837765,0,0,0.0388839276901699,0,0,0,0,0,0,0,0,0,0,0.0829168908976271,0,0,0,0,-0.00165691005194383,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291304297502885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556744200282841,0,0,0.219010961056066,0.0301795714919687,0,0,0,0,0.00300803353312511,0,0.188994863968463,0,0,0.0234657887746755,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0.118013981286475,0,0,0,0.0100398203187061,0.110985407626447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169241273828569,0,0,0,0,0,0,0,0.495697326841999,0,0,0,0.0855884115393604,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.00963515165613388,0,0,0,0,0,0,0,0,0,0.0946188667926215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657219014616527,0,0.0278286581058509,0,0,0,0,-0.0707826093980974,0,0,0.0911855001655701,0.176698435235547,0,0,0,0,-0.0172461603772528,0,0,0,0,0,0,0
