,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X002241.SZ,X003816.SZ,X002371.SZ,X002129.SZ,X000063.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002049.SZ,X000625.SZ,X601877.SH,X002179.SZ,X600741.SH,X300142.SZ,X000100.SZ,X600089.SH,X600460.SH,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X000157.SZ,X600522.SH,X600884.SH,X000799.SZ,X002236.SZ,X000733.SZ,X002008.SZ,X002414.SZ,X600584.SH,X600779.SH,X002007.SZ,X601799.SH,X000977.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002049.SZ,0,0,0,0.146933320140003,0,0,0,0,0,0,0,0,-0.0574359471059546,0,0,0,0,0.253866481746706,0,0,0,0,0,0,0,-0.052182612491623,0,0,-0.122127233830875,0,0,0.186887465973623,-0.115350782714526,0.153336057158626,0,0,0,0,0,0,0,0.0042384464681687,0,0,0,0,0,0,0,0,0.0522914504772496,-4.33680868994202e-19,-0.0335107349025086,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101940057512231,0,0,-0.0793718963516516,0,0.472591755017182,0.0168717043328794,0,0.0694170181210737,0.104871143608665,0,0,0,0,0,0,0,0.0189603350259233,0,0,0,0,0,0,0,0,-0.0447186009290597,0.0374383262120075,0,0,0,-0.0332018687962815,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847511513343225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838656369501697,0,0,0.000762371316142745,0,0,0,0.148072118006621,0,0,0,0.142311617370708,0.273918202680928,0,0,0,0,0,0,0,0,0,-0.00634392014962834,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137822699853708,0,0,0,0,0,0,0,0.025069251131591,0,0,0,0,0,0.00650997243749993,0,0,0,0.0319824710549989,0,0,0.116477077180996,0,0,0.0695273581202364,0,0,0,0,0,0,-0.0293655911336224,0,0,0,-0.0136041508214797,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0.170878551495016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0824470469954257,0,0,0,-0.0416013382356001,0,0,0,0,0,0,0,-0.00388449092310351,0,0,0,0,-0.0188507708537922,0,0
X300142.SZ,0,0,0,0,0.0976275717637845,0,0,0,0,-0.107741647302259,0,0,0,0,0,0,0,-0.144134714104994,0.129716063402147,0,0,0.0514103585327087,0,0,0,0,0,0,0,0,0,0,0.0389994411293494,0.150477763744362,0,0,0,0,-0.208115334969154,0,0.167986411536641,0,0,0,0,0,0.391394744434292,0,0,0,0,0,-0.00240662740033027,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0755997253171532,0,0,0,0,0,0,0.127840193793168,0.0887393789641478,0,0,0,0,0,0,0.0458362949254044,0,0,0,0,0,0,0.00871523693352453,0,0,0,0,0,0,0,0,0,0,0,0.0172854098149264,0,0,0,0.0256693078146133,0,0,0,0,0,0,0,-0.00559829067581507,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894182337943685,0,0.0239707496281289,0,0,0,0,0.0662282633108418,0,0.0302626604629038,0,0,0,0,0,0,0,0,0.084483181358491,0,0,0,0.17995641399719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190727877655269,0,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701045142476708,0,0.0510013556474771,0,0,0,-3.46944695195361e-18,0,0.0444764889387677,0.26139387450295,0,0,0,0,0,0,0,0,0,0.163855732046901,0,0,0,0,0,0,0.16269221507896,0,0,0,0,0,0,0,0,0,-0.0159130520143664,0,0,0,0,-0.0283271617372858,0,0
X000661.SZ,0,0,0,0,0,-0.163964069236034,0,0,0,0,0,0,0,0,0,0,0,0.285706731440427,0,0,0,0,0,0,0,0,0,-0.0358240754150478,0,0,0,0,0,0,0,-0.0814061279875241,0,0,0,0,0,0,0,0,0,0,0.70361941855673,0,0,0,0,0.255523462501477,-0.161324674686207,0,0,0,0.222094534680393,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234996646443874,0,0,0.0765301806099788,0.13243252054351,0,0,0,0.0308000050276994,0,0,0.130908109699438,0,0,0,0,0,0,0,0,0,0,0,0.119559591485412,0,0,0,0,0.0175256623748752,0,0,0,0,0,0,0,0,0.0210432413465328,0,0,0,0,-0.0349352519490267,0,0
X002180.SZ,0.0105246090166258,0,0,0,0,0,0,0,0,-0.0699175786817856,0,0,0,0,0,0,0,0,0.0645193008499934,0,0,0.177967071990805,0.0206979629540138,0,0,0,0.0278204531198006,-0.0101424347029744,0,0,0,0.0133145059749812,0,0,0,0,0,-0.077575582040349,0,0,0,0.0996045720010287,0,0,0,0,0,0,0,0,0,-0.0442105012169834,0.0302736173572515,0,0,0,-0.0223794999140015,0,0
X600702.SH,0.0718772763374,0,0,0,0,0.206624642467273,0,0,0,-0.048739937873801,0,0,0,0,0,0,0,0,0,0,-0.258121276519171,0,0.0223577233775879,0.0752865703681353,0,0,0,0,0,0,0,0,0,0.0864799073408539,0,0,0,0,0,0.555947491442129,0,0,0,0,0,0.198250250916103,0,0,0,0,0,0.0356239505082063,0,0,0,0,0.0569983644570133,0,0
X000157.SZ,0,0,0,0,0,-0.0663102965409346,0,0,0,0,0.0841525292974919,0,0.4402057017029,0,0,0,0.0563730976452553,0,0,0,0.0388559388048998,0,0,0,0,0,0,0,0.108723159765499,0,0,0.00715619498689359,0,0,0,0,0,0.0386499926926573,0,0,0,-0.00389728617756597,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0
