,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600118.SH,X000559.SZ,X600271.SH,X000100.SZ,X600066.SH,X600372.SH,X002292.SZ,X000157.SZ,X002241.SZ,X600741.SH,X002475.SZ,X600089.SH,X002236.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X300003.SZ,X002506.SZ,X600177.SH,X000568.SZ,X600839.SH,X002129.SZ,X002074.SZ,X002294.SZ,X600867.SH,X000977.SZ,X000547.SZ,X002276.SZ,X000869.SZ,X600498.SH,X002008.SZ,X000800.SZ,X300146.SZ,X600582.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,0,0,0,0,0,0,0,0.382752353006176,0,0.0880798985447293,0,0,0.020442437784414,0,0.0272079392920995,0,0,0,0,0,0.0757965211060985,0.0484969194394199,0,0,0.0218011600967716,0,0,0.0795934490283601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00584997791591528,0,0,0,0,0,0,0
X600839.SH,0,-0.215918432379485,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,7.60666333269087e-07,0,0,0,0,0,0,0,0,0.171060434662579,0,0.15101301099139,0,0,0,0,0,0,0,0,0.118309057637679,0.0775746965597805,0,0,0,0,0,0.266109571025125,0,0,-0.0151581147165774,-0.0180875279783059,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217950127971818,0.0304260916906288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184461766480014,0.0171501803309493,0,0,0,0.208000527890959,0,0.194786048000707,0,0,-0.00933892906512545,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0162214074411612,0.288512403100105,0.356097901190353,0,0,0,0,0.0187258575899361,0,0,0,0,0,0,0,0.021569087913729,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0739557315230826,0,-0.00884331532751661,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0529222897683245,0,0.1444550147023,0,0,0,0,0,0,0.0524676177888898,0,0,0,0,0.0442290396613654,0,0,0,0.0451448750060516,0,0,0,0,0,0,0.0780984915889853,0,0,0,0,0,0,0,0,0,0.024469437600013,0.113842781692389,0,0,0,-0.0163032046465502,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750846463083951,0,0,0,0.120977592572757,0,0,0,0,0,0,0,0,0,0,0.0798012218531096,0.307950145843488,0,0,0,0.167523771180329,0,0,0.0207162338700059,-4.33680868994202e-19,0,0,0,0,0.00623116031190311,0.0223868888381409,0,0.0723220678748521,0,0.015217496450899,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228051435414115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209998169539055,0,0.0879002420095901,0,0,0,0.0680626673897747,2.16840434497101e-19,0,0,0.323612673744382,0,0,0.200169477972443,0,0,0,0.0188351393648673,0,0,0,0,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873589587604084,0.152620924531174,0,0,0,0.0751206769508343,0,0,0,0,0,0,0,0,0,0.133539878606604,0,0,0,0,0,0.0691177785131711,0,0,0,0.0321689370343256,0,0,0,0,0,0,0,0,0,0,-0.00711026263056958,0,0,0,0,0,0,0
X002276.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124974999944906,0,0,0.0743663017433755,0.338512485769296,0,0,0,0.0135654109925308,0.000656321394068007,0,0,0,0,0.138128588740975,0,0,0.0219894791732076,0,0,0,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0.0946143029326604,0,0,0.0931639075491885,0,0.0228313745479316,0.0441057803988021,0,0,0,0,0,0,0.00239410619809443,0.0363799391530201,0.114055517133623,0,0,0,0.118728370795937,0,0,0,0,0,0,0.0563910532483561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207652171483817,0,0,0,0,0.0197420955731423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980480239005408,0,0,0,0.155012687829133,0.0753097071416354,0,0,0,0.0663421583665412,0,0,0.163692336888488,0,0,-0.0283062790598467,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10637014592636,0.230414520737892,0,0,0,0,0,0,0.111786102682947,0,0,0,0,0,0,0.112787145967405,0,0,0,0,0.0525525111962536,0,0,0,0,0.0274953972961127,0.134004374649734,0,0,0,0,0,0,0.0861323896982886,0,0,-0.0183285542651079,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263679006782275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.368916088355714,0.0198199884508596,0,0,0.0351385714024157,0,0.0499595949786918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196454508951358,0,0,0,0,0,0,0,0.0894435341358759,0,0,0,0,0.0397974299247296,0,0,0,0,0,0.110523065041887,0,0,0,0,4.33680868994202e-19,0,0,0.012592090297093,0.298363688046875,0,0,0,0.032570818860795,0,0.0141412936687718,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409083263246848,0,0,0,0,0,0.104674109359606,0.0466630695523435,0,0,0.0368494257803671,0.174929079901408,0.0328103366176042,0,0,0.232866751062184,0,0.182826919188463,0,0,0,0,-0.00470586981982305,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373129111500226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135009413170553,0,0,0,0,0,0,0,0,0,0,0,0.0527166617772741,0,0,0,0,0,0,0,0,-0.00658246458921925,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.032686635380663,0,0,0,0,0,0,0,0,0,0,0.0642713439729631,0,0,-0.0506435163698759,0,0,0,0,-0.083772831361131,0,-0.00356190835668516,0,0.05533427947071,0,-0.0234574231541667,0.0545315213170462,0,0,0,0,0,0,-0.0374878039443765,0,-0.0319098725180312,-0.0418604764104997,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115744629045945,-0.693266296214552,0,0,0,0,0.137458559998102,0,0,0,0,0.0339779923694527,0,0,0,0,0,0,0,0,0,1.83336434813948,0,0,0,5.68166496007455,0,0
TED,0,0,0,0,0.207926981450722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153180045490845,0,0,0,-0.00612106613059098,0,0,0,0,-0.0569428770955352,0,0,0,0,-0.346881916935934,0,-0.0815639640275195,0,0,0,0,0.412202151288291,0,0,0,0,0,0,0,0,0.0955625548817835,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0.010480578524745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383054058157469,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.137170243624379,0,0,0.0389700886015301,0,0,0,0,0,0,0,0,0,0,0,-0.286549390638513,0,-0.0222501407859157,0,0.0128216448849718,0.131793078365894,0,0.169914422530125,0,0,0,0
MKreturn,0,0,0,0,-0.117620655124107,-0.389696881127817,0,0,0,0,0.282963758716596,0,0.00386144196455519,0,0,0.0722304480898279,0,0,0,-0.177745944628131,0,0,0,0,0.1197033914887,-0.0113503448389003,0,0,0,0,0,0,0,0,0.0593469417798668,0,0,0,0,0,0.195182576863501,0,0,-0.104369169931392,0,0,0,0,0,-0.0311426959945946,-0.0466465857354325,0.333944044204945,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735438693338786,0,0,0,0,0,0,0,0,0.00048607987658582,0,0,0,0,-0.00323951738556939,0,0,0,0,0,0,-0.0109411418149187,0,0,0,0,0,0,0,0,0,0,0,-0.00242183047676717,0,0.0032537698354712,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00329929839117509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086554189533984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479897929269501,-0.0131113608113832,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161855382348297,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412240620416409,0,0,0,0,0,0,0.00534907601854097,0,0,0,0,0,0.00657072715498428,-0.0110321338598033,0,0,0,0,0,0,-0.0142113295738219,0,0,0.00342910287587389,0,0,0,0,0.000299072991797815,0,0,0,0,0,-0.0120919315684354,0,0,0,0,0,0,0
