,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000100.SZ,X300003.SZ,X600703.SH,X600271.SH,X002236.SZ,X002007.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X300142.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600487.SH,X300146.SZ,X002506.SZ,X600066.SH,X600867.SH,X000050.SZ,X002241.SZ,X600776.SH,X600566.SH,X600522.SH,X002129.SZ,X600118.SH,X600183.SH,X600089.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600776.SH,0,0,0,0,0,0,0,0.255035402943243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362979646893991,0,0,0,0,0,0,0,0.452304462327942,-0.342886040500129,0,-0.111111486056025,0,0,0,0,0,0,-0.0906364293288513,-0.00506162447929812,0,0,0,0,0.0171152098000105,0,0
X600566.SH,0,0.1106040081162,0,0,0,0,0,0,0,0,0,0.0828476452621086,0,0,0,0,0,0,0,0,0.376624189133078,0,0,0,0,0,0,0,0,0.0724498478283031,0,0,0,0,0.016792066254358,0,0,0,0,0.0802925528787546,0,0,-0.0304089670631343,0,0,0,0,0,0,0,0,-0.0265673585779761,-0.00183055397758244,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0.23994914996762,0,0,0,0,0.0131135578083995,0.0402454664480994,0,0,0,0,0,0.0864600380980071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671176380785841,0,0,0,0,0,-0.00139091431594768,0,0,0,0,-0.0307349969207065,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.151699448747148,0,0,0,0,0,0,0,0,0,0,0.280134576541516,0,0,0,0,0,0.0622500916033761,0,0,0,0,0.0701403528477343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268071316929396,0,0,0,0,0,0,0.0551074629197702,0,0
X600118.SH,0,0,0,0,0,0,0,0.102596405458324,0,0,0,0,0,0,0,0,0,0,0,0.115630990760821,0,0,0.075473146204319,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.12182775597301,0,0,0,0,0,0.100835064028735,0,0.0293835909517623,0,0,0,0,0.0439075494416357,0,0,0,0,0,0,0,0,0,0,0
X600183.SH,0,0.0820409936356812,0,0,0,0,0,0,0.00620952963510527,0,0,0,0,0,0,0,0,0.0178990167255243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028060863075914,0.430474989305964,0,0.0711729988697016,0,0,0,0.0360084790888783,0,0.0325287137104829,0,0,0,0,0,0,0,0.0880819526003617,0,-0.0291866380711011,0,0,0,0,-0.0246532530643946,0,0
X600089.SH,0,0.111542905141278,0,0,0,0,0,0,0,0,0,0,0,0.0115017652877238,0.0678999825777627,0,0,0,0,0,0,0,0,0,0,0,0,0.0424362555620716,0,0,0,0,0.111404302702396,0,0,0,0,0,0.0998087446558802,0.0312005590514448,0.0115427059013583,0,0.0375873832653673,0,0,0.0610777612174929,0,0,0,0,0,0,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023874581673006,0,0,0.0545336925211399,0,0.331708960926214,0,0,0,0,0,0.325956931209012,0,0,0,0,0,0.102612142038681,0,0,0,0,-0.0349568365501467,-0.042433538173454,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069820037239495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996304616342925,-0.145770984806038,0,0,0,-0.145899508734,0,0,0,0,0,0,0,0,-0.0456469658498415,-0.0332216593300773,0,0,-0.134210263498347,0.0564982422174738,0,0,0.195358273773776,0,-0.029098694921359,-0.112203058082148,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.203774316160331,0,-0.0832924300548545,0,0,0,0,0,0,0,-0.121389513259692,0,0,-0.0395716575894486,-0.381596161077514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831715108543839,0,0,0,0,0,0,-0.083723923952398,-0.241977066137496,0,0,0,0,0,0,0,0,0,0.57173658050422,0,0,0,0.227671041930566,0,0
