,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000625.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X002463.SZ,X600703.SH,X600741.SH,X000977.SZ,X600372.SH,X600066.SH,X002049.SZ,X002028.SZ,X002241.SZ,X000661.SZ,X000921.SZ,X600584.SH,X600522.SH,X002129.SZ,X601877.SH,X000800.SZ,X600566.SH,X601799.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600177.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600372.SH,0,0,0,0.134928730424794,0,0,0.0340107968332926,0,0,0,0,0.0471280664667357,0,0,0,0,0,0,0,0,0,0,0.114868294073625,0,0,0,0,0,0,0.102998083584311,0,0,0,0,0,0,-0.0412160439025069,0.0401419649705482,0,0.102302104705176,0,0,0,0.0570100339316163,0,0,0,0,0,0.117877469398987,0,0.150427869386758,-0.141790869911215,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0.253724826273486,0,0.191496989024559,0.232267925420212,0,0,0,0,0,0,0,0,0,-0.0512052394582414,0,0.0247916891026977,0,0,0,0,0,-0.0414069559336881,0,0,0,0.21995451056675,0,0,0,0,0,0.0390511781171705,0,0,0,0,0,0,6.93889390390723e-18,0,-0.00744425843503511,-0.0248516051925394,-0.215618871394954,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05752930422288,0,0,0,0,0,0,0,0,0,0.068022501723068,0,0,0,0,0,0,0,0,0,0,0,0.304334403656482,0,0.125537468026083,0,0,0.125594800059025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002028.SZ,0,0,-0.0829998425479034,0,0,0,0,0,0,0,0,0,0,0.0939949396980845,0,0,0,0,0,0,0,0,-0.067863305831967,0,0,0,0,0,0,-0.034894629177525,0,0.287646944782291,0,0,0,0,0,0,0,-0.124416181870894,0,0,0,-0.0560689586788538,0,0,0.201166427259457,0,0,0.115108021602833,0,0.0641904104269669,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0.300745740106448,0,0.131088450685504,0,0,0,0,0,0,0,0,0,0,0.047887164789586,0,0,0,0.0400824392354742,0,0,0,0,0,0,0,0,0.109528687620264,0,0.0185038910550283,0,0,0,0,0,0,0,0,0,0,0,0.0889854213537505,0,0.0341897701558505,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.167912710384515,0.165290973403084,0,0.0715755059846191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197504184351242,0,0.0672250769418247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220758447942526,-0.000528527046343391,0,0,0,0,0,0
X000921.SZ,0,0,0,0,0,0,0,0.117080899846498,0.0469697878457196,0,0,0,0,0,0,0,0,0.064269538389622,0,-0.0301566819275529,0.0609167556097872,0.150055165653107,0,0,0,-0.148267109281462,0.0461298099862991,0,0,-1.73472347597681e-18,0,0.136743258704862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382737645322582,0,0,0,0,0,0,0
X600584.SH,0,0,0.111894711056706,0,0,0,0.129450530826305,0,0,0,0,0,0,0,-0.0670582171585371,0,0,0,0,0,0,0,0,0,0,0.448971423108948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141820521708011,0,0.0984443551916129,0,0,0.127499787124718,0,0,0,0,0,0,0.0940307078226827,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0.0639052527368244,0,0,0,0,0,0,0,0,0,0,0.160070964164126,0,0,0.0906805250459575,0,0,0,0.136540089067384,0,0,0.252332274022856,0,0,0,0.0879367427766317,0,0,0.0208075455120623,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.000568116869889538,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.271479483748159,0,0,0,0,0,0.0892310794505933,0,0,0,0,0.34950395691149,0,0,0,0.0493693725261678,0,0,0,0,0,0.279756697687723,0,0,0,0,0,0,0,0.0692119730139405,0,0,0,0,0,0,0,0,0,0,0.0309451817073676,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0.0971936578547497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052546160853262,0,0,0,0,0,0,0,0,0,0.167333363285919,0,0,0,0,0,0,0.102813074180872,0,0,0,0,0.0127182795732697,0,0,0,0,0,0,0.0215069002452836,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0272380918839679,0,0,0,0,0,0,0,0,0,0,0,-0.0568151525847337,0,0.195722761985391,0,0,0,0,0,0,0,0,0,0,0,0.011806784329569,0,0,0,0,0,-0.00444320253764843,0,0,0,0.0715429473451958,0,0.268257556741111,0,0.00858112643408194,0,0,0,0,0,0,0
X600566.SH,0,0,0,0,0.0610748179153641,0,0,0,0.0360952246590729,0,0,0,0,0,0,0,0,0.0261686602174098,0,0,0.0344422645435085,0,0,0,0,0,0,0,0,0,0,0.0923246570921471,0,0,0,0,0,0.106661597493823,0,-8.67361737988404e-19,0,0,0,0,0,0,0.283725282187481,0,0,0,0,0,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0.218915973520128,0,0,0,0,0,0,0,0,0,0,-0.0780565972515045,0,0,0,0,0,0,-0.0111970525049391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209819275029866,0,0,0,0,0,0,0.0196054839946543,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0.168310649238155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124923568541501,0,0,0,0,0,0.182771774691324,0,0,0,0,0.225883358488816,0,0.177946317570797,0,0,0,0,0,0.0382996390284607,0,0,0,0.0100929418661746,0,0.0547043663234813,0,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0.0346429855580109,0,0.0103123707105831,0,0,0,0,0,0,0,0.0115502591190919,0,0,0,0,0,0,0,0,0,0,0,0.127393997580991,0,0,0,0,0.0384317022867852,0,0.00530019317542536,0,0,0,0.0754471681556671,0,0.0731666681795804,0,0.00288720594493316,0.0575959601744489,0,0,0,0,0,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560214065919441,0,0,0,0,-0.094187666625039,0,0,0.0211978359149223,0,-0.0639720607507536,0,0,0,0,0.135391202905538,0,0,0,0,0,0.389697148500108,0,0,0,0,0,0,-0.0509422700709966,0,0.0815221070566924,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0.169161756494,0,0,0.0520737232010041,0,0,0,0,0,0,0,0.0987646188362766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468501758727389,0,0,0,0,0,0,0,0.134974351689206,0,0,0,0,0,0.0636754316476221,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0713252829476918,0,0,0.0580970492366279,0,0,0,0,0,0,0,0.0575051522712263,0,0,0,0,0.0109153308275091,0,-5.42101086242752e-20,0,0,-0.0975631767605897,0,0.0873674835730107,0,0,0,0,0,0,0,0,0,0,0.0742200119338723,0,0,0.293685435460572,0.0822124408839772,0,0,0,0.00556474529829833,-0.0110141043063653,0,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0,0.484300794508816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0979798351970347,0,0,0,0,0,0,0,0,0.238589052302737,0.0171184697592052,0,0,0,0,0.10032115702962,0,0,0,0,0,0,0,-0.0685284247236125,-0.0736399274483742,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657120154360882,0.00643364485371954,0,0,0,0.0495204954398043,0,0.0711243485433617,0,0,0,0,0,0,0,0,-0.0450605358567419,0,-0.00108147849118091,0.0926935501771733,0.0337269360381534,0,0,0,0,-0.042938632227814,0,0,0,0,0,0,0.0722913001361744,-0.17833554319359,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-0.197912686674061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794789755406215,0.166309872465167,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149941129255383,0,0,0,0,0,0,0,0,0,0,0,0.0528351892635831,0,0,0,0,-0.164300526976261,0,0,0,0,0,0,0,0.635790579949901,0,0.0436293493244443,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0.0431563933427061,0,0,0,0,0,0,0,0,0,0,0,0,0.0469601699451989,0,0,0,0,0,0,-0.153801053596314,0,0,-0.120531081138455,0,0,0,0,-0.0355595794184318,0,0,0,0,0,0,0,0,0.377118730386773,0,-0.108364403548437,-0.108607411591469,0,0,4.33680868994202e-19,0.0155180109471655,0,-0.0551750296938896,0,0.149322106060339,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,-0.174088362921429,0,0,0,0,-0.0411688201942073,-0.013818866109316,0,0,0,0,0,0,0,0,0,0,0.0237118040507996,0,0,0,0,0,0.0786291150513254,0,0,-0.0599724305592089,0,0,0,0,0,0,0,0,0,0,0,0,0.040455349213029,0,0.0969669122871224,0,0,0,0,0
MKvol,0,0,0,0.0197259970248667,0,0,0,0,0,0,0,0,0.0363289153514556,-0.0174541184434072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774645743037748,0,0,0,-0.000299958584616773,0,0,0,-0.00656711149766911,0,0,0,0.00237904360319609,0,0,5.42101086242752e-20,0.0215626995098321,-0.0110326878205112,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101885837634723,0,0,0.00439086482207348,0,-0.00832801850591192,0.0353301588730844,0.00563899409626638,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0.00248717465141171,0,0,0.00596819314861733,0,-0.00709183088654059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437012859537453,0,0,0,0,0,0,0,-0.00156319609935001,-0.000747941711335626,0,-0.00207332984327671,0,0,0,0,0.0018893032302303,0,0,0,0,0,0,0
