,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X600271.SH,X600522.SH,X300003.SZ,X002008.SZ,X600177.SH,X000157.SZ,X002294.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X002180.SZ,X000980.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0,-0.0497890213422698,0,0.0297114803494419,0,0,0,0,0,-0.00694129910464058,0,0,0,0,0,0,0,0,-0.0297361573876281,0,0,0,0,0,0,0,0,0,0,0,0,-0.0756614149958988,0,0,0.0991130865484934,0,0,0,-0.0178361966900434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394474813869937,0,0.0145726852756088,0,0,0,0,0.0396515937226271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114434090123257,0,0,0.0147471311735698,0.100811651566351,0,0,0,0.0512047903423508,0,-0.00183564653036417,-0.000197595386170681,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.0727674210880149,0,0,0.0978616139222701,-0.132799824224293,0,0,0,0,0,0.0336840136281181,0.0389106613343579,0,0,-0.00687446926728897,0,0,0,0,0.08289239846453,0,0,8.67361737988404e-19,0,-0.131355307887537,0,0,0,0,0,0,0,0,0.101075161741282,0,0,0.0299793904096555,-0.0128426849515622,0,0.000486963136233861,0,0,0,0,0.0140955920267054,-2.48563987913305e-05,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0.0233567760898733,0,0,0,0,0,0.162500950592968,0,0.00699101028970209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362383185447099,0.0288565904897156,0,0.176833924632681,0,0,0,0,0,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,-0.0852614731217489,0,0,0,0,0,0.418771397922293,0,-0.294930280814324,-0.0547928989528426,0,0,0,0,-0.140874384611672,0,0,-0.249198379630099,0,0,0,0,0,0,0,0,-0.118105797283846,0,0,-0.0503314730089868,0,0.242359647501677,0,0.00465767559426002,0,0,0,-0.139630602129233,0.0707462358369818,0.054486659676102,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280129350336133,0,0.0237204961955744,0.0293852383454308,0,0,0,0,0,0,0,0.0855018270310346,0,0,0.032595024718608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365949597971517,0.0245471813900632,0,0,0,0,0,-0.00933649337829356,0.0376320486397553,0,0,0,0,0,0
X600089.SH,0.628123356862895,0,0,0,0,0,0,0,0,0,0.0640934724618537,0,0,0,-0.0662714558601365,0,0,0,0,0,0,0.054806462115575,0,0,0,0,0.388817231718782,0,-0.261443146401723,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.141638253474798,0,0,0,0,-8.67361737988404e-19,0,0,0.0245346785289456,0.350439887156071,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0.0670667418464376,0,0,0,0,0,0,0,0,0,0.204953647115089,0.19045374786763,0,0,0.0320767991764446,0,0,0,0,-0.017421276437405,0,0,0,0,0,0,0,0.161116977395949,0,0,0.155231017795021,0,0,0,0,0.430481618656142,0,0,0,0,0,-0.0145748687111836,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0.111774398175841,0,0,0,0,0.0287962546370228,0,0.113780205090079,0,0,0,0,0.272478056064536,0,0,0.112952844063134,0,0,0,0,0,0,0,0,0,0,0.0362340256021507,0.0949245022708425,0,0,0,0,0,0,0,0,0,0,0,0.0200633270336193,0,0,0,0,0,0,0
X600699.SH,0,0,0,-0.0658134048162988,0,0,0,-0.0682865481064363,0,0,0,0,0,-0.0823770136656399,0,-0.00185564828773023,0,0,0,0,0,0,0,0,0,0,0,0.202329323348962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485364260152971,0,0,0,0,0,0,0.022234308372987,4.33680868994202e-19,0,0,0,0,0,0
X600867.SH,0,0,0,0.0777841198189447,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.100009040775259,0,0.0464424965196223,0,0,0.0438599489680774,0,0,0,0,0,0,0,0,0,0,0.207624255904051,0,0,0,0.074183459745317,0.118896920761728,0.0158289149620541,0,0.0141526100343926,0.063275956059788,0,0,0.0274760862046698,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.257109613283357,0,0,0.0160823960266829,0,0.138985371559317,0,0,0.263951920436538,0,-0.0149038063222838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221228770497938,0.0780417416615602,0,0,0,0,0,0.0830831686966062,-5.48950824687394e-05,0,0,0.0173469376382144,0,0,0,0,0,0
X600372.SH,0,0,-0.181059279261204,0,0,0,0.188802184184402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137374002591205,0,0,0,0,0,0,0,0,0,0,0.455384635595166,0.0356531212674303,0,0,0.203039061963367,0,0,0,0,0,0,0,0.0418010099445728,0,-0.00348781633769538,0.0271644866429977,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,-0.0741882534741837,0,0,0,0.069851502986455,0,0,0,0,0.0441307097888433,0,-0.0690266304843377,0,0,0,0,0,0,0,0,0,0.269682169400829,0,0,0.190710013496678,0,0,0,0,0,0,0,0.197555830749526,0,0,0,0.136441651775652,0.0604447673751676,0,0,0.0235372268472994,0,0,0,0,0,0
X300115.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232024073616451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280538818330927,0,0,0,0,0,0,0,0,0,0,0,0.00113564692738102,0,0,0,0,0,0,0
X000623.SZ,0,0,-0.0291450958140876,0,0,0,0,0.0687805388359433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599164108932037,0,0.0769963612656476,0,0.023615008111062,0,0,0,0,0,0.11748106961946,0,0,0,0,0.071411894817717,0.000923539468437476,0,0,0,0,0,0.0010159429014367,-0.00419596182450867,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,-0.039061628301967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838743089425319,0,0,0,0.160154425151336,0.0410436188415086,0,0,0,0,0,0,0,0.0218999814159284,0,0,0.123878290665272,0.104612868979984,0.0855486974258456,0,0,-0.0493865710677248,0.0401789886611279,0,0,0,0.0530999958152541,-0.00828015857178884,0,0,0,0,0,0
X000980.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145574415346119,0,0,0,0,0,0,0.117038426086677,0,0.27267675891954,0,-0.0705447559851895,0.0417361617295041,0,0,0,0,0.344694434721975,0,0,0,0,-0.0290574749031688,0,0,0,0,-0.206558177472411,-0.0879391752377812,0,0,0,0,0,0,-0.00953133615256441,0,0,0,0,-0.0213159089136257,0,0
Change_TY3M,0,0,-0.0274588673689143,0,0,0,0,0,0,0,0,0,0.0240302630657928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251182345744102,-0.0365525088254499,0,0,0,0,0,0,0,0,-0.0164558802833173,0,0,0,0,0,0,0.029517479053279,0,0,0.0846945156753285,0,0.0132250938891301,-0.00613976224231979,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0.0716445783309674,0,0.680159075896911,0,0,0,0,0,0,0,0.525773718323077,0,0,0,0,0,0,0,0,-1.9763300530687,0,0.233766588735855,0,0,0,0,0,0,0,0,0,-0.122852920356789,-0.931908591340543,0.714770362417754,0,0,0,0,0.339158419756075,0,-0.0671587430997134,0,0,0.067520393802281,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,-0.153347755497914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175363581092584,0,0,0.0146137940144484,0,0,0,0,0.400320410687102,0,0,0,0,1.77583617284084,0,0
RealEstate_excess,0,0.0350559649628246,0,0,0,0,0,0.00206293654095563,0,0,0,0,0,0,0,0,0,0,0,0,-0.171754950920278,0,0,0,0,-0.0214920926315115,0,0,0,0,0,0,0.0237035764679064,0,0,0,0,-0.0815800131321183,0,0,0,2.16840434497101e-19,0,0.0282932612754349,0,0,0,0,0,0,0.041479523827081,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.0643965475437223,-0.0536544490421596,0,0,0,0,0,0,0,0,0,0,0,-0.0123689812664505,-0.0106079183453494,-0.0214446502174633,0,0,0,-0.0650026087183641,0,0,-0.0571200001812668,0,0,0,0,0,0,0,0,-0.0135212166442258,0,0,0,0,-0.00976949899141706,0.0348805528608438,0,0,0,0,0,0.000499768672489787,0.005069548777942,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,-0.00115171058216709,0,0,0,0,0,0,0,0.000289909022810711,-0.00114115787814165,0,0,0,0,0,-9.61804844189406e-05,0,0.00168657798848983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000716695828867321,0,0,0,0.000499946071752996,0,0.00235318344877206,-0.00124898265179334,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103996881086802,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,-0.0133436319391817,0.00168597589961128,0.00511667649437889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607739693812938,0.036505069455303,0,0,0,0,0,0
CarbonVol_Hubei,0,0.01716678300473,0,0,0,0,0.0460837338836608,0,0,0,-0.00668361372800338,0,0,0,0,-0.0314791069566847,-0.0015541230792434,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0277556752895902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261756297980099,-0.00190504419694189,0,0,0,0,0,0
