,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600867.SH,0,0,0,0,0,0,0,0,0,0,0.0173302920470798,0,0,0,0,0,0,0.125166985601641,0,0,0,0,0,0.0871604090753723,0,0,0,0,0,0,0,0,0,0,0,-0.015599531736369,0,0,0,0,0,0,0,0,0.0226941239271129,0,0.0416452102345329,0,0.0180484128233258,0,0,-0.0212709425550234,0.00997870646581759,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0.00307114741270263,0,0,0,0,0,0,0,0,0.0903180939469521,0,0,0,0,0,0.0219228546994052,0,0,0,0,0,0.0706016398831421,0,0.00392624039981506,0,0,0,0,0,0,0,0.0812530779715705,0,0,0,0,0,0,0,0,0,0,0.0501358949419081,0,0,0,0,-0.00237376410223368,1.24382869352288e-05,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0.025084890712237,0,0,0,0,0,0,0,0.0838013088671893,0.245956596327587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225525658207636,0,0,0,0,0,-0.000879959502297653,0.0115208303366658,0.118198847243133,0,0,0,0,0,0,0.171691117876685,0,0,0,0,0,0,0,0.00169368000670539,-0.00404955989689786,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0.133080990417052,0,0,0,0,0,0,0,0,0,0.0136039467126881,0,0,0,0,0,0,0,0.00588279061477727,0,0,0,0,0,0,0.0192360316302639,0,0,0,0,0,0,0.266172914940587,0,0.036838264677192,0,0.0508870885264862,0.0695252851379292,0,0,0,0.0135790646434484,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0870098751405444,0,0,0,0,0,0,0,0.119344375778811,0,0,0,0,0,0,0.100211277020739,0,0,0,0,0,0,0.249031181936285,0,0,0,0,0,0,0,0,0,0,0,0,0.148626107667475,0,0,0,0.0128973740404118,-0.0126159786686893,0,0,0,0,0,0
X002180.SZ,0,0,0.0982595805675859,0,0,0,0,0.0757812065748926,0,0,0,0,0,0,0,0,0.0449290631114958,0,0,0.0542750872064141,0,0,0,0.0374263040138417,0,0,0,0,0,0,0,0,0,0,0.0820242565707464,-0.0074912071137793,0,0,0,0,0.0329463508548391,0,0,0,0,0,0,0.153837708111309,0,0,0.0815375742547689,-0.0112431160065637,0.00200155011501275,0,0,0,0,0,0
X600566.SH,-0.0612164985009619,0,0,0.126078886132953,0,0,0,0,0,0,0,0.114493290018015,0,0,0,0,0,0,0,0,0,0,0,-0.0105140941108226,0,0.569549382564349,0,0,0,0,0,0.0339056834957714,0,-3.46944695195361e-18,0,0,0,0,0,-0.0263959237549243,0,0,0,0,0,0,0,0.159006290630158,0,0,0,-0.035892871934537,0.00741102348078433,0.244838363082649,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0.0909818838689227,0.128837021597419,0,0,0,0.0122088232236464,0,0,0,0,0.114813884869157,0,0.0387219812426881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583587792419391,-4.33680868994202e-19,0,0,0,0,0,0.143962978709707,0,0.00347905108608027,0,0,0,0,0,0
X000623.SZ,0,0,0,0.0903077484565056,0,0,0,0,0,0,0,0,0.0264482129498484,0,0,0.00327072254675026,0,0,0,0.102582298311012,0,0,0,0,0,0,0,0.0017675153793218,0.199919571334321,0,0,0,0,0,0,0,0,0,0,0.0225843401413516,0,0,0,0,0,0,0.0729978713883192,0,0,0,0,0.00172712451056461,0.0123463293581332,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0.0897425046894501,0.0290259623074676,0,0,0,0,0,0,0,0,0,0,-0.141472559345365,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195172610487388,0,0,0,0,0.0511975968181647,0,0,0,0,0,-0.0626833873428267,0,0,0,0,0.0552462653992954,-0.0251629693539745,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.128779802421083,0,0,-0.0747817094605445,0,0,-0.0434547101603891,0,-0.0213540402530585,0,0,-0.22692050989583,0.149882509983781,0,0,0.112236628885448,0,0,0,0,0,0,0,0,0,0,0,0,-0.0692786044134217,0,0,-0.111630305518204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336229508276017,0,0,0,0,0,0
