,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X600487.SH,X002241.SZ,X002456.SZ,X002008.SZ,X000100.SZ,X601877.SH,X600066.SH,X300136.SZ,X600809.SH,X002508.SZ,X002294.SZ,X300124.SZ,X600522.SH,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X000596.SZ,X600498.SH,X002129.SZ,X600177.SH,X000157.SZ,X600699.SH,X000661.SZ,X600566.SH,X600118.SH,X002179.SZ,X300142.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362627595853975,0,0.00228080438418517,0,0,0,0,0.0378888993409719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141314623269837,0.0468267013267642,0,0,0.0160094216119664,0,0,0,0,0,0,0,0,0.00328674046628932,-0.00225174594933454,0,0,0,0,0,0
X000157.SZ,0,-0.0960878697251971,0,0,0,0.0476717571328396,0,0,0,0,0,0,-0.00494377523621981,0,0,0,0,0,0,0,0,0,0,0.0714645249954285,0,0.0344029222070504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762784946183924,0,0,0,0,0.0248522259690989,0,0,-0.00326888495606508,0.00712256623183621,0,0,0,0,0,0
X600699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.103366048712087,0,0,0.0301667223680281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771706981877198,0,0,0,0.00225005001523705,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0.0210868976266448,0.000132673433141522,0,0,0,0,0,0,0,0,0,0,0,0.281268079186887,0,0,0,0,0,0,0,0,0,0,0.21102390029674,0,0,0,-8.67361737988404e-19,0.0320667086435572,0,0,0,0,0,0,0,0,0,0,0,0,-0.014482457944426,0.0199337795590842,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0.134060231653927,0,0,-0.00929785625815744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401150376515721,0,0,0,0,0,0,0,0,0.0206262123284745,0,0.081747018053773,0,-0.00571045813718906,0.0297194111212894,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,-0.0169447117242113,0,0,0,0,-0.00489353406828973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147738626401383,0,0,0,0,0,0.137413093939583,0,0,0,0,0,0,0,0,0,0.0304084766939072,0,0,-0.00953068927478784,0.0212876114697526,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0.00823016158490532,0,0,0.0567588621331079,0,-0.0757883582589175,0,0,0,0,0,0,0.0666544783192708,0,0,0.117498153133108,0.0010504940606041,0,0,0,0,0,0,0.100807659925826,0,0,0,0,0.190082589833777,-0.0420029405262938,0,0,0,0,0,0,0,0,0.0432924049968498,0,0,-0.0397323179885958,0.0335149140586349,0,0,0,0,0,0
X300142.SZ,0,0,0,0.063055410623517,0,0,0,0.0378818454474952,0,0,0,0,0.0441066422088849,0,0,0,0,0,0.0354349313007514,0,0,0,0.32425053122186,0.0977294483620553,0,0,0.103768681058756,0,0,0,0,0,0,0.108271023982676,0,0,0,0,0,-0.111814173480593,0,0,0.28952019229049,0,0,0,0,0,0,0,0,0.0016919274561261,0,0,0,0,0,0,0
X002049.SZ,0,-0.30395773076533,0,-0.0219801909019124,0,0,0,0,0.0573917764960281,0,0.379204157449489,0,0,0,-0.648171590861283,0,0,0,0,0,0.138727298334087,0,0,0.0160778697829521,0,0.0853330469696587,0,0,0,0,0,0,0.341343662883446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417227287865931,0,0.0240567303687514,-0.0822395908838535,0,0,0,0,0,0
X600584.SH,0,0,0.0288639303315262,0,0,0.217146152786829,0,0,0.0169656141974303,0,0,0,0,0,0,0,0,0,0.268800325367619,0,0.00579529191666337,0.132015597162291,0,0.0249895690491571,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263695918585835,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0464624395207372,0,0,0.0683517633459676,-0.0186694288051923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030044702455295,-0.00936763959769643,0,0,0.0017488956819589,-0.0199317772439429,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.0532910185133362,0,0,0,0.0170357862214356,0,0.0805060928815306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686301189582481,0,0,0,0,-0.119276378651186,-0.21284634365379,0,0,0,-0.00344744801368191,0,0,0.712386703136893,0,0,0,4.05940771097055,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245456808563607,0,0,0,0,0,0,0
RealEstate_excess,0.148798102498475,0,0,0,0,0,0,0,0,0,0,0.0816106839576187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109732492328848,0,0,0,0,0,0,0.00378287360921818,0,0,0,0,0,0,0,0,0,-0.0737826925409471,0,0.00725893246010063,-0.0406227027087671,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,-0.0783958044187425,0,0,0,0,-0.0258778756860617,0,0.0169530909858258,0,0,-0.00248687473847236,0,0,0,0,-0.0115727460505684,0,0,0,0.0229016354074725,0,0,0.0157032294222089,0,0,0,0,0,0,0,0,0,-0.0333337689472805,0,0,0,0,0,0,0,0,0,0,0,0,0.00305306867396909,-0.00530930550452134,0.00608258977520034,0,0,0.0842937810863421,0,0
MKvol,0.00278174869649599,0,0,0,0,-0.00037352807162395,0,0,0,0,0,0,0,-0.000122135141857293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156506485557598,0,0,0,-0.000590324384470756,0,0,-0.0022345003069207,0.00427513335534787,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573497383418362,0,0,0,0,0,0,0,0,0,0,0,0,0.0527552998979761,0.0852530575683931,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0.0133633399560434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106984882299794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166320105393548,0,0,-0.00389156000365514,0.024940043959992,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0.00364638198402567,0,0,0,0,0,0,0,0,0,-0.000236849631969617,0,0,0,0,0,0,0,0,0,0,0,-0.0172712508668615,0,-0.00503772998641495,0,-0.00244247486114736,0,0,0,0,0,0,-0.00030367215630637,-0.000536128097064559,0,0,-0.00532839887296698,0,0,0,0,0,0,0,0,0.00606988980634585,-0.0167070270001377,0,0,0,0,0,0
