,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X000625.SZ,X600271.SH,X600066.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600177.SH,X600498.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192674851570617,0,0,0,0,0.181133160601293,0,0,0,0,0,0,0.0495070146980834,0,0.0809558863081391,0,0,-0.0203719820499231,0,0,0,0,0,-0.0199754221417647,0,0.0434144659697269,0,0,-1.73472347597681e-18,-0.0202365032815231,0,0,0,0,0,0
X600566.SH,0,0,0,0,0.332512275744826,0,0,0,0,0,0,-0.0846711559956333,0,0,0,0.169150926497729,0,0,0,0,0,0,0,0,0,0.0962952308176021,0,0,0,0.126135893985156,0,0,0,0.0657999141995454,0,0,0.0357287115916392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166723636916009,-0.00375654481105008,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0.0350526079078697,0,0,0,0,-0.0155737694643908,0,0,0,-0.0395971245277319,-0.021899840316827,0,0,0,0,0,0,0,-0.0430034275000081,0,0,0,0,0,0.198627229172341,0,0.105186317532117,0,0,0,-3.46944695195361e-18,0,0,0.0621108366825222,0,0,0,0,0,0,0,0,-0.0135500752385419,-0.00765915676331065,0,0,0,-0.0447602748498725,0,0
X300142.SZ,0,0,0,0,0.148384532208938,0,0,0,0,0,0,0,0,0,0,0.0408330210742617,0,0,0,0,0.232089252265901,0,0.0686015469302314,0,0,0,0,0,0,0.0752765454456785,0,0,0,0,0.0290510256226453,0,0,0,0,0,0,0,0.0697304789680282,0,0,0,0.0419359943445476,0,0,0,0,0,-0.0293460350318147,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,-0.0582856690528504,0,0,0,0,0,0,0,-0.136732945815419,0,0,0,0,0,0,0,0,0,0.288606049874862,0,0.139887205925247,0,-0.0887027776428333,0,0,0,0,0,0.195126614777417,0.0975027832998202,0,0,0,0,0,0,0,0,0,0.123272758130182,0,0.31519281930714,0,0,1.73472347597681e-18,0.0663999088719885,0,0,0,0,0,0
X002241.SZ,0,0,0.0433325169334964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233423781196266,0,0,0,0.11654169533023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33451421699264,0,0,0,0,0,0,0,0.00848526413617053,0,0,0,0,0,0,-0.0302972031129655,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.067493299847395,0,0.176946005674324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497220999118051,0,0,-0.192421425304994,0,0.0878262642936259,0,0,0,0.278076441196511,-0.109555735669746,0.062831153380327,0.115274915874114,0,0,0,0,0,0,0,0,0,0.113990847086614,0,0,0,0,0,0,0.0176395569817712,0.014045013622277,0,0,0,0,0,0
X300136.SZ,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.377812435569301,0,0,0,0,0,0,0,0,0,0.0603899145931314,0,0,0,0.0323408888729764,0.184963198231353,0,0,0,0,0,0,0.347968145678722,0.0140729722341067,0,0.0795055903967653,0.354291950104095,0,0,-0.0770773615941586,0,0,0,0,0,0,0,0,-0.0334508253148845,-0.0351901802317664,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,-0.098651186113806,0,-0.188498445705336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195873265094819,0,0,0,0,0,0,0,0,0,0,0.277864051608937,0.115015564180467,0,0,0,0,0,0.168800294494191,0,0,0,0,0,0,0,-0.0100759106598522,-0.00768684322048186,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135197151903829,0,0,0,0.402750455296903,0,0,0,0,0,0,0.0513099593088693,0,0,0,0,0,0,0.0314876139844572,0,0,0,0,0,0,0,0,0.0219301337922903,-0.010194430939302,0,0,0,0,0,0
