,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002456.SZ,X002008.SZ,X002241.SZ,X600487.SH,X000100.SZ,X600066.SH,X300136.SZ,X601877.SH,X600809.SH,X300124.SZ,X002508.SZ,X600522.SH,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X002129.SZ,X600498.SH,X000596.SZ,X600177.SH,X000157.SZ,X600699.SH,X600118.SH,X300142.SZ,X600566.SH,X002179.SZ,X000661.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0.116027829096758,0,0,0,0.158032569114665,0,0,0.00940041829621202,0.00812369783988703,0,0,0,0,0,0.142679087103723,0,0,0.0170643747563875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338182782487179,0,0,0,0.0375725055823263,0,0,0,0,0.22497231956912,0.0645294013504405,0,0,-0.0300439110740984,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.165281593121371,0,0,0,0.0975230250246444,0,0.0598878229498322,0,0,0,0,0.0365990216573781,0,0,0,0,0.160219599611699,0,0,0,0,0,0,0.00139016342782895,0,0,0,0,0,0,0,0,0,0,0,0,0.054558815608494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.00238203710043869,0,0,0,0.0623336255416649,0,0.23896971948215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632432991836107,0,0.0165011450433345,0,0,0,0,0.107108967365625,0,0,0,0,0,0,-0.0402148015056809,0.0746432343276956,0,0,0,0,0,0
X002475.SZ,0,0,0.0302472893334112,0,0.0367761594638531,0.0341269874864437,0,0,0,0,0,0,0,0,0,0,0,0,0.227112130738164,0.166283450569683,0,0,0,0,0.179469329205234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802612058411142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002236.SZ,-0.0235965931601499,0,0.549897415059104,0,0.0232837910656624,0,0,0,0.0279974071418842,0.0201803180091131,0,0,0,0,0,0,0,0,0.126635286280462,0,0,0.100551220420493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192203008624308,0,0,0,0,0,0,0,0,-0.138876338539403,0.105592127807297,0,0,0.0191872644536016,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.228002672253392,0,0,-0.107226004231161,0,-0.096679511748729,0,0.0139714817771947,0,0,0,0,0,0,0,0,0,0,0.115296636279151,0,0.139821867093322,0,0,0,0,0,0,0,0,0,0,0.00315475712199113,0,-0.0978262022314208,0,0,0,0,0,0,0,0,0,0,0.0788423259178053,0,-0.00304550176251162,0,0,0,0,0,0,0
X000338.SZ,0,0,0.0503823972703254,0,0,0,0,0,0,0,0,0,0,0,0.159124271553889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184405266295122,0,0,0,0,0,0,0,0.241140127518208,0.303107292591714,0,0,0,0,0,-0.0101892966683525,0,-0.0807454314054858,0,0.09394861458812,0,0,0.0093073864925765,0.0197910076995643,0,0,0,0,0,0
X000625.SZ,-0.0402041285583802,0,0,0,0,0,0,0,0,0,0.031193388962461,0,0,0,0,0,0,0,0,0.0506882915132926,0,0,0,0,0,0,0,0,0.0378815780907216,0.00925569697876212,0,0,0,0.0748884273355968,0,0,0,0.123535357720975,0.0689350145849849,0,0,0,0,0,0,0,0,0,0.0375196110883895,0,0,-0.00581673619296056,0.0148330689558604,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661886972323059,0,0,0,0,0,0,0,0,0,0,0.0517270881350563,0,0,0,0,0,0,0.22353653903867,0,0,0,0,0,-0.137497264743329,0,0,0,0,0.212540789626684,0,0,0,0,0,0,0.0373135969669253,0,0,0.0124506729491248,0,0,0,0,0,0
X002008.SZ,0,0,0.266867332038393,0,0,0,0,0.106300185240289,0,0.221708185574187,0,0.00182714599121549,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.218336993844662,0,0,0.207194861522184,0.0680183464608202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910100344553605,0,0,0,0.0729455348556131,0,0,0,0,-0.00654198018384407,0.0200502597390512,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,-0.0828798088708766,0,0,0,0,0,0,0,0.369806242691418,0,0,-0.0352527225225042,0,0.113696753023296,0,0,0,0,0,0,0,0,0.103229694345207,0,0.0674118526737446,0,0,0,0.136351984157007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055703472856399,0,0,0.0122710814911341,0.0369137462984243,0,0,0,0,0,0
X600487.SH,0,0,0.0350301043722316,0,0,0,0,0,0,0,0,0,0,0,0.101118849827435,0,0,0,0,0.0201366912789098,0,0,0,0.136022605352258,0,0.135060902656427,0,0,0,0.053338010036596,0,0,0,0,0,0,0,0.0816089567423179,0.425926502770527,0,0,0,0,0,0.0297229136378083,0,0,0,0,0.107295120641688,0,0.0255787939234305,-0.0193198904484611,0,0,0,0,0,0
X000100.SZ,0,0,0.0397854486313597,0,0,0.0981115943664053,0,0,0,0,0.186569702446966,0,0,0,0,0,0,0,0.0160815824815837,0.0476588691419045,0.0559732775437208,0,0,0,0,0.0225000067638297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738424578779277,0.036089349534696,0,0,0,0,0.0124891645088564,0,0,0,0,0,0
X600066.SH,0,0.186055849814656,0,0,0,-0.0645440269552129,0,0,0,0,0,0,0,0,0,0.343832189196743,0,0,0,0.0756839223063825,0,0,-0.0598021333856583,0,-0.182141860556939,0,0,0.539990059067781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079572933678504,0,0,0,0,0,0,-0.00642397085105825,0,0,0.0198597364114607,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0.0581687351278258,0,0,0.0179077123320846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137639202196428,0,0,0.0231583290033877,-0.00478386242607659,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228940414659454,0,0,0.0379851573307182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131727690045381,0.00210838531527674,0,0,0.166628804375981,0,0.137798390302727,0,0,0,0,0.0410229578417721,0,0.0265571373427319,0,0,0,0,0,0,0
X600809.SH,0.219441223751431,0,0,0.213256704531089,0,0,0,0,0,0,0,0.0141561115685305,0,0,0,0,0,0,0,0.0648335385661723,0.0742787947143662,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0918369514804883,0,0,0,0,0.393912603849386,0,0,0,0,0,0,0,0,0,-0.0493082974396553,0,-0.00862075874138381,-0.0175701408788137,0,0,0,0,0,0
X300124.SZ,0,0,0.0431471583433334,-0.201862027902717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045567750957523,0,0.00546616801303677,0,0.249923815644848,0,0.272796838325781,-0.0431586094605487,0,0,0,0.0999630627327397,0.0841858188381146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134773990629828,0,-0.0173893608647948,0,0,0,0,0,0,0
