,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X600884.SH,X002414.SZ,X601799.SH,X002007.SZ,X000733.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002074.SZ,-0.0577440831755761,0,0,0,0,0,0,-0.0840080541932299,0,0,0,0,0,0.0876460116377755,0.274071434416367,0,0,0,0,0.144744300052348,0,0,-0.0036844637843986,0,0,0,0,0,0,0,0,0.175841605729806,0,0,0,0,0,0,0,0,0.173258856000277,0,0,0,0,0,0,0,0,0,0,0,0.0433559515764972,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0.199580641302972,0,0,0,0,0,0,0.00213167179644929,0,0,0,0,0,0,0,0,-0.0152272336731499,0.115875500490992,0.128943665771862,0.00688142966281956,0,0,0,0,0,0,0.287726940589788,0,0,0,0,0,0,0,0,0,0,0,0.0516754189955862,0,0,0,0,0,0,0,-0.0417301008726773,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,-0.21264309408318,0,0,-0.0471116417862028,0,0,0,0,0,0.0767023770992566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185282472394871,0,0.153903677472978,0,0.0987345489353632,0,0.105208680817778,0.0942772418283739,0,0,0.0996418504020714,0,0,0,0,0,0.166284505462784,0,0,0,0,0,0,0,-0.0148020099868243,0,0,0,-0.0857795945992693,0,0
X002414.SZ,0,0,0,0,0,-0.108016452506222,0,0,0,0,0,0,0,0,0,0,0.021827773956716,0,0,0,0,0,0,0,0,0.148256347289564,0,0,0.108914630716094,0,0,0,0.0164952724789921,0,0,0,0,0,0,0,0,0,0,0,0.143155039391348,0,0.0399185085773689,0,0.186746710088501,0,0,-0.00658366761874448,0,0,0,0,0,0,0
X601799.SH,0,0,0.160802735060504,0,0,0,0.0439242269849527,0,0.052140596025186,0,0,0.11957594124071,0,0,0.0750210337827314,0,0,0.0597763882693659,0,0,0.109517032235541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210582868159707,0,0,0,0,0,0,0,0,0,0,0,0.0209037530207976,0,0
X002007.SZ,0,0.121720947905845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247164002454619,0,0,0,0,0,-0.150964235884079,0.0150983422854589,0,0,0,0,0,0,0,0.0501959391380358,0,0.0171015218314342,0,0,0,0,0,0,0,-0.0288365562481409,0,0,0,0,-0.0185349934198234,0,0.0360486729378399,0,0,0,0,0.0303722128262386,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231672453238707,0,0,0,0,0.0953436591967047,0,0,0.440045011267987,0,0,0,0,0,0,0,-0.0374780376771631,0,0,0.121517348513276,0.038893066501303,0,0,0,0,0,0,0,0,0,0,0.00159768909360176,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132243818899381,0.0505022168356028,0,0,0,0,0,0,0,0.0634992991722797,0,0,0,0,0,0,0,0,0.0309250232477282,0.517836288898243,-0.0176760755279847,0,0,-0.00617691269882763,0.0132476607021467,0.0283958072269966,0,0,0,0,0,0,0,0,0,-0.068606288045064,0,0.00627318538692029,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.135834718875077,0,0,0.0300588134217657,0,0,0,0.0518520813269964,0.00448118455901055,0,0,0,0,0.0168500444008467,0,0,0,0.0385885214179514,0,0,0,0,0,0,0,0,0,-0.0280335440573995,-0.015546787260212,0,0,0.142647013715234,0,0,0,0.00690333400136213,0,0,0,0.0380641315648137,0,0
X300003.SZ,0,0,0,0,0.0410290568725395,0.10219821763156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824756482339471,-0.104612026702168,0,0,0,0,0,0.0388661377921501,0.112419730005876,0,0,0,0,0.0754817601043625,0,0,0,-0.0131960100355814,0,0,0,0,0,0,0,0,0,0,-0.011788244324282,0,0,0,0,-0.0144100602875074,0,0
