,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X000977.SZ,X002007.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300136.SZ,X600118.SH,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X002463.SZ,X002179.SZ,X002414.SZ,X002049.SZ,X002185.SZ,X000050.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645705935779983,0,0,0.0279468802979514,0,0,0,0,0,0.0254129858191249,0.0822233075667999,0.063635828214444,0,0,0,0,0,0,0,0,0,0.00631825075193013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522491387597097,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.197347427515897,0,0.159003262453262,0,0,0,0.0877446168289488,0,0,0,-0.451706802641337,0,0.211988633355753,0.153102895959198,0,0,0,0,0,0,0,0,0,0,0,0.19461436815213,-0.0985571461810693,0,0,0.31697425076673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784634943184277,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295299178598152,0,0.172396646403582,0.0956421499771932,0,0.0834526874878651,0,0.071718905173915,0,0,0,0,0,0,0.0389743130786649,0,0,0,0,0,-0.0239290827659123,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0,0,0,0.0680837108143446,0.327093372367758,0,0,0,0,0.0535367946313567,0,0,0,0.320219778298438,0.083420862508456,-0.0558773706786862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726111005593275,0,0,0,0,0,0.0268016308926327,-0.0324387857142388,0,0,0,0.0314514728395828,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250878538838972,0,0,0.213537167280777,0,0,0,0,0,0.0377885567693462,0,0,0,0,0,0,0,0.0647329222467402,0,0,0,0,0,0,0.545881372959041,0,0,0,0,0,0,0,0.0242499806905719,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114114951102394,0.0308861480716456,0,0.116354075132654,0,0,0,0,0,0,0,0.215638254353317,0,0,0,0,0.0975272197711911,0,-3.46944695195361e-18,0.137253958680198,0,0,0.0937607211706495,0,0,0,0.0297155645420539,0,0,0,0,0.00980784409577662,0,0,0,0,0,0
X300003.SZ,0,0,0.274712074468656,0,0,0,0,0,0.0669932863402922,0,0,0,0,0,0.0930813238153396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919634035092663,0,0,0,0,0,0.0260714682718328,0,0,0,0.0972987146414793,0,0,0.0227086381934371,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.0310537011552426,0.1958259098649,0.230708831657434,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.153671195679989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322681264599177,0,0,0.0499498658834592,0,0,0,0.0717543057670623,0,0
X000977.SZ,0,0,0,0,0,0,0,0.0478049187356792,0,0,0,0,0,0,0,0.212428320755661,0,0,0,0,0,0,0.12570547312923,-0.133525354417677,0.125880866896312,0,0,0,0,0,0,0,0,0,0.140271737593055,0,0,0.0757585389800284,0.0200548675194732,0,0.040078612866588,0,0,0,0,0.217112545241044,0,0,0,0,0,0,0.0195030654262489,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491778245058293,0,-0.0953524238515892,0,0,0,0,0,0,0,0,0,0,0,0,0.127491016294731,0,0,0,0.0416817570528301,0,0.367902422314008,0,0,0.0230533336605375,0,0,-0.074271702087569,-0.0564556797201447,0,0,0,0,-0.0833792993000879,0,0,0,-0.110880667062092,0,0
