,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X600031.SH,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X000100.SZ,X002371.SZ,X000977.SZ,X000596.SZ,X002241.SZ,X300014.SZ,X601877.SH,X000625.SZ,X002236.SZ,X300142.SZ,X000157.SZ,X002463.SZ,X300124.SZ,X600498.SH,X002129.SZ,X002456.SZ,X600271.SH,X000066.SZ,X002223.SZ,X002179.SZ,X300136.SZ,X600487.SH,X600584.SH,X600118.SH,X600522.SH,X002414.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300003.SZ,0,0,0.490116895397326,0,0,0,0,0,0,0,0,0,0,0,0.157070481595923,0,0.0603080069109452,0,0,0.190280169192013,0,0,0,0.0337119111852093,0,0,0,-0.020372935114547,0,0.130121185761247,0,0,0,0,0,0,0,-0.0246072574645243,0,0,0.0152702208777959,0,-0.226428258030084,-0.0196139373608445,0,0,0,0.0731249158341646,0,0,0,0.116865833560409,0,0,0,0,0.128586580508515,0,0
X600741.SH,0,0,0,0,0,0.208623197965932,0.338081738423069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108323396011859,0.109870371526945,0.0340995178590956,0,0,0,0,0.132275676643781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623451919922914,0,0,0,0,-0.0217964987274051,0.0229269020526094,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0.0554696125076481,0,0,0,0.533233491789741,0,0,0.0374842522338998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271252663911633,0,0,-0.0343449190370922,0,0,0,0,0,0,0,0,-0.0519513580598263,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867282605317058,0.0654711191232561,0,0,0.0239373274013581,0,0,0,0,0,0.619329578530692,0,0.0275265846325963,0.0107500645933532,0,0,0,0,0,0,0,0.0351868299722313,0.0624683136939175,0,0,0,0.113603666662215,0,0.0147437356905385,0.00939009028824026,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.217285639315678,0,0,0.291656014497013,0,0,0,0,0,0,0,0,0,0,0,0,0.1895562627272,0,0,0,0,0,0,0,0,0,0.0730850722388434,0,0,0,0.060515290242429,0,0.0446641492536989,0,0,0.00542324612081456,0,0,0.105880830102121,0,0,0,0,0,0,0.0123329632052467,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.00478174718700451,0,0,0,0,0,0,0.252723982157111,0,0,0,0,-0.0497903602290293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257490572111517,0,0,0,0,0,0.253419913365174,0,0,0,0,0.0649680618974613,0,0,0,0.0288843187658524,0.0299429615527064,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.182577233252877,0,0,0,0,0,0.295956701605403,0,0,0.0362816412114941,0,0.198701953980028,0,0.203102000893891,0,0,0,0,0,0.0925540210601228,0,0,0,0,0,0,0,0,0.100148115833446,0,0,0,0.119308756380348,0,0,6.93889390390723e-18,0,0,0,0,0.0780447207219374,0,0,0,-0.0339403938570221,0,0
X000596.SZ,0,0,0,0.207129536668988,0,0.459135596869505,0,0.0982717904212827,0,0.0732111524385879,0,0,0,0,0,0.0390181087109853,0,0.0258848070525814,0,0,0,0,0,-0.0441317537311708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0863961281203376,0,0,0,0,0.00477003924456105,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.0838081689033795,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.17667627482826,0,0,0,0,0,0,0,0,0,0.00216187970395215,0,0,0,0,0.304021794179005,0,0.154077101503778,0.084237565969535,0,0,0,0,0,-0.0357692790991119,0.00365728359167034,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.0229715109459431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341965573600088,0,0,0,0,0,0.0239647185021228,0,0,0.326437077018047,0,0,0,0,0,-0.0344084885712133,0.166514603795098,0,0,0,-0.095976094024418,0,0,0,0,0.27808622020179,0,0,0,0,0,0,0,0,0,0,-0.152865384868563,0,0
