,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X003816.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X000625.SZ,X600703.SH,X300014.SZ,X002241.SZ,X000596.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X601877.SH,X600584.SH,X002129.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X002236.SZ,X600183.SH,X002049.SZ,X000800.SZ,X002414.SZ,X601799.SH,X300003.SZ,X300136.SZ,X002185.SZ,X002008.SZ,X000066.SZ,X002456.SZ,X000977.SZ,X600118.SH,X300146.SZ,X002508.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600809.SH,0.0241121636585449,0.0453265227850925,0,0,0,0,0,0.174974692684222,0.0883725588894851,0,0,0,0,0,0,0,-0.0639769561825228,0,-0.108654601952806,0,0,0,0.17206916614685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142474882705389,0,0,0,0,-0.158963467521559,0,0,0,0,0,0,0,4.33680868994202e-19,0.0559676461746685,0,0,0,0.0236906151596285,0,0
X600690.SH,0,0,0,0,0.147626076916185,0,0.114683158602369,0,-0.11657802474479,0,0,0,0,-0.0967249387680514,0,0,0,0.0765243570623094,0.0225505539837685,0,0,0.177797089388817,0.142450518394335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240040998523536,0,0.0177949665887485,0,0,0,0.15270004553188,0,0,0,0.00419633808982087,0,0,0,-0.00522308057310133,0,0
X000725.SZ,0,0,0,0,0,0,0.0129835348197992,0,0,0,0,0,0,0.0668282601666615,0,0,0,0,0,0,0,0,0,0,0.303727199260856,0.0215030714418593,0,0,0,0.205118104852196,0,0,0,0,0,0,0,0,-0.0654089455896876,0,0,0,0,0,0.273788302415078,0,0,0,0,0.030116621939389,0,-1.73472347597681e-18,0,0,0,0,0.00553066122987384,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,-0.0706368663899549,0,0,0,0,0,0,0,0,0,0,0,-0.0364716464174487,0,0,0,0.071903689150508,0,0,0,0,0,0,0.0487652452567335,0,0,0,0,0,0,0,0.0875867379637895,0.0285500835688912,0,0,0,0.233203332037612,0,0,0.171167471298428,0,0.0911787040212088,0,0,0,0,0.0400492204051798,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.00174267114593611,0,0,0,0.0804676278419369,0.08963926742306,0,0,0,0,0,0.0114198246320227,0.0120435626649788,0,0,0,0,0,-0.049147029623084,0,0,0,0,0,0,0,-0.0440930801239701,0,0,0,-0.0405071888263979,0,0,0,0,0.100780295940648,0,0,0.0525649958094674,0,0,0,0,0.0123303446266053,0,0,0,0,0.0103199505213196,0,0
X000661.SZ,0,0,0,0,0,0,0,0.145428585294693,0,0.133481613728282,0,-0.110217112360813,0,0,0,0,0,0.0382888399133105,0,-0.396934317233675,-0.0526290258474612,0,0,0,0,0.240313948936704,0,-0.227291857782805,0,0,0,0.545001280894793,0,0,0,0,0,0.0875283869394607,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00362442916531167,0,0,0,0,0.0447042185559754,0,0
X000338.SZ,0,0,0,0,-0.0910766428133475,0,0.0626759556002766,0,0,0.154056724029715,0,0,0,0,0,0,0,0,0.00840775021356791,0,0,0,-0.0333375021513852,0,0,0,0,0,0,0,0,0,-0.094281070175472,0,0,-0.0383322458335899,0.106000245183957,0,0,-0.0532045002774185,0,0,0.253556709129821,0,0,0,0,0,0.185357855488664,0,0,0,-0.0048125818833463,0,0,0,0.0109614400055489,0,0
X300124.SZ,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.128406108581944,0,0,0.303028408377641,0,0,0,0,0,0,0.112000676864784,0,0.0405230873349173,0,0,0,0,0.073570866589388,0,0,0,0,0,0,0,0,0,0,0.0775957410018877,0,0,0,0,0,0,0,0,0,0,0,0.039186811451721,0.036222766798304,0,0,0.0477263510429507,0,0,0,-0.000654853500977409,0,0
X000625.SZ,0,0,0,-0.300217279267629,0,0.157083221662716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232581285474259,0.0260639803333588,0,0,0,0,0.131867584235279,0,0.275338115453613,0,0,0,0,0.0609854187124848,0,0,0,0,0,0,0,0,0,0,0,0,-0.0940894749586442,0,-0.0621691230344615,0.0545384118529047,0,0,0,-0.139260024750196,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732206340732117,0.169302416853329,0.120574058722983,0,0,0,0,0,0,-0.0666149463878367,0.117568238743747,0,0,0,0,0,0,0.177665359746532,0,0,0,0,0,0.130217801934316,-0.0411715746142952,0.121977382067851,0,-0.000983088514218569,0,0,0,0,0.0411753888427826,0,0
X300014.SZ,0,0,0,0,0,0,0,-0.0698499159405976,0.0728523092562119,0,0,0,0,0,0,0,0,0,-0.117280038054874,0,0,0,0,6.93889390390723e-18,0,0.230917347904381,0,0,0,0.0915794481496519,0,0,0.205348695901634,0,0,0,0,0.0150592156599341,0,0,0,0,0,0,0.326262261837509,0,0,0,-0.224324621006215,0.163247712196146,0,0,0,0,0,0,0.0142467981350247,0,0
X002241.SZ,0,0,0,0,0,0.587676113554699,0,0.174749164150301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158133711397773,0,-0.026385908386811,0,0,0,0,0,0,-0.12624166546934,0,0,0,0,0.257767696581041,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0288144638538723,0.125758704429588,0,-0.0124872051476812,0,-0.0434057764395262,-2.16840434497101e-19,0,0,0,-0.0497391536379118,0,0
X000596.SZ,0,0,0,0,0,0.218705362231299,0,0.114394122970046,0,0,0.141466282397514,0.142144645069362,0,0,0,0,0,0,0,0,0,0.179345959825388,0,0,-0.0235390763789273,0,0,0.0803125919796031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194054327483957,0,0,0,0,0,0,0.0335404634602089,-0.0406293017290715,0,0,0,0.0209641638310617,0,0
X600741.SH,0,0,0,0,0,0,0,-0.0972517376541543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878832992931588,0,0,0,0,0,0,0,0,0,0,0.0778431734613155,0,0,0.0558822498375261,0,0,0,0,0,0,0,0,0.0218017561533104,0.317261735193687,0.165820288107675,0,0,-0.0156106448901541,0,0,0,-0.0145221753733651,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.236688386339828,0,0,0,0,0,0,0,0.248595603010569,0,0.106595809054082,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.048466831162716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08900895764093,0,-0.0139629155410196,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.374172340047224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139542598911285,0.0999347489699706,0.181128474007612,0,0,3.46944695195361e-18,0,0,0,0.440899416458651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00759441632315512,0,0
X002007.SZ,0,0,0,0,0,0,0.0651899190587865,0,-0.0988240336875,0,0,0,0,0,0,0.0484837852330468,0,-0.229281083500069,0,0.274096067519787,0,0.131985047087171,0.0158031736451978,0,0,0,0,0,0,0,0,0.322672722327756,0,0,0,0,0,0,-0.0374583004397239,0.195313693496939,0.137202197743884,0,0,0,0,0.286959770593089,0,0.077047747349635,0,0,0,0.060351193317493,0,0,0,0,0.0320588072841339,0,0
X601877.SH,0,0,0,0,0,0.402721249962969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368339373927187,0,0.139077858221296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597064725116357,0,0,0,0,0.0494583401564949,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.23794613517668,0.146664852308135,0,-0.220987890470516,0.42842386117891,0,0,0,0,0,0.0324572145246628,0,0,0,0,0,0,0,0,0,0.402665645123632,0,0,0.200404681925494,0,0,0,0,0.0497745312847634,0,0,-0.0347305807640582,0,0,0,-0.0121492875996806,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0.0402402491940326,0,0,0.271557035235848,0,0,0,0,0.188949109125933,0.0258160891497009,0,0.0309384487315867,0,0,0.106849647733654,0,0,0,0,0,0,0,0.131542318379342,0,0,0.154055826819776,0,0,0.330225305192497,-0.352417605183924,0,0,0,0,0,0,0,0,0,0,0.299619344649396,0,0.0182429571299029,0.00996153030497048,0,0,0,0.0151398746408586,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0649001836985452,-1.73472347597681e-18,0.182770850835445,0,0,0,0,0,0,0,0,-0.00938241626150789,0,0,0.00488326448277791,0,0,0,0,0,0,0,0.111140611092043,0,0.0460986659236665,0,0,0,0.118960996402436,0,0,0,0.0540228327037617,0,0,0,0,0,0,0,0,0,0,0,0.0247562582245591,0,0,0,0,0.0212921825377331,0,0
