,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X002007.SZ,X300003.SZ,X600183.SH,X000596.SZ,X002371.SZ,X300142.SZ,X600741.SH,X300014.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X002179.SZ,X002456.SZ,X600498.SH,X600118.SH,X300136.SZ,X002414.SZ,X002223.SZ,X600584.SH,X600271.SH,X000066.SZ,X002049.SZ,X600522.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.200547930653587,0.0250224484049329,0,0,0,0,0,0,0.0376547491256627,0.0243895896894003,0,0,0.202576375448114,0,0,0.0154530706628797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921501539910645,0.142329532684652,0,0.0620831838121514,0,0,-0.0156831331807866,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.467660092801819,0,0,0,0,0,0,0,0,0,0,0.170632710003319,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.106214898551177,0,0.0591848524222127,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0555716843487148,0,0,0.0147920239955676,0.0100946922009651,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.180339930677658,0,0,0,0.0822665265213789,0.114996759330956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799821445385409,0,0,0.0268521628896332,0,0,0,0,0,0,0,0,0,0.0498885555090151,0.0493637520479164,0,0.00831072367992865,-0.0477077774922787,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366106740917026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123775224461986,0.0370071510019429,0,0,0,0,0.0538475838118181,0,0.1517182248874,0,0.0668028610733529,0,0,0.0202391434343683,0.00218884148991825,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.152868295963448,0,0.0644272238698057,0,0,0,0.0700347628098628,0,0,0,0,0,0,0,0.000121467716829521,0,0,0,0,0.294885895977183,0,0,0,0,0,0,0.0207857966646505,0,-3.46944695195361e-18,0,0,0,0.0598198962427804,0,0,0,0,-0.0150918597156206,0,0,0,0,0,0,0,0.0196550794513937,0.0177368397754661,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201308758399683,0,0,0,0,0.102479502886359,0,0.0352465205177024,0,0.249731375213836,0.0337630044907511,0,0,0,0,0,0,0,0,0,0,0,0,0.0176453101105554,0,0,0,0,0,0,0.213543336628919,0,0,0,0,-0.00640772389904797,0,0,0,0,0,0
X002179.SZ,0,-0.0171274471830268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00560011106839593,0,0,0.110115225315249,0,0,0,0,0,0,-0.091450493926288,0.00829961217613657,0,0,0,0,0,0,0.0715564282576791,0,0,0,0.0886870291432333,0,0.0827193805174281,-0.0702598114486391,0,0,0,0,0,0.196450228146789,0,0.0150183613934782,0.00855527858999533,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398199241657933,0,0,0,0,0,0,0,0,0.095110586254448,0,0.0554714896599671,0,0,0,0,0.267809378509262,0,0,0,0,0,0,0.0405906724731396,0.25312886648544,0,0,0.113883812555515,0,0.0418157282344988,0,0,0.0707137106077473,0,0.00686970532688639,0.00520796194853765,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0.150357540045985,0,0.141128811306606,0,0,0,0,0,0,0,0,0,0,0,0,0.0656042823322223,0,0,0,0,0,0,0,0.291435815780929,0,0,0,0.136495260789022,0,0,0,0,0,0,0,0,0,0,0.137871591183699,0.0342808264225576,0.0260930610947361,0.0141921834419948,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0.162034642657452,0.00203748918566239,0,0,0,0,0,0,0.250582046396212,0,0,0,0,0,0.279471205570122,0,0,0,0,0.231925404412752,0,0,0,0,0,0,0,0.110104743402397,0,0,0,0,0.0371677648082114,0,0,0,0,0,0,-0.251323127326225,-0.0186669911379241,-0.0294669816226046,0,0,0,0,0,0
