,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600066.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X002506.SZ,X000568.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002074.SZ,X002007.SZ,X600867.SH,X000869.SZ,X600089.SH,X002294.SZ,X002426.SZ,X002180.SZ,X002456.SZ,X000050.SZ,X002508.SZ,X000981.SZ,X002465.SZ,X600498.SH,X601877.SH,X002179.SZ,X600060.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013827865433244,0,0,0,0.176562653281768,0,0,0,0.148489365522481,0,0,0.0470438034338609,0,0,0,0,0.0295948524341032,0,0,0,0,0,0,0,0,0.179196682315382,0.0139855195419558,0,0,0,0,0,0.118214193013496,0,0.0143481313625083,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594295142412338,0,0,0.0527309889872372,0,0,0,0,0.0204896231995009,0,0.149285117154482,-0.0366837120455978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111936672552602,0,0.292343819033372,0,-0.0607334316012257,0,0,0.0323766682079332,-0.0313050797297125,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0.489694417086095,-0.0483628301664898,0,0,0,0,0,0,0,0,0,-0.0949911561995071,0,0,0,0,0.0705670824609614,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457386163327227,-0.0683051175028688,0,2.16840434497101e-19,0,-0.156448580937804,0,0,-0.0236808353423475,-0.278009766866278,0,0,0,-0.0401830097077438,0.0173519271276818,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258933830676589,0,0,0,0,0,0,0,0.162369349204112,0,0.133772400363141,0,0,0,0,0,0,0,0.138663344211638,0,0,0,0,0,0,0.0583807428816329,0,0,0,0,0,0,0,0,0,0,0.000715379369246316,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137194978257141,0,0,0.147382003895822,-0.0514909299816547,0,0,0,-0.0242961101084925,0,0,0,0,0,0.0961137230855476,0,0.431237767362106,0,0,0,0,0,0,0.185314208546046,0,0,0,0,0,0,0.0705548006414286,-0.0285679979418117,0,-0.0661465982523869,0,0,-0.0328422053923677,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864234253706646,0,0,0,0,0,0,0.232093819827238,0,0,0.197504192916755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.274362630305905,0.0188335548688778,0,0,0.0131584816524838,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248710607435479,0,0,0,0,0,0.128663904340498,0.0684608000687194,0.0874730841679619,0,0.0315365445381649,0.0333522756743752,0,0,0,0,0.0389066710548029,0,0.0957207820084255,0,0,0,0,0,0,0,0.0957144601642445,0,0,0,0,0,0,0,0,0,0.0139158105503224,0,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0.328792818946068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203334026650696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105330533213649,0,0,0,0,0,0.0514453897728675,0,0,0.0179108036802928,0,0.00505391283488293,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512607376858212,0,0,0,0,0.177270776116882,0,0,0.087520783812668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137128900119554,0,0,0.0464336406489533,0,0,0.148969750315356,0,0,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0.086197302398192,0,0,0,0,0,0,0.0813140084219864,0,0,0,0.178175420108122,0,0,0.229740075177122,0,0,0,0,0,0,0.0250365216268229,0,0.00885816858435259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902699643739445,0.0144083376558252,-0.025613172463925,0,0,-0.0116064093553767,0,0,0,0,0,0,0
X002426.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147371230869615,0,0,0,0,0,0.0158587151706789,0,0.292494765888466,0,0,0,3.46944695195361e-18,8.67361737988404e-19,0,0,0,-0.112834862617365,0,0.0230287597947589,0,0,0.180134543976913,0,0,0,0,0.0346552053992884,0.0493583266360645,0,0,0.0254254321866846,0,0.0638311468057399,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,-0.324174256162307,0,0,0,0,0,0,0.088360029684633,0,0,0,0,0,0,-0.0177717464133645,0,0,0,0,0,0.0552231210217559,0,0.00165584019374978,0,0,0,0,0,0,0,0.091864433610284,0,0,-0.263561774775053,0,0,0,0,0,0,0.0719715411177491,0,0.100644659862306,0.0179099133048405,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125362731712428,0.172811231266731,0,0,0,0,0.0659810174024807,0,0,0,0,0.073003901539246,0,0,0,0,0.195926247872799,0,0,0,0.0218917037254282,0,0,0,0.201879472370076,0,0,0,0,0,0.180562098337899,0,0,0.142072256348126,0.20122313828866,0,0,0,0,0,0,0,0,0
