,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000625.SZ,X002371.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X600089.SH,X002179.SZ,X300014.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X000661.SZ,X002129.SZ,X002028.SZ,X002049.SZ,X002463.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X601799.SH,X600066.SH,X000921.SZ,X000800.SZ,X002223.SZ,X600183.SH,X002007.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,-0.0399612957078129,0,0,0,0,0.0841433380560586,0,0,0,0,0.0623524475606125,0,0,0,0,0.188202650679834,0.00469305416838074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994423658682235,0,0,0,0,0.168984090015803,0.0224725867853482,0.0367141317474243,0,0,0,0.0152867688878733,0,0,0,0,0,0.00872391487336817,0.0813073408900434,0,0,0,0,0
X000661.SZ,0,0,0,0.218860600441961,0.0734186799131755,0.00862161568239176,0,0,0,0,0,0,0,0,0,0,0,0,0.0764179059632829,0.0141226988288959,0,0,0,0,0,0,0,0.238100183479014,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.280983171513927,0,0,0,0,0,0.121859477716772,0,0.095433989105056,0,0,0,-0.0548886560881746,0.0148248159806501,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16368998090439,0,0,0,0,0,0,0.51203326515985,0,0,0,0,0,0,0,0,0,0.647376954410297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627971683501232,0,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992997431757565,0,0,-0.142012834048701,0,0.443831420581561,0,0,-0.00151381805207165,-0.282198320219051,0,0,0,0.175468765884292,0,0,0,-0.0870718186805924,0,0,-0.129060511254557,0,0,0,0,-0.200365859867796,0.352840350338644,0,0,0,0.0648867379494819,0,0,0,0,0,-0.15600073999188,-0.0432617625451222,0.0313742910949826,0,0,0,0,0,0
X002049.SZ,0,0,0.060378274627421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319094223698964,0,0,0.121012690619718,0,0,0,0,0,0,0,0,0,0,0,0.276057397385353,0,0,0,0.0843011887354373,0.167228092414725,0,8.67361737988404e-19,0,0,0,0.023129433748804,0,0.0731009631788986,0,0,0,0,0,0,0,0.00385735480095424,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0.397367323625691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395514579519917,0,0,0,0.160491463271227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343136827600227,-0.152359984832726,0,0,0,0,0
X000977.SZ,0,0,0,-0.00639574063403673,0,0,0,0,0,0,-0.209171420930663,0,0,0,0,0,0,0,0,0.182644913003789,0,0,0,0,0,0.107439699996332,0.580929193202756,0.0825164451942978,0,0,0,0,-0.0325639798801289,0.252348742894192,0,0,0,0,0,0,0,0.291015988995788,0,0,0,0,0,0,0,0,0,-0.0581919271958361,0.0479837228761686,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0.0397003871375952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44156101477913,0,0,0,0,0,0,0,0.12392067917754,0,0,0.0175075817412648,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0118524525224791,0,-0.0442248335716037,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0.0152870236823311,0,0,0,0,0,0,0,0,0,0,0.0534663765312609,0,0,0.0558957089706898,0,0,0,0,0,0,0,0.488155410811133,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0192190370852281,-0.0216441815039315,-0.0244619514253268,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,-0.147815268834604,0,0,0,0,0,0,0.195047291121254,-0.0641175051347214,0,0,0,0.0351589750066611,0,0,0,0,0,0,0,0.243388114695468,0,0,0.129682356097554,0,0,0,0.0168087195531864,0.0899878201313187,0,0,0,0,0.0853775067852726,0,0,0,0,0,0,0.143085131361029,0,0,0,0.0166877049005664,0,0,0,0,0,0
X601799.SH,0,0,0.124371790668855,0,0,0,0,0.0649956626479404,0,0,0,0,0,0,0,0.0767957178989564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153291699089837,0.00289696817255662,0,-0.0641028733778226,0,0,0,0,0,0,0,0,0,0.015842176900607,0,0,-0.00583599984667497,0.00624450122182284,0.0588164319643353,0.133541964178385,0,0,0,0
X600066.SH,0,0,0,-0.0837405786855817,0,0,0,0,0,0,0,0,0,0,0,0.0672278668537925,0.128062638349862,0,0,0,0,0,0,0,0,0,0,0,0,0.0976736424224801,0,0,0.0631136612241494,0,0,0.0841913339144981,0,0,0,-0.0799239242745656,0,0,0,0.145008652965035,0,0,0,0.193467846795046,0,0,0,0.0110756941120921,-0.0133469188834715,0,0,0,0,0,0
X000921.SZ,0,0,0,0,0,0,0,0.132856314690953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864738079572242,0,0,0.178291968632419,0,-0.0520799163587645,0,0,0.0811478114924127,0,0,0.370636628825204,0,0,0,0,0,0.0792691557134718,0,0,0,0,0,0,0,0,0,0,-0.000326032242823761,0,1.73472347597681e-18,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393108173662414,0,-0.105825781488224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133427751503267,0.0651366954880588,0,0.0114582255945629,0,0,0.0789327088362868,0,0,0,0,0,0,0.0227493811254961,0,-0.0895325195615875,0.00380750792728389,0.0195368726000096,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501215528921253,0,0,0,0.046426676954981,0,0,0.0320792057897925,0,0,0.0355952799968037,0,0,0,0,0,0,0,0,0,0.0220178478038715,0,0,0.0790642926414045,0,0,0.108504237789166,0,0,0.0749337269605203,0,0,0.108956023401532,0,0.0882692121731194,0,-0.00957621496168408,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0.423605369692309,0,0,0,0,0,0,0.166837529372695,0.0210537136642128,0,0,0,0,0,0,0,0,0.136751810172899,0,0,0,0,0,0.143585382856309,0,0,0.14322253820738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00766283110732267,0,0.0136926274342911,-0.0300852550236801,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.121126543281284,-0.00505062935859659,0,0,0,0.0624834181454715,0,0,0,0,0,-0.0377710354374802,0,0,0,0,0.217723192636752,0,0.177148929609947,0.00801302943250655,0,0,0,0,0,0,0.00364817267190834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511739225551,0,0.0386833630348027,0,0.09843114965626,-0.0844247355744491,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0.00911140390531697,0,0,0,0,0,0,-0.0499760974800439,0,0,0,0,0,0,0,0,0,0,0,0,0.0344011952474521,-0.0230068916715257,0,0,0,0.152517906125167,-0.0423980411882602,0,0,0,0,0,0.120725616289399,0,0,0.0247517505204312,0,0,0.00469319280851268,0.0451728865907251,0.287261884282778,0,0.00598075436769326,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143811445437972,0,0,0,0,0,0,0,0,0,0,0,0.270367015623958,0,0,0,0,0,0,0.124841580989847,0.108435707782919,0,0,0,0,0.169787897580037,0,0,0,0,0.0865723069716983,0,0,0,0.11248369357606,0,0.0229382100765543,-0.0272899634872877,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119501687438017,0,0,0,0,0,0,-0.145170902188482,0.532011542705365,0,0,0,0,0.0619201748396068,0,0,0,0.094746130085487,0,0,-0.00464581503974713,0,0,0,0,0,0.0241989862040529,0.045725167169573,0,0.143147005418112,0,0,0,0,0,0,0.0391149879700643,-0.0253327582479347,0,0.361140094570366,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0.291396231819723,0,0,0,0,0,0,0,0,0,0,0,0,0.151003862654117,0,0,0,0,0,0,0,0.0517674693479564,0,0,0,0,0.00159834087653723,0,0,0,0,-0.0534055937266848,0.276812182290721,0,0,0.250106217451035,0.145005917970648,0,-0.157268386266976,0,0,0,0.0133681751389161,-0.00789894972562523,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,-0.0526087688210024,-0.0996583887075192,0,0,0.376604130188468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168379496725245,-0.043524898555867,0,0,0,0,0,0,-0.0825498189218602,0.0784235412987917,0,0,0,0,0,0,0,0,0,0,0,0.0240737136810336,-0.108593975768497,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.803166218842567,0,0,0,0,-0.80852487424944,0,0,0,-0.280374747708604,0,0,0,0,0,0,0.369336575256607,0,0,0,0.25883427591748,0,0,0,0,-0.0528164416628625,0,0,1.78828850927162,0,0.844400177574964,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302073116238137,0,0,0,0,0,0,0,0.57349070491528,0,0,0.214605427176216,0,0,0,0,0,0,0,0.300611074103194,0,0,0,0,0,0,0,-0.216552612885311,0,0,0,0,0,0,0,0,1.2235427317776,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0.0207279591904767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926229947373255,0,0,0,-0.0233466045783053,0,0,0,0,0.0429966706789365,0,0,-0.177917828384466,0,0,0,-0.158546105080141,0.0732261364754867,0,0.0229033409528524,0,0,0,0,0,0,0,-0.0906296732322331,0,-0.0316670962103908,-0.00378887681294831,0,0.171519554239521,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.0346126998732263,0,0,0,-0.0664664532093734,0,0,-0.00742606209148036,0,0,0,-0.0487656920730467,0,0,-8.67361737988404e-19,-0.0162467842091885,0,0,0,0,0,0,0,-0.0729305267418687,0,0,-0.00147710364377757,0,0.116762682475551,0.164299620775585,0,0.00995132119601992,0,0,0,0,0,-0.00221728767281273,0,0,0,0,0,0.00651994721985152,0,0.400226477337573,0,0,0,0,0
MKvol,0,0,0,0,0,0.000641965898256878,0,0,0,0,0,0,0,0,0,6.43261836354101e-05,0,0,0,0,0.00127185961024544,0,0,0,0,0,0,-0.000812864140120818,0,0,0,0,0,0,0.000394197934850494,0.00155374674202599,0.000857947216894183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125190281221272,-0.00100955658006022,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115552835022742,0,0,0,0,-0.0230656494611394,0,0,0,0,-0.0207405679799601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209629130869878,-0.108677879461887,0.159775148198887,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00439873212771136,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139103623980217,0,0,0,0,0,0,0,0,0,0,0,-0.00383343486737478,0,0,0,0,0,0,0,0.00133478737920946,0,0,0,-0.00282207064620788,0,0,0,0,0,0,0,0.00733493639445372,-1.0842021724855e-19,0,0.00479278914084114,-0.000812642275886201,0.00466906128797843,0,0,0,0.0186851997492239,0,0
