,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0,0,0,0,0,0.0455795408095785,0,0,0,0.0822104045180163,0,0,0,0.0759286167592119,0.0763666712480512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185547331660028,0,0.104236911605729,0,0,0,0,0.0842899144970433,0,0,0,0,0,0.0145093623018861,0,0,0,0,0.0265875976188259,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346116148032775,0,0,0,0,0,0,0,0,0,0.0870398362947325,0,0,0,0.122400230770448,0,0,0,0,0,0.418570725805466,0,0,0,0,0,0,0.00607349842975219,0,0,0,0,0,0,0,0.0039411008216817,0.0129668543428917,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.183415235656883,0,0,0,0,0,0.167903758890336,0,0,0,0,0,0,0,0,0,0.0584094269361584,0,0,0,0,0.0348046608474152,0,0,0,0,0,0,0,0,0.140092575118094,0.248360526255879,0,0,0,0,0,0,0,-0.0192376694706061,-0.0518266291101578,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214335983580674,0,0,0.16862519817737,0,0,0,0,0,0,0,0.183380311724875,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.203910649378566,0,0,0,0,0,0,0,0,0,0,-0.0397730349012822,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.249194740222928,0,0.0292540726318734,0,0.0280473961644728,0,0.0611562096267546,0,0.168367885793661,0,0,0,0,0,0.01184652648738,0,0,0,0,0,0,0,0,0,0,0,0,0.0401009031959744,0.0713051881212102,0,0,0,0,0,0,0.00598083182080354,0,0,0,-0.0097399872816179,-0.00031708143645218,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0.248163323632086,0,0,0,0,0,0,0,0.301193324693909,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0163174048742657,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0409646402529512,0,0,0,0,0,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.0240042729491163,0,0,0,0.158520626923021,0,0,0,0,0,0,0,0.248032280532713,0,0,0,0,0.102181749512696,0,0,0,0,0,0,0,0.0478312426489658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104675962830323,0,0,-0.0220022138132079,0,0,0,0,0,0
X000157.SZ,0,0,0.0503187471825171,0,0,0.117271309643287,0,0,0,0,0,0,0,0,0.190492017355572,0,0,0,0.0271676751933826,0,0,0,0,0,-0.0196614292822613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358773141629545,0,0,0,0,0,0,0,0,0,0,0,0.00823596343779787,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0312284782844029,0,0.176870741892968,0,0,0,0,0,0.0598412001976897,0.0140028183598766,0,0.0777022422675348,0,0,0.171198653911578,0,0.0336962939539142,0,0,0,0,0,0,0,0,0,0.121472548178176,0,0,0,0,0,0,0,0,-0.0164979949076727,0.133651647255095,0,0,0,0,0,0,0.0329836025397363,0,0,0,-4.33680868994202e-19,0.0125249939784334,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594205712557784,0.27211596464897,0,0,0,0,0,0,0,0.0352773085711328,0,0,0,0,0,0.230837165376764,0.181947454582709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595552099713224,0,0,0,0.0408496352659538,-0.0248395435237131,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.210541934736752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695100336949077,0,0,0,0,0,0,0,0,0.199550802950107,0.0773398638381902,0,0,0,0,0,0,3.46944695195361e-18,0.201854497935447,0,0,0,0,0,0,0.0188862329474949,0,0.0253186747851158,0,0,0,0,0,0,0
X002292.SZ,0,0,0,-0.000340236372246096,0,0,0,0,0,-9.18492858896595e-05,0,0,0,0,0,0,0,0,0,0.000417402638388025,0,0,0,-0.000366142865569862,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1548340643712e-05,0,-1.30218570763931e-06,0,0,0,0,0,0,-7.31644367699925e-05,0,-3.13334968214636e-06,0,0,0,0,0,0,0
X600066.SH,0,0.138024336502324,0,0,0,0.112906625241318,0,0.162880925924915,0,0,0,0,0,0.102574008513929,0,0,0,0,0,0,0,0,0,0,0.0297129837423717,-6.93889390390723e-18,0,0,0,0,0,0.008235331433756,0,0,0,0.0903553614641202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457115994015064,-0.0797465097329612,0,0,0,0,0,0
X002129.SZ,0,0.0810116468486639,-0.300806715560259,0,0,0,0,0,0,0,0,0,0,0,0,0.139093378821571,0,0,0,0.164600822138732,0,0,0.0494748543439987,0,0,0,0,0,0,0,0.14528385482104,0,0.205087834451476,0.0238323306671632,0,0,0,0,0,0.11621924182321,0,0,0,0,0,0,0,0,0,0,0,-0.0177885210267744,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.453561370913732,0,0,0,0,0.0360455546839519,0,0,0,0,0,0,0,0,0,0,0,0.015828779828493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398543377534909,0,0,0,0,0,0.0133162972893475,0.179629395362931,0,0,0,-0.0135501705547494,-3.3881317890172e-21,0,0,0,0,0,0
