,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X600839.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600522.SH,X002456.SZ,X600741.SH,X002156.SZ,X600460.SH,X600183.SH,X600066.SH,X601877.SH,X002129.SZ,X000661.SZ,X002085.SZ,X600487.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0.0546280470288355,0,0.0588800561536564,0,0,0,0,0,0,0.147779212905268,0,0,0,0,0,0.066584211853549,0.14530910284487,0,0,0,-0.0700377316559901,0.103748527386504,0,0,0,-0.171895451137783,0,0.0326741377217963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876228511252926,0,0.0483643035719611,0,0,0.0180999299002349,0,0,0,0,0.0539978207815432,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.182001954682356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176676728359575,0,0,0,0,0.00442479804589901,0,0,0,0,0,0.0255229647086425,0,0,0.190652615853099,0,0,0,0.149373110147207,0.332625000974918,0,0,0,0,0,0,0,0,0,0.104881766045434,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173196635138051,0,0,0.097041964233064,0,0,0.174931140415296,0,0,0,0.0653722047104266,0,-0.0547917167928946,0,0,0.346791448798857,0,0,0.192912479746829,0.0523960851628716,0,0,0,0,0,0.0158397545241497,0.0344032382778045,0,0,0,0,0,0.0534866883253205,0,0,0,0.0464503586456208,0,0
X600183.SH,0,0,0,0,0.0391850220771928,0,0,0,0,0,0.0351598178636307,0,0,0.0334465740915998,0,0,0,0,0,0,0.193067218147642,0,0,0,0.0803925614901213,0.10932278441932,0.0605405787844196,0,0,0,0.0796911937296839,0,0.0132868978862824,0.121816874858403,0,0,0,0,0.00355490439829534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0.356533762260866,0,0,0,0,0,0,0,0,0,0.065825263331004,0,0,0,0,0,0,0,0,0,0,0,0.060916821776107,0,0,-0.167537702019471,0,0,0,0,0,-0.00920374744499403,0,0.0610924675285924,0,0,0,0,0,0,0,0,0,0,0,0,-0.072391192438565,0.126394149330512,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.018237054781333,0,0.03481551999289,0,0,0,0,0,0,0.257020659460146,0,0,0,0,0,0,0,0,0,0,0,0,0.0402863654323204,0,0,0,0.0204602523888837,-0.00996346959671518,0,0,0,0,0.0814037372895103,0,0,0,0,0.0443959900280678,0,0,0,0.0326677775404925,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508531851870107,0.110996133388296,0,0,0.293756277998078,0,0,0,0,0,0.0653329821537948,0,0,0,0.0991133378938348,0,-0.0846959284511072,0,0,0.0982690642752155,0,0.10592261529928,0,0,0,0,0,0,0.134008640991487,0,0,0.0661835404362051,0,0,0,-3.46944695195361e-18,0,0,0,0,0.107819536124275,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121589646444794,0,0,0,0.199179970409674,0,0,0.175689868846282,0,0,0,0,0,0,0,0,0,0,0,-0.0361453756480173,0,0,0.102882022783641,0,0,0,0.0971502304603614,0,0.17359000966681,0,0,0,0,0,0.0804710120159169,0,0,0,-0.145856524266574,0.0165431938684143,0,0.0885390768054676,0,0.00554035520033218,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519054168530528,0,0,0,-0.106052513935391,0,0,0,0,0,0.0210037247383628,0,0,0,0,0,0,0,0.213480328133189,-0.0289866918232236,0,0,0,0,0,0.249908350102285,0,0.48149832801524,0,0,0,0,0.448948961687214,0,0,0,0,0,0,0.0507946486630147,0,0,0,0.0944842947591794,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587924753250279,0,0,0,0,0,0,0,0,0,0,0.0489528481299638,0.080341480819708,0,0,0,0,-0.0154542501366274,0,0,0,0.152039035382796,0,0,0.46955014809859,0.0495357702735884,0.0233476098854167,0,0,0,0,0,0,0,-0.0249212855514504,0,0,0,0,0.0130353863851714,0,0,0,0.0665695110493247,0,0
