,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000100.SZ,X002475.SZ,X600066.SH,X002236.SZ,X601877.SH,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X000066.SZ,X300003.SZ,X002294.SZ,X600699.SH,X000559.SZ,X600867.SH,X002292.SZ,X002180.SZ,X300136.SZ,X000623.SZ,X002074.SZ,X600498.SH,X600809.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600089.SH,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00432327193987814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244210598956289,0,0,0.0110210388029497,0.138775320267887,0,0,0,0,0,-0.023009123665981,0,0,0,0,0,0,0,0,0,0.0720266272267437,0.0460873703113173,0,0,-0.0532506434667042,-0.00901985172477035,0.00417150993725937,0,0,0,0,0,0
X002085.SZ,0,0,0,-0.0399739568140937,0,0,-0.0458078635854304,0,0,0,0,0.0883662117544091,0.180582350443562,0,0,-0.018915984087396,0,0,0,0,0.470719219986546,0,-0.0644135750741205,0.0814658954802396,0,0,0,0,0,0,0.0862555222953364,0,0,0,0,0,-0.0376672072335397,0,0,0,0,0,0,0,0,0,0.0738987897233381,0,-0.15471568001499,0,-0.00370119380642187,-0.0101322057993192,0,0,0,0,0,0
X002007.SZ,0,0,0,0.0297801803312976,0,0,0.03811931712398,0,0,0,0.0752714875268212,0,0.0168215964066497,0.0345862127477356,0,0,0.0325955911278381,0,0,0,0,0,0,0,0,0.0143401328011589,0,0,0,0,0,0,0,0,0,0.0159098044997283,0,0,0,0,0,0.145680793185518,0,0,0,0,0.0761604468484689,0.0335597553323302,0,0,0.0171083644968125,-0.00751869426334537,0,0,0,0,0,0
X002508.SZ,0,0.083862078757709,0,0,0,0,0.0175812927718254,0,0,0,0.184480419797671,0,0,0,0,0,0.139786300787583,0,0.0211711187231546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433392625205142,0,0,0,0.0290496596812305,0,0,0.0650749149146495,0,3.46944695195361e-18,0,0,0,0,-0.104789885797255,0.00499154184598123,0,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00650629957502297,0,0,0.0382808758499121,0,0,-0.0783539095036568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133001453270199,0,0,0,0,0,0,0,0,0.0761790087771627,0,0,0,0,0,-0.0119552452435157,0.0309002634258863,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0.082714151336106,0,0,0,0,0,0,0,0,-1.0544179833911,0,0,0,0,0,0,0.628168328414365,-0.064921613440929,0,0,0,0,0,0,0,-0.755535366915729,0,0,0,0,0,0,0,0,0,0.874873946659806,-0.18243276216417,0,0,0,0,0,0,0,0.0420868669385629,-0.0238918516780524,0,0,0,0,0,0
X300003.SZ,0,0,0,0.0298567903589899,0,0,0,0,0,0,0,0.0233929817876922,0,0.140653461427511,0,0.126768748158184,0,0,0,0,0,0.2562701723772,0,0.0450894979964168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501351052200689,0,0.355548380558037,0,0,0.0556819473546475,0,0,0,0,0,0,-0.00555197354656678,0,0,0,0,0,0
X002294.SZ,0,0.0697209306272757,0,-0.0655081771134284,0,0,0,0,0,0,0.0981790630003618,0,0.0631626990973782,0,0,0,0,0.0883426933400166,0,0,0,0,0.171045709923578,0,0,0,0,0.0100391742101404,0.0540691158270559,0,0,0,0,0,0,0.00416732665232427,0,0,0,0,0,-8.67361737988404e-19,0,-0.0170049460224602,0,0,0,0,0.00755190519079555,0,5.42101086242752e-20,-0.00133124872285091,0,0,0,0,0,0
X600699.SH,0,0,0,-0.15789612289376,0,0,0,0,0,0,0,0.162883482256948,0,0,0,0,0,0,0,0,0,0.00899982183140088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198961300769148,0.116952272524142,0,0,0,0,0.160452896374943,0,-0.00546124214598391,0,0,0,0.0209166143175706,0.128245272070509,0,0.0238792728120362,-0.00219782833461728,0,0,0,0,0,0
X000559.SZ,0,0,0,0.0353123813189637,0,0,0.0666526152618288,0,0,0,0.185376525735395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447455628697192,0,0.189733081563205,0,0,0,0,0,0,0.0108449817515019,-0.00190917158393575,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811152846887965,0,0,0,0,0,0,0,0,0,0,0,0,0.130128708167451,0,0,0,0,0,0,0.0870166287851898,0.0378385395097022,0.0275110375949379,0,0,0,0,0,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0.142003152588703,0,0,0,0,0,0,0,0,0.158490268839265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120887522623448,0,0,0,0,0,0,0,0,0,0.608731161537346,0,0,0,0,0,0,0,0,0.138906138150176,0.146168603833596,-0.00738416804941237,0.00556633961440654,0,0,0,0,0,0
X002180.SZ,0,0,0,0.00845971789441058,0,0,0,0,0,0,0,0,0,0,0,-0.0700657472867862,0,0,0,0,0,0,0,0.12886840375215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228167652748291,0,0,0,0,0,0,0.0872161340254149,0,0,0,-0.0168370074466941,0.0181683466255973,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732902227808375,0,0,0,0,0.153723106277417,0,0,0,0,0,0,0,0,0,0,-0.517050709522367,-0.248623112498076,0,0,0,0,0,0.195271758532651,0,0,0,0,0,0,0,0.0771036816185477,-0.0309473659032051,0.0332042266482249,0,0,0,0,0,0
X000623.SZ,0,0,0,0.483315806381789,0,0,0.0260028471430299,0,0,0,0,0,0.00309367035641332,0,0,-0.614143545778686,0,0,0,0,0,0,0,-0.136935157711288,0,0.650775789658323,0,0.360797470124175,0,0,0,0,0,0,0.302678849159939,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,0,-0.00341899248941497,0.00605378563788061,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0959873507706145,0.0363452695974006,0,0,0.0119160231515405,0,0,0,0,0,0,0.0600739478050244,0,0,0,0,0.278040370925118,0.070398503555258,0.0372987783568492,0.058439258299049,0,0,0,0,0.0255071485727295,0,0,0,0.21565720859514,0,0.00416684071366447,0,0,-0.123105977650988,0,0,0,0,0,-0.0135398916789628,1.0842021724855e-19,0,0,0,0,0,0
X600498.SH,0,0,0,0.121467002437031,0,0.169184623034305,0,0,0,0,-0.0295666602782316,0,0,0,0,-0.0024345002572505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109792485975638,0,0.52750386162471,0,0,0,0.138167581346976,0,0,0,0,0,0,0.0228032552797734,0,-0.261149352084073,0,0,0,0,-0.0324861650175468,-0.00631342330735563,0,0,0,0,0,0,0
X600809.SH,0.282210334915725,0,0,0,0,0.207253626405305,-0.0326975711241946,0,0,0.128413129319555,0,-0.144779256146719,0,0,0,-0.148195721379551,0,0,0,0,0.233865762217476,0,0,0,0,0,0,0,0.29475983826914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232913206669201,0,3.45387367435292e-05,0,0,0,0,0,0,0
