,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X002236.SZ,X600089.SH,X000100.SZ,X002475.SZ,X000581.SZ,X600118.SH,X000050.SZ,X000559.SZ,X600271.SH,X002294.SZ,X600066.SH,X002129.SZ,X000550.SZ,X601877.SH,X000568.SZ,X002456.SZ,X600435.SH,X002292.SZ,X300003.SZ,X300124.SZ,X000400.SZ,X000800.SZ,X600839.SH,X000869.SZ,X002049.SZ,X002038.SZ,X600566.SH,X000977.SZ,X002008.SZ,X000623.SZ,X002007.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600566.SH,-0.0919590992432379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396627918123233,-0.0250653704225575,0,0.0131433838995157,0,0,0.156333388062574,-0.0881427401120935,0,0,-0.129110735337429,0,0,0,0,0.429020738702751,0.0613199782228708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262463100217256,-0.13059147881218,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861972631785159,0,0.10664395961777,0,0,0,0,0.0567750652467563,-0.0169031130359465,-0.0629466455710231,0.0861983365805974,0,0,0,0,0.129926746708542,0,0.162023772936987,0,0,0,0,0,-0.0688110067101839,0,0,0.00868024597020984,0,0,0,0,0,0,0.197929759937383,0,0.0167418383095806,-0.0430632169812757,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,-0.159744077007604,0,0,0.194999727205601,0,0,0,0,0,0,0,0,0,0,0.165436711981984,0.0291026464206669,0,0,0,0.201095031297858,0,0.0965250970679633,0,0,0,0,0,0,0,0,0,0,0,-0.115447815557625,0,0,0,0,0,0,0,-0.063206082885035,0.110526725667016,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0,0,0,0,0.069003169121372,0,0.131074996138469,0,0,0,0,0,0,0,0,0.045520778909327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589344716583831,0,0.0024587787929312,0,0.157744451801289,0,0,0.0504507491806494,0,0,0,0.141152594309085,0,0,0,0,0.0589380242815682,-0.0818377357360268,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.0795568357265784,0.10327304230103,0,0,0,0.0988245684299452,0,0,0,0,0,0,0,0.0126170790962452,0,0.174517299955542,-0.0654304827201662,0,0,-0.032689951856886,0.104958539994023,0,0.23352616860212,0,0,-0.0203390705621583,0,0,0,0,0,0,0,0,0.0326211656279386,0,0,0,0,0,0,0,0,0,0,0,0.0438022267655629,-0.00608552841357303,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,-0.083922353172079,0,0,0,0,0,0,0,0,0,0.00991923912661531,0,0,0,0,0.0473922276202709,0.309867260574606,0,0,0,0.0729168108939128,0,0,0,-0.160862071563038,0.309152454793043,0,0,0,0,0,0.0101204190286937,0.0715088935450236,-0.171447944949963,0,0,0,0,-0.0802327739459532,0,0,0,0.0259461548704267,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0236191016720013,0,0,0,-0.0428453395317741,0,0.108389278388129,0,0,0,0,0,0,0,0,-0.0903238880359396,0,0,0,0,0.00652539112701167,-0.0175351600856421,0.0574348403986439,0,-0.089130257036208,0.102437309767008,0,0,-0.0177176116216585,0,0,-0.0571724587464346,-0.0840943762849731,0,0,0,0,-0.059511172643193,0,0.0327578485116755,-0.0571424718180134,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319972956265338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141080894928669,0,0,0,0,0,0,0,0,0,0.133442390699585,0,0,0,0.892548331154242,0,0,0,1.09885758591059,0,0,0,-3.65725913625711,0,0
TED,0,0,0,0,0.366867113765668,0,0,0,0,0,0.0855702322766555,0,-0.470642103623428,0.310267719204646,0,0,0,0,-0.279359371876983,0,-0.267128849390922,0.126301308974058,0,0,0.00519783025400752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199426386993915,0,0,0,0.167309876913973,0,0,0,0,0,0.542263293784829,0,0,0,0,0,0,1.18385657226317
RealEstate_excess,0,0,0,0,-0.187810651877285,0.0562240240905525,0.106137531328681,0,-0.10654307284261,-0.00449573273601138,0.073618577218825,0,0,0,0,0,0,0,-0.0993211523652151,0,0,0,0,0,0,0,0,0,0,0,-0.0963205707422472,0,0,0,0,0,0,0,0,-0.104637857926787,-0.00481562464057892,0,0,0,0,0,-0.0694058339532882,0,0,0.142305105644046,0,0.00719674963363065,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.26857097038561,0,0,0,0,0,0,0,0,-0.00868898911164785,0,0,0,0,0,0,0,0.105558956473724,0,0,0,0,0,0,0,0,-0.00342810793020472,0,0,-0.0269550053584632,0,0,0.0285033492513269,-0.0920096590657204,0.0214690259104378,0,0,0,-0.163936780319813,0,0,0,0,0.0212738141326573,-0.0177599293197161,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000363608544429752,-0.000235790057854676,0.000813555198861565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000941729318485936,0,0,0,0,0.00102848388867987,0,-0.00103917979662991,-0.00141207281508473,0,0,0,0,0,-0.00126564279214259
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027796302731079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281645128631326,0,-0.00357628920779502,0,0,0,0,0,0,0,0,0,-0.0762764784933577,-0.0404546853573651,0,0,0,0,0,-0.37014840320144
CarbonVol_Guangdong,0,0,0,0,0,-0.00205972943780982,0,0,0,0,0,0,-0.021922292753302,0,-0.0344491111354644,0,0,0,0.00735150617065907,0,0,0,0,0,0,-0.00434316662743351,0,0,0,0,0,0,0,0,0,0,0.0105170975477396,0,0,0,0,0,-0.0121539568347574,0,0,0,0.00228642680286442,0,-0.00119084571725941,0,0,0,-0.0137106582394626,0,0,0,0,0,-0.0688855316354352
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160761721936161,0,0,0,0,0,0,0
