,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X600584.SH,X300003.SZ,X600779.SH,X002007.SZ,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0547654610969967,0,0,0.381535719523901,0,0,0,0,0.0598615906125135,0,0,0,0,0,0,0.0113998311607797,0,0.020656757073896,0,0,0.0690440517319295,0,0,0,0,0,0,0,0,0,-0.0235001503678537,0,0,0,0,0,0.0947927861294997,0.026080034347509,0,0,0,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360465656872713,0,0,0,0,-0.038079974030545,0.0803792082774648,0.0544810629715463,0,0,0,0.022340119441851,0,0,0,0,-0.0518314303141706,0,0.256883160497186,0,0,0,0,0,0,0,0,0.014545288093115,-0.0245040479361904,0.109147495344891,0,0,0,0,0,0,0,-0.00393056021044783,-0.0112299190917328,0.0312392704106031,0,0,0,0,0
X600703.SH,0,0,0,0,0.0122444212602445,0,0,0,0.134225105033783,0,0,0.0801459985664644,0,0,0,0,0,0,0.105398356618092,0,0,0,0,0,0,0,0,0,0,0,0,0.0914163972330211,0,0,0,0,0,0,-2.16840434497101e-19,0.267431996184884,0,0,0.0458423730112531,0,0,0,-0.0650313359222436,0,0,0,0,0.0165633985778289,0.0152230652125598,0,0,0,0,0,0
X000661.SZ,0,0.117948083815962,0,0.15085133943459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315405899021463,0,0,0.100580726958291,0,0,0,0,0,0,0,0,0,0,0,0.1499176259523,0.0269764907535421,0,0,0,0.0670633682821742,0,0,0,0,0.310771410427904,0,0,0.147032574060911,0,0,0,0,0.00841800675691201,0.0350082942025228,0.325734681503037,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253589847404393,0.117111524527515,0,0,0,0,0,0,0,0,0.166205502734777,0.0605353207021419,0,0.00844550014057863,0,0,0,0,0.129923594335015,0,0,0,0,0,0,0,0.0369772784241445,0,0.105177697338542,0.0025356366032774,0,0,0,-0.00903381106100274,-0.000242138475125801,0,0,0,0,0,0
X002180.SZ,0,0,0,0.0160169066760538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474723513992476,0.00364961606040125,0,0,0,0.0203444180154138,0,0,0,0,-0.114760310267789,-0.0415888977571525,0.416730494902066,0,0.0271257210351776,0,-0.0484996105690988,0,0,0.438149873305652,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-3.46944695195361e-18,0.038990447412765,0,0,0,0,0,0
X601877.SH,0,0,0,0.154967615330728,0,0,0,0.040632170864308,-0.0227971512338761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325358427727515,0,0,0,0,0.00957323647843092,0,-0.0361349301287407,0,0.276573146765887,0,0,0,0.0517254437764772,0,0,0,0,-0.0517557719386127,0.323704713708488,0.311849190132557,0,0,-0.0315858557842519,0,0,0.0167349851640745,-0.0376449844045462,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144175786370618,0.288368351269805,0,0.0127528880241613,0.0108913277805693,0,0.0496363905571548,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142751986271089,0,0,-0.0446642872789784,0,0,0,-0.0183031238792529,0.0261108636826544,0.025036255011194,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0.0503541260399789,0,0,0,0,0,0.0675429451406761,0,0,0,-0.249827786155433,0,0,0,0,0,0,0,0,0,0,0.178933105816347,0,0,-0.0182567124808976,0,0,0,0,0,0,0,-0.0866610428298188,0,0.0516436634460051,0,0.244532204740828,0,0,0,0.263913964068837,0,-0.0590020738220438,0,0.0296857513530221,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295994271959744,0,0,0,0,0,0.544069270097572,0,0,0,0,0,0,0,0,-0.29289494274184,0,0,0,0,0,0,0.758465511231776,0,0.101959149904501,0,0,0,0,0,-0.0763708912298097,0,0,0,0,-2.77555756156289e-17,0,-0.127176967044794,0.101508380654319,0,0,0,0,0,0
