,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000063.SZ,X600809.SH,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X000596.SZ,X600703.SH,X002007.SZ,X300014.SZ,X300124.SZ,X002371.SZ,X300142.SZ,X000100.SZ,X600741.SH,X002049.SZ,X002236.SZ,X000157.SZ,X002129.SZ,X300003.SZ,X601877.SH,X600584.SH,X000800.SZ,X300136.SZ,X002414.SZ,X600183.SH,X000625.SZ,X002179.SZ,X002456.SZ,X000066.SZ,X000977.SZ,X600118.SH,X601799.SH,X002185.SZ,X002008.SZ,X000050.SZ,X002508.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03231827592733,0.0178375298989842,0,0,0.0402317494582544,0.139873983296204,0,0.338115584848025,0,0,0,0,0.101404734157864,0,0.192065188725006,0,0,-0.10363215236129,0,0,0,0,-0.134833790099724,0.236589168502272,0,0,0,0,0.0164956647324714,-0.0177755495818491,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225672403647443,0.0134824734433264,0,0,0.0829115403337638,0,0,0,0,0,0,0,0,0.214311332294698,0,0,0,0,0.0158418317867043,0,0,0,0.166909830136573,0,0,0,0,0.291499223066469,0,0,0,0.11262935182068,0,0,-0.00581384236816098,0.0210645843379396,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174383081569017,-0.00898298269848721,0,0.207608198654689,0.118422599925049,0.153178366229299,0.169216964292654,0,1.38777878078145e-17,0,0,0.046487677042583,0,0,0.0362256728988724,0,0,0.178769225734827,0,0,0,0,0,0,0,0,0,0.114732977136995,0,0,-0.0957180390332775,0,0,0,-0.124749809149616,-0.00322329953891978,0.00590514809684976,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471215050328064,0.159066485232615,0,0,0,-0.150441593330966,0,0,0,0,6.93889390390723e-18,0,0,0,0.356472505707909,0,0.206559323711769,0,0,0,0.110964808046589,0,0,-0.0515550656002693,0,0,0,0,0.0253761150090516,0.0920792700672573,0,0.0538005909231022,-0.0644403756536944,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0.692006921611363,0.182633767697244,0,0,0,0,0.0560263529986745,0,0,0,0.0175045923779685,0,0,0.00539772696932344,0,0,0,0.0176095684982779,0,0,0,0,0,0,0,0,0.0129604359176835,0,0,0,0,0,0,0.00457356441579438,0,0,0.108883754610715,0,0,0,0,0,0.00681216490243421,0,0,0,0,0,0
X600741.SH,0,0,0,0.0248666502677306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142860746969453,0,0.00391265634612279,0,0.145617392636707,0,0,0.00602332186795646,0,0,0,0,0.0860392660936829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102823283418542,0,0,-0.00749061664975933,0,0,0,0,0,0
X002049.SZ,0,0,0,0.421400103131953,0,0,0,0,0,0,-0.152243723901272,0,0,0,0,0,0.0617584243385449,0,0,0,2.77555756156289e-17,0.275443337930133,0,0,0,0,0,0,0,0,0,0,0,0.38425551206331,0,0,0.153954137742995,0.205440569151834,0,0,0,0.0464213658214013,0,0,0,0,-0.156118730092583,0,0,0,0,0,0.00683230533411429,0,0,0,0,0,0
X002236.SZ,0,0,0,1.73472347597681e-18,0.0879427121835802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444028438263588,0.0813640843542975,0,0,0,0,0,0,0,0,0,0,0,0.0241594316447824,0,0,0,0,0,0,0.200084519818535,0,8.67361737988404e-19,0,0,0,0,0,0,-0.00752422572868145,0.0101445126219047,-0.00199904045224335,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00266738079653011,0,0,0,0,0,0,0.118399717432088,0,0,0,0.0367770387929551,0,0,0.0409662560279903,0,0,0,0,0,0,0,0,0.0424731370161006,0.147391214019886,0,0,0,0,0,0,0,0,0,0,0.0541805627283192,0,0,0,0,0.0174094748008628,-0.00058313246413411,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.180082880208425,0,0.311790607384452,-0.00194270600883524,0,0,0,0,-0.0405234384823745,0,0,0,0,0.0287416567600774,0.0627019061360403,0.210305868929268,0,0,0,0,0.222211956163832,0,0,0,0,0.10599920115005,0,0,0,0,0,-0.0833601590679487,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0135597609603685,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0.088809218827856,0,0,0,0,0,0,0.0784120414116419,0,0.0428420250817849,0,0,0,0,0.0392917830768242,0,0,0,0,0,0,0,0,0,0,0.0699662882437704,0,0,0,0,0,0,0,0,0,0.170968757883288,0,0,0.108270052249614,0,-0.0815513156557141,-0.0204377940958206,0,0,0,0,0,0
X601877.SH,0,0,0,0.00394299001276285,0,0,0,0,0,0,0,0.009402135955633,0,0,0,0,0,0,0,0,0,0,0.125083235567235,0,0,0.0121754610471691,0,0,0,0,0.100582467002158,0,0,0,0,0,0,0,0,0,0,0.0338682448699548,0,0,0,0,0.0363776473403448,0,0.0891354312662534,0.121146421536518,0,0,-0.0135176131839216,0,0,0,0,0,0
X600584.SH,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165848389284198,0,0,-0.106419121889165,0,0,-0.000762068282637592,0.219338449099623,-0.0447425547461245,0,0,0,-0.0740708782649369,0.144576849389006,0,0,-0.0161079118381517,0,0,0.185328073805169,0,0,0.633610864026067,0,0,0,0,0,0.0654853350634389,0.0365568083681861,0,0.102346384349259,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761010464610263,0,0,0,0,-0.010920901100434,0,0,0,0,0,0,0,0,0,0,0,0.113383956232729,0,0.313100439425379,0,0.22799710342263,0,0,0.167537112748282,0,0,0,0,0,0,-0.0018113001778774,-0.0358523422875948,-0.00871611083826223,0,0,0,0,0,0
X300136.SZ,0,0,0,0.301457420220529,0,0,0,0,0,0,0,0,0.125699253417133,0,0,0,0.279177220961983,0,0,0,-0.212980329599011,0,0,0,0,0,0,0.251037693088504,0,0,0,0,0,0,-0.0773109162758,0,0.208670029599974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170917209581368,-0.0250513558465055,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10244037333344,0.11937549189041,0,0,0.30472534051137,0,-0.0211763704060746,-0.0805595750560119,0,0,0,0.050213818923979,0,0,0,0,0.342701605386384,0.0565509211750175,0.167161751944546,0,0.0107595168609096,0,0.209076652409966,0,0,-0.166736390734675,0,0,0,-0.00320754367829524,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,-0.129505348043723,0,0,0.0451133327605324,0,0,0,0,0,0,0,0,0.270252355256181,0,0.0206105144684873,0,0,0,0,0,0.0354679705393688,0.0720869914022704,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.00489346625097374,0,0,0.181012541829104,0.138405018469305,0,0,0,0,0,0,0,0,0.0345410394219687,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.262892051373792,0,0,0,0,0,0,0,-0.0704393235342497,0,0,0,0,0,0,0,0,0.265273574332875,-0.011970777205579,0,0,0,0.11515518810063,0,0,0,0,0,0.149092047550502,0,0,0,0,0,0.105849258642664,0.0938942530213034,0,0,0,0,0,0,0,0,0.0974691757426324,-0.0176859461621882,0.00170668911976862,0,0,0,0,0,0
