,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X601877.SH,X300124.SZ,X000100.SZ,X002508.SZ,X300136.SZ,X300003.SZ,X002085.SZ,X600089.SH,X600271.SH,X002294.SZ,X002008.SZ,X600177.SH,X600522.SH,X000157.SZ,X002007.SZ,X600487.SH,X600118.SH,X600809.SH,X600867.SH,X600566.SH,X600699.SH,X000981.SZ,X600372.SH,X000559.SZ,X002074.SZ,X000581.SZ,X600498.SH,X300115.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484591831466329,0,0,0,0,0,0,0,0,0.233939972821776,0.0771375447985117,0,0,0,0,0,0,0,0,0,0,0,0,0.0719505513836604,0.224562766678837,0,0.254265438211371,0,0,0,0,0,0.184747191792618,0,-0.284165151497377,0,0.00839488580473276,-0.0739888490680392,0,0,0,0,0,0
X000157.SZ,0,0,0,-0.03796362163121,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.38130183502783,0,0,0,0,0,0,0.0113475450252113,-0.00669981228396263,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0208257383968644,0.0560529292640016,0.0578767367708391,0,8.67361737988404e-19,0,0.166899742703359,0,0,0,0.0540871409475688,0.0706447997206768,-0.00206561739258669,-0.00953161333095678,0,0,0,0,0,0
X002007.SZ,0,0,0,-0.0138588456047104,0,0.0171419106360034,-0.0776057423616036,0,0,0,0,0,0,0,0.191191556511902,0,0.107895289458224,0.0142384393148595,0,0,0.132645731690268,0,0,0,-0.0298838435030782,0,0,-0.117724760586179,-0.0359209324832043,0,0,0,0,0,0,0,-0.0545426129346775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00851125170252165,0,0,0,0,0,0,0
X600487.SH,0.0216495403233957,0,0,0,0,0,0,0,0,0,0.0257636827718568,0,0,0,0,0,0,0,0.0778190094869521,0,0.112945582111887,0.101744999800004,0,0,0,0.101591981464369,0,0,0.249840929225909,0,0,0,0,0,0,0,0,0,0,0,0,0.0711265685861785,0,0,0,0,0.0519188645847007,0,0.463796613481971,0.0473778588005415,0,-0.0108394169786444,-0.034919354027024,0,0,0,0,0,0
X600118.SH,0,0,0,-0.0158169548413472,-0.0617099236696048,0,0,0,0,0,0,0,0,0,0.052943007389067,0.00452648044422058,0,0.0702125424300725,0,0,0,0.110095737485921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362583628253204,0,0,0,0,0,0.0180767666604247,0,-0.0148629329939595,0.0295992722871748,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.532164847479858,0,0,0,0,0,0,0,0.0103273854670921,0,-0.0436006859565465,0,0,0,0,0,0,0,0,0,0,0,0.0438103285614301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.18523212605759,0.0636633106798579,0,-0.0426167327639556,0,-0.0118046155461122,0.00718505481828717,0,0,0,0,0,0
X600867.SH,0,-0.0963590130358807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124930333401368,0,0,0,0,-0.0874523782746072,0,0,0,0,0,0,0,0,0,0,0,0,0.0451785775493997,0,0,-0.0704775488979902,0,0,0,0.384347935955991,0,0,0,0.00870831035062994,0.0522756732669842,0,0.0656888087122242,0,0.138039136196799,0,0.0145347852176811,-0.0581047532760263,0,0,0,0,0,0
X600566.SH,0,0,0,0.12710227800019,0,0,0,0,0,0.255754292860087,0,0,0,0,0,0,0,0,0,-0.0222046508942021,0,0,0,0,0,0,0,0,0.0745608036873592,0,0.0226065195639701,-0.100439015228085,0,0,0,0,0.0231237046201552,0,0,0,0,0,0,0,0.00319782725471311,0.118005790617754,0,0,0,0.149751690915407,0,0,0.0171805945235277,0,0,0,0,0,0
X600699.SH,0,-0.0878950556291374,0,0,0,0,0,0,0.104290996889239,0,0.120571346248296,-0.107242441338142,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782662912445541,-0.09744936479452,0,0,0,0,0,0,0.223924637926768,0,0,0,0,-0.024169281440758,0,0,0,0,0.446139929276684,0.0140799266301605,0,0,0.253983456162159,0,0.0111218258627179,0,0.0134362837001161,-0.00546607529883108,0,0,0,0,0,0
X000981.SZ,0.00722904371581441,0,0,0,0,0,0,0,-0.0338998310584644,0,0.00792309981239832,0,0,0,0,0,0,0,0,0.0290298687072211,-0.0625233311839335,0,0,0,-0.000298859887260497,0,0,0,0.0013839059077345,0,0,-0.00769251954326706,0,0,0,0,0.0089235116159511,0,0.0637674313634299,0,-0.0211309077519119,0,0,0,0,0,0,0,0,0,0,0.0334233914350548,0.0261615515272794,0,0,0,0,0,0
X600372.SH,0,0,-0.313424908147993,0,0,0.0299529213283579,0,-0.131541759100549,0,-0.00783604451562572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486598871133953,0.361754669947374,0.0412714195606379,0,0,0,0,0,0,0,0.309853243822352,0,0,0,0,0,0,0,0,0,0,0,0.0880303479784341,0,-0.0336947085751281,0.0383736412329723,0,0,0,0,0,0
X000559.SZ,0,0,0,-0.139469390351153,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.018944802622323,0,0,-0.0509094271333938,0,0,0.407474864201373,-0.0977091473834595,0,0,0,0,0,0.0916286603767758,0,0,0,0,0,0,0.0657447412094015,0,0.0598304669699605,0,0,0,0,0,0.311091198660683,0,-0.00738627772013615,-0.036028568945814,0.0784164596786555,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422635342678698,0.1717234714399,0,0,0,0,0,0,0,0,0,0,0.0336538207948403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370208129575327,0.0636210904611508,0,0,0,0,0,0
X000581.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127793594105859,0,0,0,0,0,0,0,0,0,-0.0165900424618537,0,0,0,0,0.415141980095672,0,0.0353382377953172,0,0,0,0,0.273858677579854,0,0,0,0,0,0,0,0.00337067902453955,0,0,0,0,0,0,0
X600498.SH,-0.122172076386469,0,-0.0384650662227631,0,0,0.0355310446403571,0,0,0,0.146957466914734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245663734715407,0,-2.16840434497101e-19,0,0,0,0,0.035262300652541,0,0,0.130660811516021,0,0,0,0,0,0,0.10026889990185,0,0,-0.00365878120157437,-0.02687968303969,0,0,0,0,0,0
X300115.SZ,0,0,0,0,0,-0.024636920837581,0,0,0,0,-0.539902055947139,0,0,0,0.387874947861413,0,0,0,0,0,0,0,0,0,0,0.00424041567927596,0,0,0,0,0,0.0828604989803457,0,0,0,0,0.419612005207214,0,0.149718351369511,0,0,0,0,-0.109534010524522,-0.0618254235368951,0.0482205267081364,0,0,0,0,0,-0.0137808110231878,0.00908658317673935,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0.618546631451646,0,0,0,0,0,0,-0.0636190361318702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594365279960938,0,0.304915586437061,0,0.132317518200388,0.0649103538822268,0,0.263039737449782,0,0,0,0,0.0154613612501805,-0.0802878386813368,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-0.219841736869578,0,0.035500434674882,0,-0.09897605186149,0,0,0,-0.019072713888548,0,0,0,-0.114342071105776,0,0,0,0,-0.0240168687033554,-0.0167599122386028,0.0606200591510681,0,0,0,0,0,0,0,0,0.0487220090960274,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0118125851806404,0,3.46944695195361e-18,0,0,0,0,0
Slope,0,0.650509020163606,-0.196253085125731,0,0,0,0,0,-0.0870035298061915,0,0,0,0.415905244457984,0,0,0,0,0,0,0.456763263104212,0,0,0,0,0,1.38777878078145e-17,0,-1.03555171348106,0,0,0,0,0.65277179215093,0,0,0,0,0,0,0,0,-1.57828799947959,0,-0.0587166129821411,0.194699230373442,0,0,0,0,0.155625550318542,0,0,1.05206380905612,0,0,0,-11.1202785552195,0,0
TED,0,0,0,0,0,0,0,0,0,0,0.0410609318875334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,8.28729891666563e-05,0,0,0,0.0352414829654479,0,0,0,0,0,0.325656044920227,0,0.423482868327215,0,0,1.000177349585,0,0
RealEstate_excess,0,0,0.0589420078898568,0,0,0,0,0.026354997244319,0,-0.0812121391939616,0,0,0,0,0,0,0,0,-0.0768792617345944,0,-0.266435368117598,0,0,0,0.0560039313639219,-0.0121182720584773,0,-0.108521313702767,0,0,-0.0282926812413624,0,0,0,0,0,-0.0790697709000698,0,-0.0182008566884289,0,0,0,0,0,0,-0.0247912831011082,0,0,0,-0.00973711325336353,0,-0.023593104544192,0.0223483418798374,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0.0362943970417883,0,0,0,0,0.0687659725718548,0,0,0,0,0,0,0,0,0.0128782373942422,-0.044443365295182,0,0,0,-0.0125324547596806,0,0,0,0,0,0,-0.0703987536182829,0,0,0,0,-0.039962868774112,0,0,0,0,0,0,-0.00411863617461831,0.0318824348124198,0,0,0,0,0,0,-0.00447179411481834,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0.000738907567124409,0,0,0,0,0,0,0,0,-0.00137334008852318,0,0.00102025003011405,0,0,0,-0.00296716163123301,-5.42101086242752e-20,0,0,0,0,0,1.58444581331064e-05,0,0,0,0,0,0,0,0,0.00138519768276466,0,0,0,0,0,0,0,0,0,0,8.30632964702533e-05,-0.00225700656463814,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0137332212018516,0,0,-0.0739016355731541,0,0,0,0,0,0.0296038518831603,0,0,0,0,0,0.0284994239427126,0,0,0,0.0135426473189733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257170283265514,-0.0305870880709204,0,0,0.039920026049057,0,0.047500621787452,0,0,0.0446432258710801,0,-0.0691654115525726,0.0716785638114935,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,-0.0113739756239674,0.00656804746063851,0,-0.0108458155451685,0,0.00710165618810373,0,0,-0.00155735659546327,0,0,0,0,-0.00608458269052954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00804171280669117,0,0,0,0,0.00411006295764992,0,0,-0.0150987815589816,0.0228777192666118,0,0,0,0.0713437930097773,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,-0.0261371892765021,0,0,0,-0.0442033545783566,0,0,0,0,0,0,0,0.0478043120055597,0,0,0,0,0.0580251901426149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254442452962701,0.0191807549074863,0,0,0,0,0,0
