,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X601877.SH,X600183.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300124.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X300136.SZ,X002179.SZ,X002463.SZ,X002456.SZ,X002008.SZ,X600271.SH,X000977.SZ,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X002506.SZ,X002129.SZ,X600498.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,-0.265833807224976,0,0.601027402573902,0,0,0,0,0,0,0,0,-0.0315614538135929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829308697377099,0,0,0,0,0,-0.00898950537172916,0,0.0493884938948674,0,0,0,0,0.131628439024833,0.0963776630458722,0,0,0,0,0,0,0,0,0.0311744866853454,-0.108233312967492,0,0,0,-0.128479772922207,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0273185771105403,0,0,0,0,0,0,0.0886635035586679,0,0,0,0,0,0.0422635115595551,0.0689129130868733,0,0,0,0,0,0,0,0,0.14269821236141,0.0147810407117353,-0.0337264043923852,0,-0.0380816046403112,0,0,0,0,0,0.0185609619858398,0,0,0,0.243050916604573,0,0,0,0,0.00281746393187593,0,0.0296282714720436,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,-0.0696976697259635,0,0,0,0,0,0,0,0,0,0,-0.118413333358942,0,0,0,0,0,0.217158464064783,0,0,0,0,0,0,0,0,0,0.0724213243422547,0,0,0,0.174692163050732,0,0,0,0,0,0,0,0,0,0.126540458879441,0,0,0,-0.0135183478175169,-0.00175161001370761,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0.124844959765168,0,0,0,0,0,0,0.414650686402377,0,-0.0665882304301662,0,0,0,0.110115936320416,0,0,0,0,0,0,0,0,0,0,0,0.267747881654947,0.227485173568918,0,0,0,0.258987333145722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131642977689286,0.0339770642774743,0,0,0,0,0,0
X300142.SZ,0,0,0.0432176812870257,0,0,0,0.20740526401523,0,0,0,0,0,0,0,0,0,-0.0595864722191031,0,-0.0118841930055722,0.0422821339710788,0,0,0,0,0,0,0,0,0.0793224588685716,0,0.0766751141436702,0.114541987960346,-0.048818626174067,0.0979646363966838,0,0,0,0,-6.93889390390723e-18,0,-4.33680868994202e-19,0,0.040034933260698,0,0,0,0,0.068246868937386,0,0,-0.0126164348474227,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624492287551606,-0.0487435655971702,0.135779929092943,0,0,0,0,0,0.0867127979404512,0,0,0,0,0,0.255671196092526,0,0,0,0,0,0,0,0,0.0505230366746559,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0144272856115423,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189135724409883,0,0,0,0,0.230057697162947,0,-0.0880036995724866,0.67853260655328,0,0,0,-0.0580975994326571,0,0,0,-0.170267929530184,0,0,0.288170798222816,0,0,0,0,0.0662606682429433,0,0,0,0,-0.271361285685582,0,-0.453449830746024,0,0,0,0.076401370803968,-1.38777878078145e-17,0,0,0,-0.265938473463593,0,0
X002371.SZ,0,0,0.221117107961088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315209482248301,0,0,0.227202437218787,0,0.0409326498090202,-0.0347416464390962,0,0,0.0901180014830151,0.40043534000052,0,0,0,0,0,0,0,0.1109722942968,-0.130220091979441,0.0737315839146629,0,0,0,0,0,0,0,0,0,0,0,0,-0.098328189076649,-0.0330732803913188,0,0,0,-0.0839139998703398,0,0
X000625.SZ,0,0,0,0,0,0,-0.121458890658969,0,0,0,-0.0506478536545307,0,0,0.0864984266929095,0,0,0,0.137195757419082,0,0,-0.00867871100533411,0,0,0,0,0,0,0,0,0,0,0,-0.078952121072093,0,0,0,0.18255541886544,0.094476507637156,0,0,0.148881067965267,-0.0317058437199751,0,0,0.266682368654485,0,0.116753966921353,-0.0520733584876829,0,0,0,0,-0.0531767803124752,0,0,0,0,0,0
X300136.SZ,0,0,0,0.0381923813812202,0,0,0.0433070176448386,0,0,0,0,0,0,0,0,0,0,0,0,0.275714993640811,0,-0.339744947311024,0,0.0580952618366676,0,0,-0.255730350220727,0,0.115381410792971,0.109584055947543,0,0,0,0,0,0,0,0.279594156367507,0,0,0.107859000133719,0,0,0,0,0,0,0.208155663145789,0,0,0,0,0.0763676097175578,0,0,0,0,0,0
