,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300142.SZ,X000596.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X600183.SH,X000800.SZ,X600584.SH,X601877.SH,X002236.SZ,X002414.SZ,X000977.SZ,X000625.SZ,X300136.SZ,X002456.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002463.SZ,X002008.SZ,X600118.SH,X002180.SZ,X601799.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0.148470841665788,0,0,0,0,0,0,0.0730485484414578,0,0,0,0,0,0.392118826072379,0,0,0,0,0.109963487181437,0,0,0,0,0,0,0,0,0,0,0,0,-0.0884109141429554,0,0,0,0.119203484002364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137621962842975,-0.0153604084497556,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0.45831920651171,0,0,0,0,0,0,0,0,0,-0.0796550084864078,0.313952605920511,0,0,0,0,0,0,0,0,0,0,0,0,0.117995851841961,0,0,0,0,0,0,0,0,0,-0.0239760773434848,0.059468080856225,0,0,0,0,0,0.181980786461633,0,0,-0.0195985905755378,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138429775546364,0.124136721775338,0,0,0.0696709633908037,0,0,0.30713060515745,0.0579354948683683,0,0,0,0.24299400336294,0,0,0,0.111572900729686,0,0,0,0,0,0.0848678362661663,0,0,0,0,0,0,-0.00850994131204916,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.606061804939256,0,0,0,0,0,0,0.163284378855097,0,0,0,0.126254732853888,0,0,0,-0.0169306414181682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015345591190839,0.0130258510928553,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0.0457188729159154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979645994888717,0,0,0.167381011930522,0,0,0,0,0,0,0,0.299493172181193,0,0,0,0,0.0714721470779946,0.299823184759313,0.0862975259215975,0,0,0,0,0,0,0,0.155261782237004,0,-0.139648562421702,-0.00208341047494512,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.133952150740094,0,0,0,0,0.0855770402111219,0.00660046967184229,0,0.155420564191191,-0.0966303558877962,0,0,0,0,0,0,0.0824019652277055,-0.0885806908664239,0,0,0,0,0,0,0,0,0,0,0.0195718939413526,0,0,0.176667636998015,0,0,0.0289932646717151,0,0,0,0.0543412828653014,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0.178407286867157,0,0,0,0,0,0,0,0,0,0.0387132697381239,0.061331886928268,0.106317414247318,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316365617193899,0,0,0.0485521414900679,0,0,0,0,0,0,0,0,0.150766699217379,0,0,0,0.0596665506650937,0,-0.0234655585911651,0.0120985561056476,0,0,0,0,0,0
X002049.SZ,0,0,0.128399793497858,0,0,0,0,0,0.188632882907238,0,0,-0.108167375684359,0,0,0,0,0,0,0.083550388534072,0,0,0,0.101409546185101,0,0,0,0,0,0,0,0,0.424000076074208,0,0.273151331008389,0,0,0.0609467576544785,0,0,0,0,0,0,0,0,0,0.154932185856176,0,0,0.0827427371008204,0,-0.0194667833270431,0.0692409041400485,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0555036197121992,0.00469715620477579,0,0,0.00637357902155879,0,0,-0.0119679744640348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129921437120717,0,0,0,0,0,0,0,0,0,0,0,0,0.19559779363035,0,0,0,0,0,0.133337373991857,0,0,-0.0175761252641817,-0.016124109912492,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.248348903284422,0,0,0.150460856534033,0,0,0,0,0,0,0,0,0,0.023926921490636,0.0817453875101559,0.0564287330301749,0,0,0,0.0476216892994236,0,0.015328108793732,0,0.0280435501281014,0,0,0,0,0,0,0,0,0,0.0918505237002181,0,0,0,0,0,0,0,0,-0.00192200465386734,0.00596697959526032,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0557133841358372,0,0,0,0,0.0893639559173691,0,0,0,0,0,0,0,0.0175055802930415,0,0,2.77555756156289e-17,0,0,0,0,0,0.395575998559728,0,0,0,0,0,0,0,0,0.252330253785571,0,0,0,0,0.285101555877711,0,0,0,0.0241301847438555,0,0,0,0,0,0,0
