,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X600031.SH,X002304.SZ,X600809.SH,X000725.SZ,X000063.SZ,X003816.SZ,X000661.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X000100.SZ,X300124.SZ,X300014.SZ,X002007.SZ,X600741.SH,X300142.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X002236.SZ,X000157.SZ,X601877.SH,X000800.SZ,X300003.SZ,X002414.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X601799.SH,X000977.SZ,X600118.SH,X002456.SZ,X002185.SZ,X002008.SZ,X002294.SZ,X000050.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525766985493077,0,0,0.0398384724427523,0,0.120366864813306,0.0911803101253784,0,0,0,0.312421220515939,0,0.128924746047322,0,0,0,0,0,0,0,0,-0.137318235134217,0,0.268292016519819,0,0,0,0,0,0,0,0,0,0.028331031735408,0,0.065945677383273,0.0746554286132267,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987931687577232,0.0197240349170771,0,0,0,0.0425430731995917,0,0,0.0290097916170683,0,0,-0.0658161086046697,0,0,0,-0.0649654172006317,0,0,0.307364722116933,0.0272240002119721,0,0,0.353633679308779,0,0,0,0,0,0,0,0,-0.0421292425501474,0.189550206833193,0.00541671676705668,0.0251651076678322,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758893257051264,0,0,0.120661094126797,0,0,0,0,0.0702932245116952,0.114859471149642,0,0,0,0,0,0.10050020285842,0,0.0483844981673231,0,0,0,0.411514318426894,0,0,0,0.0074600160061835,0,0,0,0.0553756980773657,0,0,0,0.0433653850897615,0,0,-0.00526355866411218,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967500135359459,0.186603301462979,0,0,0.0823847038211387,0.223757797047627,0,0,0,0,0,0,0,0,0,0.0905469483975633,0,0,0,0.264076130729071,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200980532847777,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.01309002232866,0,0,0,0.195145267480223,0,0,0,0.0842580607294703,0,0,0,0,0.132160825673962,0,0,6.93889390390723e-18,0,0.0607046801161078,0,0,0,0,0,0,0,0.157123142673518,0,0,0,0,0.135572133994752,0.262383301457121,0,0,0,0,0,0,0,0,-0.00653315437815057,0.00625967689737086,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0.143810511606578,0,0,0,0,0,0,0,0,0.0241132308950995,0,0,0,0,0,0.0149140569494383,0.196717344072475,0,0,0.0168722085886034,0,0,0.0264518843812584,0,0,0.0348386003392788,0,0,0,0,0,0,0.113932757698415,0.0216030859351448,0.0907210256052496,0,0,0,0,0,0.0384667508517593,-0.0327136127999149,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0.13034532969734,0,0,0.0701244994266393,0,0,0,0,0,0,-0.0373295243182891,0,0,0,0,0,0,0.0364578390850726,0,0,0,0,0,0.0840408589712366,0,0,0,0,0,0.0314324039676832,-3.46944695195361e-18,0.171955368571435,0,0.00390698207293624,0,0,0,0.0967618894659529,0,0,0,0,0,0,0,0,-0.0187173489488091,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.0428502443332737,0,0,0,0,0.0645520625317901,0,0,0,0.051354428445675,0,0,0,0,0.0304833960615793,0,0,0,0,0,0,0.0812963873895002,0,0.0192946663853222,0,0,0,0,0,0,0.0148380731166462,-0.126108903662369,0,-0.231587632575873,0,0,0,0,0,0,0,0,0,0,0,-0.064296368248924,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0.0262189562349116,-1.02243566026395,0,0,0,0,0,0,0,0,0,0,0.260370486689298,0,0.112239675828147,0,0.183729109714453,0,-0.523071633815889,-0.0596240691888755,0,0,0,0,0,0,0,0,0,0,0.0234060919466438,0,-0.308729220335074,0,0,0,0,0,0,0,0,0,0,0.317109020244131,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.637110551604915,0,0,0,0,0,0,-0.898358583422172,0,0,-1.8868535652291,0,-0.698394760145675,0,0,0,0,0,0,0.979241228716279,0,-0.184547679535421,1.05325459838202,0,0,0,-0.108567430720187,0,0.238110818896755,0,0,0,0,0,0,0,0.822971604018451,0,-0.824383465069343,0,0,0,0,0,-0.208225746854265,0,0,0,0,-0.602713805094611,0,0
RealEstate_excess,0,0,0,0,-0.0144043301552435,0,0,0,0,0,0.0107938050638442,0,0,0,0,-0.0745160372078855,-0.056607127573769,0,0,0.0646704404160298,-0.0679132730754572,0,0,0.0839185497382975,0,0,0,0,0.0738605536806341,-0.0342056183577862,0,0,0,0,0,0,0,0,0,0,0,-0.0526782050328789,0,-0.0797322284804499,0,0,0,0,0,0,0,0,0.00496066236031139,0,0,0,0,0,0
MKreturn,0,0,0,0,-0.0180758329168863,0,0,0,0,0,0,0,0,0,0,0,-0.135327449592607,0,0,0,0,0,0.0422652150889365,0,0,-0.0570361124541613,0,0,0.0634419784227017,0,0,0,-0.0333120761428933,0,0,0,0.208662210553925,0,0,0,-0.229171174421737,0,0,0.0343888097729484,0,0,0,0,0,0,0,0.023847586172288,0.00890063452488125,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,-0.00127877755489737,0,0,-0.0046880448672351,0,0,0,0,0,0,0,0,0,0,0,-0.00294552317024542,0,0,0,0,0,-0.00235692610803159,-0.00290047692567953,0,-0.000746889070111518,0,0,0,0,0,0,0,0,0,0,0.0119688722162461,0,0,0,0,0,0,0,0.0052038568534613,-0.0179084739651362,0.00674876194533919,0,0,0,-0.004554202647836,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.0305619630729086,0,0,0,0,0,0,0,0,0.0191203242152587,0,0,0,0,0,0.0421753288973451,0,0,0,0,0,0.0421241914322856,0,0.0286275041299899,0.0793874455476463,0,0,0,-0.0245452859507829,0,0,0,0,0,0,0,-0.0546065713108421,0.0517876721448415,0,0,-0.139495663149326,0,0,0,0.0768013116720142,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446427074428013,0,0.00573976419207153,0,0,0.00750731205158923,0,0,-0.0136683466611213,0,0,0,0,0,0,-0.00154071600489511,-0.00489152555973872,0,0.0124693908683809,0,0,0,0,0,0,0,-0.000769252207105162,0,0,0,0,0,0,0,0,0,0.0118387620275944,0.0075814529477557,0.00913893994936764,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400318045241042,0,-0.00620005928930276,0.0437873232562021,0,0,-0.0353593067438517,0,0,0,0,0,0,0,-0.013411001596781,0,0.0132476952844711,0,0,0,0,0,0,0,-0.00287804950778428,0,0,0,0,0,0,0,0,0,0,0.0458134070965611,0,0,0,0,0,0,0
