,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X000100.SZ,X600703.SH,X600031.SH,X600271.SH,X000157.SZ,X600118.SH,X002236.SZ,X600066.SH,X000338.SZ,X600372.SH,X000559.SZ,X000016.SZ,X002241.SZ,X600741.SH,X600089.SH,X002475.SZ,X000568.SZ,X000066.SZ,X600177.SH,X002292.SZ,X300124.SZ,X600839.SH,X002294.SZ,X300003.SZ,X002465.SZ,X600312.SH,X002129.SZ,X000869.SZ,X600867.SH,X000800.SZ,X600525.SH,X000581.SZ,X300142.SZ,X000550.SZ,X600498.SH,X002007.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406266038767671,0,0,0,0,0.0130099527937207,0.0256225570391987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531534939402453,0,0,0,0,0,0,0,0,0,0.0364098857137758,0,0,0,0.120754995182453,0.0280860581377117,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668524413020044,0,0.104548822604766,0,0,0,0.0600217224047195,0.160154840613965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200736214736556,0,0,-0.0578354933115963,0.0613133154155767,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146251120880633,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139025523163042,0,0.0475347189554459,0,0,0,0.0164107439298815,0,0,0,0,0,0,0,0,-0.0142941927277738,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0.0101721391645054,0,0.304080612028824,0,0.132189770631225,0,0.124046543781421,0,0.103246832239507,0,0.00343665116005854,0,0.0643375029966104,0,0,0,0,0.0518276236419735,0,0.0194374064853593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286894464445781,0,0,0,0.0553849428523972,0,0,0,0,-0.0224310077033844,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0.0942293223991743,0,0,0.350100381590567,0,0,0,0,0,0,0,0,0,0,0,0,0.0390758500382808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115484414475299,0,0,0,0,0,0,0,0,-0.0260192994952294,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0.181954176295539,0,0,0,-0.0542119101838522,0,0,0,0.382710947649342,0,-0.00722955403517366,0,0,0,0,0.0320062459785311,0,0,0,0,0,0,0,0.070347065345236,0,0,0,0,0,0.0618972187354086,0,0,0,0,0,0,0,0.000946750823763164,0,0,0,0.0193758552078421,-0.000444774472628885,0,0,0,0,0,0
X600312.SH,0,0,0.268244334297102,-0.0500148274434261,0,0,0,0,0,0,0,0,-0.0688912057810272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293080578395148,0,0,0,0.0933488329798073,0,0,0,0,0.0573373151425313,0,0.0655998292434548,0,0,-0.0485707774627007,0.0147260268942748,0,0,0,-0.0469504100690447,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,-0.324893004181706,0,0,0,0,0,0,0.0250904576822202,0,0,0.128789354037637,0,0,0,0,0,0.100832520040701,0,0,0,0,0,0,0,0,0,0,0,0.0745015719313842,0,0,0,0,0,0,0,0.453056117689315,0,0,0,0,0.0942584951268554,0,0,0,0.0142535650654661,-0.0102941013337289,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0,0.0933843495619943,0,0.137889955362286,0,0.12870821346307,0,0,0,0.0313779165625838,0,0.0322152854447644,0,0,0,0,0,0,0.0494362922898598,0.231629544497046,0,0,0,0,0,0.0620533351305823,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0256129058553479,0,0,0,0,0,0
X600867.SH,0,0,0,0,0.058307099628454,0,0,0.0555352990227284,0,0,0,0,0.141637255162378,0,0,0,0,0.161556500894464,0,0,-0.0222341573144152,0,0,0,0,0,0,0,0,0,0,0,0.041943068420827,0,0,0,0,0,0,0,0.0836387850601295,0,0.18735694685119,0,0,0,0,0,0,-0.0135430753310231,0,-0.184934571956383,0,0,0,0,0
X000800.SZ,0,0,0,0,0.232513886557788,0,0,0,0,0,0,0,0,0,0,0.173713746377787,0.115380164519478,-0.0746101013562333,0,0,0.199829405474467,0.0479576139023841,0,0,0,0,0,0,0,0,0,0,0.0429143630625872,0,0,0.01856945475824,0,0,0,0,0,0,0,0,0.0271649082808446,0,0,0,0,0.030392974708451,0,0,0,0,0,0,0
X600525.SH,0,-0.136323875112472,0,0,0,0,0.243119266282631,0,0,0,0,0.313231532148382,0,0,0,0,0,0,0,0,0,0,0,-0.101470354701799,0,0,0,0,0,0,0,0.196635770108195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0630514011063108,0.0100252717009962,0,0,0,0,0,0
X000581.SZ,0,0.179934806910718,0,0,0,0,0,0,0.0985616769695142,0,0,0,0.0598334659413951,0,0,0.00606954915885011,0.00689862521284876,0,0,0,0,0.0271351580671951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117156894836445,0,0.0645078262122733,0,0,0.0225734946420428,0,0,0,0,0.236293735445346,0,0,0,0,0,0,0,0,0,0,0
