,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X002456.SZ,X000338.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X300003.SZ,X600177.SH,X600522.SH,X600271.SH,X002008.SZ,X002294.SZ,X000157.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X000596.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0.363690560221467,0,0,0.0994001875156223,0.155691796435968,0,0.0645213878342007,0.0911459005347739,0.00803478466349936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019012732641253,0.0162471874669225,0,0,0.0403467669537106,0,0,0,0,0,0,0,-0.025652084854362,0.0145426822644044,0,0,0,0,0,0
X002236.SZ,0,0,0.46754725535744,0.0959976606408168,0,0,-0.32587352785042,0,0,0,0,0,0,0,0,0.329102827865625,0,0,0.373406483189926,0,0,0,0.0514613340414023,0,0,-0.120949645454436,0,0,0,0,0.0326199020927165,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.00244273645319794,0,0.494935539885037,0,0,-0.0290279160736235,0,0,-0.0382315677095752,0,0,0,0.227424845887101,0,0
X002475.SZ,0,0,0.00681945417759687,0,0,0,0,0,0,0.0583923917572425,0,0,0,0,0.0488374107849265,0,0.195043897732545,0,0,0,0,1.73472347597681e-18,0,0,0,0.302266312597679,0,0,0,0,0.0103765538543726,0,0,0,0,0,0,0,0.135793293150291,0,0,0,0,0,0,0,0,0,0,0.00498237530801718,0.0164633693538166,0,0,0,0,0,0
X002241.SZ,0,-0.187997996012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091031273497914,0,0,0,0.251369802052889,0,0,0,0,0,0,0,0,-0.124617411552553,0,0.190043443201564,0,0,0,0.0616517672191165,0,-0.159279445907384,0,0.0710074054059117,0,0,0,0,0.144717538515494,0.403850091214799,0,0,0.0460674544748616,0,0.00684587516394209,0.0252369883577551,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,-0.136392319482361,0.0199643176027117,0,0,-0.0403312521127626,0.315777701230379,0.073305729440229,0.152850452351941,0,0,0,0,0,0,0,0,0,-0.199603995026271,0.0547378546634311,0,0,0,0,0,0,0,0,0.281950854635666,0,0,0,0,4.33680868994202e-19,0.0946023440050805,0.160652060299462,0,0.0379392520558409,0,0,0,0,0,0.111632049872966,0,0.0236915380142017,-0.0251497324538059,0,0,0,0,0,0
X600066.SH,0,0,0,0.236411264576213,0,0,-0.0527234290379639,0,0,0,0,-0.13601524560725,0.0578007937126052,0,0.222933448485525,-0.364206258272565,0,0,0,0,0,0.116384331705803,0,0,0.00746089701958243,0,0,0,0.0322279237390195,0,0,0,0,0,-0.188419946261057,0,-0.237431869071435,0,0,0.0188170367890712,0,0,0,0,-0.0215379140634102,0,0,0,0,-0.00817645380095233,0.00756513602184812,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0.0165024868536685,0,0,0.0527189221701056,0,0,0,0.305746818460088,0,0,0,0.0763162076954891,0,0,0,0,0,0,0,0,0,0,0,0.271420018892707,0,0,0,0,0,0,0.0306539629679653,0,0,0,0.0844076165277081,0,0,0.230258239019524,0.126210412162547,0,0.177543458845585,0,0.0355709695807708,0,0,0,0,0,0,0
X000338.SZ,0,-0.0640216338782624,0,-0.393191286915756,0,0,0.364772850554983,0,0,0,0,0,0,0,-0.0317233488885614,0,0,0,0,0,0,0,0,0.255853134819391,0.0425131771130297,0.152919198771933,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0902328732066721,0,0,0,0,0,0,0,0,0,0,0,-0.00853956037008287,-0.0171728587610566,0,0,0,0,0,0
X002508.SZ,0,0,0,0.355053431094402,0,0,-0.0396109376301745,0,0,0,0,0.131394720641741,0,0,0,0.22098485271299,0.0342219166606285,0,0.146573271819811,0,0,0,0,0,0,0,0,0,0.026385535597951,-0.0516721313436702,0.276590273635962,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589505899422284,0,0,0,0,0,0.010041054683498,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0387787854071277,0,0,0.0469598094123532,0,0,0.167097454660426,0,0,0,-0.0270266440612848,0,0,0,0.0946311444386588,0,0,0.148159206045577,0,0,0,0.0380770094101779,0,0,0,0,0.0297737338199574,0.026938781456271,0,0,0,0,0,0,0,0,0.00298213606078626,0,0.0329114540143261,-0.0337870361303029,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0.10324021256843,0,0,0,0,0,0,0,0,0,0.0352488217715933,0,-0.0877474344412418,0.42518646564838,0,0,0,0,0.0606697636808703,0,0,0,0.103307015269604,0,0,0,0,0,0,0.0608738888567706,0.178163348625681,0.144480761852121,0,0,0,0,0,0,0,0,0,0,-0.0170988276778076,0.00906252457342873,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208786676877833,-0.169025058120935,0,0,0,0.050833800917664,0.011691842096493,0,0,0.354646407362919,0.0587557312807742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158499726447846,0.0407404891823566,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0.0819348567542458,0.0965011756271371,-0.0548657692834173,0.0158747215999754,0,0,0,0,0.149092395479952,0,0,0,0.0846615578052037,0,0,0,0,0,0,0,0,0,0,0.207331871417245,0,0,0,0,0,0,0.103969475022405,0.141963759856413,0,0,0,0,0,0.177888219434064,0,0.0321537273292792,0,0,-0.0186854669460725,-0.00491619325618113,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.144203101051398,0,0,0,0,0.103046471368872,0,0,0,0.246735486826956,0,0,0,0,0,0,0,0,0,0,0.0621262431081335,-0.169799709223653,0,0,0,0,0,0,0,0,-0.066628012529518,0,0,0,0,0,0,0.0540942721941483,0.048468204781629,0,0,0,0,0,0,0.00701819268062279,0.014768054243454,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0.0579115252140484,0,0,0,0,0,0,0,-0.0218590440406651,-0.00923426789015723,0,0.0505153581773469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237929721437577,0,0,0.114891223473233,0,0,0,0,0,0,0,0.0127722344400757,-0.0661044338598829,0,0,-0.00113893532600296,-0.00621616263063066,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,1.73472347597681e-18,-0.0430672568827455,0,0,0,0,0.111299797747397,0,0,-0.193320879881596,0,0,0,0,0,0,0.394810997665035,0,0,0,0,0,0,0,0,-0.0769015079836648,0,0,0,0,0,0,0,0,0.592063690433499,0.113212665992158,0.247531652377056,0,0,0,0,0,0.197687873060319,0,-0.0405826073385848,0.0294334983318029,0,0,0,0,0,0
X600271.SH,0,0,0.0960528406464242,0,0,-0.0113551511095614,0.264878255418886,0,0,0,0,0,0,0,0,0.0658321711640043,0,0,0,0,0,0,0,0.0382066229607614,0.127635363176642,0,0,0,0,0,0,0,0,0,0,0,0.261609956036273,0,0,0,0,0,0.180259821142286,0,-0.139853651070385,0,-0.0695774503709818,0,0,-0.0173306155286661,0.0154838310952825,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885022697687654,0,0.236719605437049,0,0,0,-0.119708048564407,0,0,0,0.148121753432018,0.32942035534795,0,-0.146447496500034,0,0,0,-0.381978821040579,0,0,0,0,0.0778795610422056,0,0,0,0,0,0,-0.128099961866146,0.159095990571241,0,0,0,0,0.00460549184581537,-0.0538065715806909,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.184577798845036,0,0,0.0890141660853409,-0.0511175019690857,0,0,0,0,0,0,0,0,0,0,-0.0371722119079912,0,0,0,0.050260883749266,0,0,0,0,0,-0.0802161689355519,0,0,0,0.0565293417178082,0,0,0.0430886778094233,0.119153917610462,0,0,0,-0.0826130930957505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
