,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X002304.SZ,X600031.SH,X600690.SH,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X300142.SZ,X003816.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000100.SZ,X002179.SZ,X000596.SZ,X000157.SZ,X600460.SH,X002074.SZ,X000799.SZ,X002414.SZ,X600702.SH,X002007.SZ,X600741.SH,X600584.SH,X600183.SH,X002236.SZ,X601799.SH,X600089.SH,X600779.SH,X300146.SZ,X000800.SZ,X000066.SZ,X000977.SZ,X300003.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.107165703513157,0,0.241923735409332,0,0,0.125794118626717,0,0.0479044417798204,-0.0275678002251501,0,0,0,0,0,0.011507101750283,0.117015098417537,0,0,0,0,0,0.125383807834795,0,0,0.0117133183317609,0,0,0,0,0,0,0.195219528624981,0.134294268220744,0,0,0,0,0,0.0368176370370226,0,0.0115520927738149,0,0,0,0,0,0,0
X002241.SZ,0,0,-0.0437745410691213,0.181662690713964,0,0.399877824517874,0,0,0,0,-0.181405381816424,-0.00833344056304083,0,0.0864852606254179,0,0,0,0,-0.103881168309336,0,0,0,-0.0452906977885152,0,0,0,0,0,0,-0.254368559599384,0,0,0,0.0594247825550404,0,0,0,0,0,0,0,0,0,0,0,0,0.096974620167359,0.222531979347029,0,0,0,0,-0.143796544656729,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0.0179178635825695,0,0,0,0,0,0.181912948778548,0,0,0,0,0,0,0.0350812164955499,0,0,0,0,0,0,0,0,0,0,0,0,0.0684904933137841,0,0,0,0,0.422477861237398,0,0,0,0,0.237784731020052,0,-0.0261035032552343,0,0,0.187092051733614,0,0.146236990038409,0,0,0.0627156902500568,-0.000170395412201886,0,0,0,0,0,0
X003816.SZ,0,0,0,0.0233868551277732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00592886226252178,0,0,-0.0431663659252287,0,0,0,0,0,0,0,0,0,-0.0359835218087769,-0.0359038499739399,0.0117372124796321,0,-0.0311847396716697,0,0,0,0,0.0262126491608248,0,0,0,0,0,0.0124941118553242,0,0,0,0,0.0158852358815874,0.000214719707536099,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.0226819527990072,0,0.126365369332821,0,0,0,0,-0.0943307985333547,0.0300531578800494,0,0,0,0,0.110589728219752,0,0.273734870521504,0.101648410938265,0,0,0,0,0,0,0,0,0,0,0,0.0810791029077448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383474868110163,0,-0.0276820912697329,0,0,0,0,0,0,0
X000661.SZ,0,0.0338386728055611,0,0,0,0,0,0,0,0,0,0,0,0.134346374299111,0,0,0,0,0.140876463789169,0,0.188147641062273,0,0.10602348945342,0,-0.156356503593186,0,0,0,0,0,0,-0.0628893644522994,0,0.204131349463523,0,1.0842021724855e-19,0,0,0,0,0.196150306699334,0,0,-0.276386664992471,0,0,0,0,0.294343452270199,0.0940413748119004,0,0.153129533324919,-0.186206320456016,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.0622983921043534,0,0,0.140710621747566,0,0,0,0,0,0,0,-0.0331560368664101,0.0684120922174319,0,0,0,0,0,0,0,0.0552984510550852,0,0,0,0.0389183602283765,0,0.122196567621264,0,-0.0721330935275251,0.140397272362701,0,0,0,0,0,0,0,0,0.0142222964720065,0,0,0.099704293378574,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0379255148212891,0,0,0,0.1063393348615,0,0,0,0.033392981519405,0.608987251699717,0,-0.0712564398570989,0,0,0.00728826678284111,0,0,0.0450897427322974,0,0.0250159776434249,0,-0.0166924796419457,0,0,0,0,0,0,0,-0.0165184151516378,0,0,0,0,0,0,0,0.0403173424914458,0,0,0,0.0847394786225794,0,0,0.0567917066154413,0,-0.0153698801628777,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,-0.0541789456500726,0,0,0,0,0,0,0,0,0,0,0,0.107433415102165,0,0,0,0,0,0.160408376449787,0,0,0,0.0331045333443764,0.0291805318520362,0,0,0,0,0,0,0.0619115516284235,0,0,0,0.0295577002354748,0,0,0,0,-0.00498033554796488,0,0,0,0.118204544728249,0,0.136977060722182,0,-0.0548705602914696,-0.0935021449949812,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.377824824055721,0.137851105801324,-0.0912521682885515,0,0,0,0,0,0,0,0,0,0.0159939688753694,0,0,0,0,0.143397315581301,0.0400424813258941,0,0,0,0,0,0,0,0.242223927514416,0.0302861407618555,0.116513357192153,0,0,0.037155561795509,0,0,0,0,0.0427296705525029,0,-0.0616435250943596,0,-0.03193970591298,0,0,0,0.0582004455147775,0,0,0,0,0,0,0
