,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X600809.SH,X600487.SH,X000596.SZ,X000661.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600566.SH,X000050.SZ,X600089.SH,X600066.SH,X600522.SH,X002180.SZ,X600867.SH,X002129.SZ,X002506.SZ,X600372.SH,X002241.SZ,X000977.SZ,X600776.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,0,0,0,0,0.126170674123507,0,0,0,0,0,0,0,0,0,0,0.0373507118315896,0,0.107195897765958,0.0380664881054074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159203069385878,0,0,0,0,0,0.0111262649734061,0,0,0.000106988153422238,0,0,0,0,0,0.00645791553412084,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0582104954900308,0,0,0,0,0.277507691184747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153190400692834,0,0,0.04708098795927,0.0101194561953592,0,0,0,0,0,0,0,0,0,0,-0.119627218031826,0,0,0.00435697734580018,-0.0314899730305814,0.0539582012944452,0.355318026550103,0,0,0,0
X002179.SZ,0,0,0.12742228881507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174766406915924,0.02634838247441,0.212955644583316,0.12565442986277,0,0,0,0,0,0,0,0,0,0,0,0.0027302032578186,0,0,0,0,0,0,0,0,0,0,0.0499851572167193,0,0,0,0.0902788670099319,0,0,0,0,0.0963112553416892,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0.0538772015938908,0.0426442461561603,0,0.0814473325932101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557150359736987,0,0,0,0,0,0,0.0766424261371862,0,0.212395051264696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391283804309559,0.0487698284903277,0,0.00959711547245402,0,0,0,0,0.0380858240429755,-0.0221738339332076,0
X300146.SZ,0,0,-0.177423796502926,0,0,0,0,0,0,0,0,0,0.560653784895483,0.272400599894329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833289541354631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193829247147388,0,0.0394780518660135,0,0,0,0,0.050095212805115,0,0,-0.00679054209858967,0.00917870050395704,0,0,0,0,0,0
X600566.SH,0,0.122114439034386,0,0,0,0,0,0.197249285119175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264950776358116,0,0,0,0,0.181879563900345,0,0,0.386754581526331,-0.0519067041475785,0,-0.163126597771122,0,0,0,0,0,0,0,0,0,0.201594997050338,-6.93889390390723e-18,0,0,0,0,-0.170600111668532,-0.151705103487067,0,0,-0.00203107274630264,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0.357404869046129,0,0,0,0,0,0,0,0,0,0.0342134249762933,0,0,0.157221066326519,-0.00535178587087184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876641140304153,0,0,0,0,0,0.0366460473583063,0.270660235838473,0.0266714373799962,0,0,0,0,0.0593565965020309,0,0,0.0133920247585737,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313025955894428,0,0.117102509424516,0.0251318952863866,0,0,0.0443404072284217,0,0,0,0,0,0,0,0,0,0,0.00525549046462509,0,0,0,0.10599126110814,0,0,0,0,0,0.0774417653366028,0,0,0,0,0.0159757879907151,-8.67361737988404e-19,0,-0.0153077800387251,0.00683000117801773,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0.0370190201671913,0,0,0,0,0,0,0,0,0,0.100806708335487,0.0951526793066724,0.168307959732673,0,0.0334980049813672,0,0,0,0,0,0,0,0.0154900233673163,0.0253391573091837,0,0.0501991600244638,0,0,0,0,0.0264624388582171,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0112182143398477,0.0697050858440692,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0.0913046745264241,0,0,0,0.18909331232667,0,0,0,0,0,0.0157490115997501,0,0,0,0,0,0,0,0,0,0.078639293758231,0,0,0.094506737041343,0,0,0,0.00634082179939275,0,0,0,0,0,0,0,0,0,0.0812188672948174,0,0,0,0,0,0,0,0,-0.0232411852651393,-0.0279089049956255,0,0,0,0,0,0
