,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X000977.SZ,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X600522.SH,X000066.SZ,X600741.SH,X002236.SZ,X600839.SH,X600183.SH,X601877.SH,X600066.SH,X002456.SZ,X600460.SH,X002156.SZ,X000661.SZ,X002074.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544449383880044,0,0,0,0.0472199531844235,0,0,-0.111211944483847,0,0,0,0,0.205548274531848,0,0,0,0,0.332268495925575,0.184913463006081,-0.0775752235288118,-0.102861533270849,0,0.0159000128490678,0.427447572917861,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.10516901069117,0,0
X600089.SH,0,0,0,0,0,0.206430166165591,0,0,0,0,0,0,0,0,0,0,0.0346599471455944,0.199875027592114,0,0,0.159572249558446,0,0,0,0,0,0,0,0,0,0.0707221691255387,0,0,0,0.0972445066722693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154321975603954,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,-0.0542440856294893,0.112044984856619,0,0,0,0,0,0,0,0,0,0,0,0,0.145423984444781,0.171216174567285,0,0,0,0,0,0,0,-0.165089914737714,0.192966837534151,0,0.12739015263991,0,0,0,0,0,0,0,0,0.0336131845021623,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.0936221545524359,0,0,0,0,0.104931200371113,0.175257044783118,0,0,0,0,0,0,0,0,0.120797851570308,0,0.0771641316000695,0,0,0,0,0,0,0,0.090784767721251,0,0.0164975501790581,0,0,0,0,0,0,0.0507038464772528,0.0639084731508208,0,0,0,0,0,0.194764008549634,0,-0.0224734387794184,0,0.11780839161169,0,0,0.0522130288171851,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207751624522678,0,0,0.0595632327191686,0,0.0957687029364359,0,0.0968147981708268,0.0527282123151061,0,0,0,0,0.212989045230034,0,0.0122714066958549,0,0,0,0,0,0,0,0,0,0,0,0,0.0123373283975156,0,0,0,0.0800367445525315,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673331499333135,0,0.106154266676726,0.0179155417756927,0.405857743500961,0,0,0.0824890638832098,0,0.0543913210469355,0,0,0,0,0,0.01476176577172,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0177957720107121,0,0,0,0,0,0,0,0,0,0,0,-0.0610159545428829,0,0
X600372.SH,0,0,0,0,0.0344975690234993,0,0.0525242672509032,0,0,0,0,0,0,0,0.0361582882250574,0,0,0,0,0,0.280028471308239,0,0,0.146486493421149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543888276727147,0,0,0,0,-0.0785466739843178,0.0234962228019804,0,0,0,0,0,0,-0.143749759474155,0.200669613530331,0,0,0,0.0735527367875792,0,0
X002028.SZ,0,0.150687017562755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549659699511985,0,0,0,-0.121113579842617,0,0,0,0,0,-0.0034344487071392,0,0,0,0,0,0.0441093645225681,0,-0.0234161601893652,0,0,0,0,0,0.0435236266963694,0,0,0.00344535891709046,0,0,0,0.141558293277401,0,0,0,0,0.153490957649688,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.0929250666841419,0,0,0,0,0.310831531673436,0.00589992435093545,0,0,0,0,0,0,0,0,0,-0.077314536107501,0,0,0.0110140667864823,0.208824646793736,0.286602433996222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238516993117499,0,0,0,0,0,-0.107746066597615,0,0,0.0731537232564011,0,0,0,0
X600522.SH,0,0,0.0509748869378673,0,0,0,0,0,0,0.00902395212274757,0,0,0,0.178272584108654,0,0,0,0,0,0,0.132632963168015,0,0,0,0,0.105874166685269,0.215233356194566,0,0,0,0,0,0,0,0,0,0,0,-0.00575494558192965,0,0,0,0,0.0315414865717654,0,0,0,0,0,-0.0627803423375102,0,0,-0.0510500166812002,-0.127865792274272,0,0,0,0,0
X000066.SZ,-0.122176326276048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291669738328542,0,-0.208657719200426,0,0,0,0,0.6265693667438,0,0,0,-0.146310749000952,0,0,0,0,0,0,-0.0534808783106901,0,0,0,0,0.00434802071768938,0.0323991976825915,0.338989119711762,0,0,0,-0.0401646361882064,0.18130976540053,0,0,0,0,0,0,0,0,0.0412392851557902,0,0,0.291185228037073,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0.0296772037735692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392563219029636,0,-0.0807458025409576,0,0,0.11645886052062,0,0,0,0,0,0,0,0,0,-0.110697343811848,0,0,0,0,0,-0.0219651077951004,0.21974627445084,0,0.58117356325524,0.032428213102761,0,0,0,0,0,0,0,0.0451305653620903,0,0
X002236.SZ,0,0,0,0,0,0.111903800698413,0,0,0,0,0,0,0,0.122409468220232,0.159935664114025,0,0,0.00257231155848732,0,0,0.109477814205543,0,0,0,0.149188100011802,0,0,0,0,0,0.101032551877035,0,0,0,0,0.0268662093280865,0,0,0.0569248319556472,0,0,0,0,0,0.0284539011551306,0,0,0,0,0,0,0,0,0,0,0,0.0186034483040277,0,0
X600839.SH,0,0,0,0,0.0752902142019118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421343576188359,0,0,0,-0.024968979422869,0,0.0724682721315319,0,0,0.481668639154614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321589927321573,0,0,0,0,0,0,0,0,0,-0.175108775560453,0,0,0,0.0352023692077795,0,0
X600183.SH,0,0,0,0,0.068583206391868,0,0,0,0,0,0,0.0258081919512409,0,0.0415816187584093,0.0679483964834937,0,0,0,0,0,0.179492635449165,0,0,0,0.0782045910916005,0.123844578027012,0,0,0.0286884643101294,0,0.109954191167539,0,0,0,0,0.0171172124907947,0,0,0.0851119688310687,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0233500479229583,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0.0827176151799478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415365217252929,0,0,0,0.27455047026474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341528944730795,-0.00804587085203447,0,0,0,0,0,0,0,0,0.0162949075958167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0.132387808216946,0,0.139728344944031,0,0,0,0,0,0.349318537209266,0,0,0,0,0,0.221063223202334,0,0,0,0,-0.145896111096253,0,0,0,0.0327312100710823,0,0,0,0,0,0,0,0,0,-0.049104407061973,0,0,0,0,0,0.1204487798221,0,0,0,-0.0778859260158516,0,0,0,0.015633317881948,0,0
X002456.SZ,0,0,0,0,0,0.244729561927107,0,0,0,-0.0302973195467678,0,0,0,0.479598891952518,0,0,0.139895627638085,0.0160375777956038,0,0,0,0,0,0.384965024394212,0.0528885863960886,0,0,0,0,0,0,0,0,0,0,-0.12664710532709,0,0,0,0,0,0,0,0,0.00645560055443998,0,0,0,0,0,0,0,-0.0729430873020637,0,0,0,0.134262301278716,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0975812151427984,0,0,0,0,0,0,0,0.151236915868135,0,0,0.209979965474607,0,0,0,0,0.116127813776919,0,0,0,0,0.338285982525835,0,-0.0500889497516073,0,0,0,0,0,0,0.173319428362289,0,0,0,0,0,0,0.0636270802455617,0,0,0,0,0,0,0.0225673165214521,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0.266012254173563,-0.208511233937123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743426685410769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490508881589245,0.273445171882934,0,0.144667865521497,0,0,0,0.315443822134054,0,0,0,0,0,0,0.106327583406867,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412132095127774,0,0,0,0,0,0.118691374332296,0,0,0,0.0594524179107029,0,0,0,0,0,0,0,0,0,0.113289523486179,0,-0.0121203088413673,0,0,0,0,0,-0.00664933257213661,0,-4.33680868994202e-19,0,0,0,0,0,0.085257787721707,0,-0.129267102574318,0,0,0,0,-0.0195635899826129,0,0
