,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X300136.SZ,X601877.SH,X600809.SH,X002008.SZ,X300003.SZ,X002085.SZ,X600487.SH,X600271.SH,X600089.SH,X002508.SZ,X600177.SH,X600522.SH,X000157.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600867.SH,X300115.SZ,X600699.SH,X000559.SZ,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,0,0,0,-0.171497452412214,0,0,0,0,0,0,0,0,-0.0554225002707021,0,0,0,0,0,0.0670577524921034,0,0,0.0530022624481246,0,0,0,0.10640426476594,0,0,0,0,0,0,-0.0172384457152301,0,0,0,0.0415843920613993,0,0,0.256394490846572,-0.11846289905791,0,0,0,0.229377589387298,0,0.190749876933862,0,0,0,0,-0.0156290090505224,0.0567480772402054,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0.0681019414729065,0,0,0,0,0.00919633825583668,0,0,0,0,-0.0998572143939902,0.0061763627231689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354613147417107,0,0.118637472978204,0,0,0,0,0,0,0,0.0827876620117088,0,0,0.286021901219148,0.0474761232417468,0.00993879715357763,0,-0.0151042992932154,0.0306055082373966,0,0,0,0,0,0
X002508.SZ,0,0,0.240216819280894,0.327685939366208,0,0,0,0,0,0.163995137423504,0,0,0,0,0.0675187459626858,0,0,0,0,0,-0.118429387552033,0,0,0,0,-0.0148648344159795,-0.205300316466455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761451628147187,-0.0195472619359344,0,0,0,0,0,0
X600177.SH,0,0,0,0.0575559012156683,0,0,0.0911027812539051,0,0,0,0,0.114580408293088,0,0,0.022197708928144,0,0,0,0.066411485335906,0,0,0,0,0,0.0169622426735064,0,0,0,0,0,0,-0.0974926624557415,0,0,0,0,0.203011034765115,0,0,0,0,0,0.0819073456625488,0,0.00815523677481503,0,0,0,0,0,0,0,-0.0108169087386122,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0.12678074788537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673670875429005,0.00132864646838571,0.0777054073222974,0,0.264183332198409,0,0.139817867986565,0,0,0,0,0.0772763822837587,0.0114051009838279,0,0,0,0,0,0,0.0784411335178481,0,0,0,0,0.00232619255113149,0,-0.00541394753964633,0.0157887124570143,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.0216937627914565,0,0,0,0,0,0.0393965829479569,0,0,0,0,0.254715688380434,0,0.0843314908645235,0,0,0,0,0,0,0.0490053620098412,0,0,0,0.0317219158083347,0.0624717556768716,0,0,0,0,0.0711957499960562,0,0,0,0,0,0,0,0,0,0.00661598884754771,0.0503288915229886,0,0,0,0.00360320090491195,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0.243766880164871,-6.93889390390723e-18,0,0,0,0,0,0.0882289308771387,0.105584774849426,0,-3.46944695195361e-18,0.0948735158175525,0,0,0,0,0,0,0,0,0,0.036259659595907,0,0,0.0187286735300863,0,0,0,0,0,0,0,0,0,0.603482719768125,0,0,0,0,0,0,0,0.112399467681349,0,-0.0378858864646464,0.06666362389664,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,-0.000521466982247862,0,0.0227463725362637,0,0,0,0,0,0,0,0,0,0,0,-0.0190404037398618,0,0.0486029045105729,0,0,0.255411334893512,0.121257571402609,0,0,0,0,0.0848819494648359,0,0,0,0,0,0,0,0.232730217718626,0,0.0444113418155559,0,0,0,0,-0.00766088594624627,0.0494383200280789,0,0,0,0,0,0
X002294.SZ,0,0,-0.189372487555368,0,0,0,0,0,0.0827769328890774,0,0,0,0.146820022148873,0,0,0,-0.0686215490368208,0,0.0909106317852725,0,0,0,0,0,0,0,0,0,-0.0074418882735254,0.223556827914113,0,0,0,0,0,0,0,0,0,0,0.192668873138702,0,0,0,0,0,0,0,0,-0.150697928703456,0,-0.0286338787384846,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,-0.0967138655124747,0.0693026386687622,0,0,0,0,0,0,0.0157315673324524,-0.0489393382737575,-0.117623897460259,0,0,0.0706780477753101,0,0,0,0.00312767020414775,0,0,0.265450951271695,-0.038839867761044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709494435591901,0,0,0,0,0,0.00917450957469107,0,0,0,0,0,0
X300115.SZ,0,0,0,0,0,0.065274718108343,-0.408447395716339,0,0,0,0,0,0,0,0.238670204721333,0,-0.0236571239714665,0,0,0,0,0,0,0,0,0,0,0,0,0.0643311535674335,0,0,0,0,0,0,0.0823131719373947,0,0.142704256343843,0,0,0.231863260512675,0,0,0,0,0,0,0,0,0,-0.0148993249627853,0.0103625539935158,0.0253667487423321,0,0,0,0,0
