,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000625.SZ,X601877.SH,X002008.SZ,X002456.SZ,X600066.SH,X300124.SZ,X002508.SZ,X600809.SH,X000100.SZ,X300003.SZ,X600487.SH,X002241.SZ,X002294.SZ,X600271.SH,X600867.SH,X600522.SH,X300136.SZ,X600089.SH,X000157.SZ,X600177.SH,X000981.SZ,X600566.SH,X000596.SZ,X000050.SZ,X002085.SZ,X600707.SH,X002180.SZ,X000661.SZ,X600498.SH,X002179.SZ,X600699.SH,X300142.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0.0381087319570267,0,0,0,0,-0.257450527297765,0.17989006456197,0.255302872548022,0,0.212366851337605,0,0,0,-0.155435097033189,0,0,0,0,-0.111591589266484,0,0,0,0,0,0,0,0,0,0.350940998707461,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.134191521212107,0,0,0,0,0,0,0,0.0250938402467736,-0.0150721660048338,0,0,0,0,0,0
X002236.SZ,0,0,0.0759364482133484,0,0,0.0113348027095515,0,0.102328161398681,0.0547182004009952,0,0,0.174523598777143,0,0,0,0.129298980300186,0,0,0,0.121107069497043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240906906750947,0,0,0.0424968967065725,0.111293177464317,0,0,0,0,0,0,0.026678348979319,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.16252392532781,0,0,0,0,0,0.121280510765919,0.0683657928628466,0.12245187110999,0.0554529626092432,0,0.169436971518101,0,0,0,0.0898217269554368,0,0,0,0,-0.0456035468670708,0,0,0,0,0,0,6.93889390390723e-18,0.121825838159857,0,0,0,-0.323872141019885,0,0,0,0.13679385131055,0,0,-0.00331256860177443,0.00466084658107206,0,0,0,0,0,0
X002475.SZ,0,0,0,-0.133709811536326,0,0,0.0861867058285801,0,0,0,0,0.0886399856194202,-0.0418871447158417,0,0,0,0,0,0,0,0.360847895489682,0,0,0,0,0.0866220859105997,0,0,0,0,0,0,0,0.0978327827069103,0,0,0,0,0,0,0,0,0,0.184609021367545,0.155284159342678,0,0,0,0.0745778743331021,0,0,2.71050543121376e-20,0.0054190339954884,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0642689625112786,-0.0566777135603396,0,-0.105232906906103,0,0,0.224646210660161,0,0,0,0,0,0,0.190459737069547,0,0,-0.0333116466652989,0,0,0,0,-0.0257471138635445,0,0.463896742823986,-0.0704386832176907,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.208158970239821,0,0,-0.11481275241292,0,0,0,0.021747142723289,0,0,0,0,0,0
X000625.SZ,0,0,0,0,-0.141920871622629,0,0,0,0,0.00471804182157426,0,0.0794733162851225,0,0,0,0,0,0,0,0,-0.0183838359574287,0,0.00300001167143842,0,0,0,0,0,0,0,0,0.157043619170062,0,0,0,0,0,0,0.0276062974039212,0,0.0124010922788334,0.0352887059888408,0.0274827294124755,0,0,0,0,0,0.0962692755509069,0,0,-0.0135195137546528,0.022235343412394,0.0484783148544217,0,0,0,0,0
X601877.SH,0,0,0,-0.0806593204115302,0,0,0,-0.0654144195468181,0,0,0,0,0,0,0.164848046964048,-0.149027401948719,0,0,0,-0.124214606613397,0,0,0,0,0,0,0,0.232308378509629,0,0,0,0,0.0839142956236358,0.117237494480056,0,0,0,0,0,0,0,0,0,0,0,0.0896033468942822,0,0.510464610871974,0.345574644441725,0,0,0.0138478178557944,0.0201220866295758,-0.302307151658966,0,0,0,0,0
X002008.SZ,0,0,0.189183969062218,0,0.13874451622715,0,0,0,0,0.0867208209443624,0,0,0,0.075477200890704,0,0,0,0,0,0,0,0,0.0967761051227712,0,0.0411493561961819,0.176096332125451,0,0.096446915534783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383153853469123,0,0,0,0,0.0131447406036299,-0.423026986216536,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0908570700802436,0.0354245722054494,0.742433547004007,0,0,0,0,0,0,0,0.114110824643973,0,0,0,0,0,0,-0.349423551035919,0,0,0.223369911551504,0,0,0,0,0,-0.157049193342376,0.00264890466599415,0,0,0,0,0,0,0,0,0,0,-0.019667386855031,0.0184453390290976,0,0,0,0,0,0
X600066.SH,0,0,0.0984027566251867,0,0,0,-0.0534775116375999,0,0,-0.211656594965465,0,0,0,0.0855142287417049,0.0944624577419814,0,0,0,0.00646963956431659,0,0,0,0.249819220655302,0,0,0,0,0.274182464022372,0,0,0.0288757510623738,-0.0650698524892835,0,0,0,0,0,0,0,0,-0.0675760334268918,0,-0.0875540663054369,0,0,0,0,0,0,0,0,-0.0530830151210467,0.062967112835283,0,0,0,0,0,0
