,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000625.SZ,X000858.SZ,X600031.SH,X000063.SZ,X600690.SH,X000338.SZ,X600276.SH,X000157.SZ,X600372.SH,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600703.SH,X600066.SH,X600118.SH,X000623.SZ,X601877.SH,X600271.SH,X000568.SZ,X000550.SZ,X000581.SZ,X002236.SZ,X000800.SZ,X600177.SH,X002475.SZ,X000869.SZ,X600582.SH,X002294.SZ,X300124.SZ,X000559.SZ,X600839.SH,X002129.SZ,X000400.SZ,X000050.SZ,X600809.SH,X002456.SZ,X002007.SZ,X000977.SZ,X002465.SZ,X600252.SH,X002292.SZ,X300003.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000400.SZ,0,0,0,0,0,0,0,0,0,0,0.0621085011074874,0.0746897568440407,0,0,0.0037964609287014,0,0.0371442329490496,0,0,0.0869043481566502,0,0.088628398486051,0,0,0,0,0,0,0,0,0,0,0,0,0.132723053083734,0.0572198713533057,0.0134925208223316,0,0,0,0,0,0,-0.0736600614734595,0,0,0,0,0,0.0373843721734606,0,0.00456967391260974,-0.00438872270514913,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,-0.156283874945021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014076251501158,0,0,0,0,0,0.194885619088971,0,0,0.144731897617841,0,0,0,-0.0997014273241634,0.358774790103095,0,0,0,0,-0.112251581972129,0,0.128411119517462,0,0.18357850294828,0,0,0.0440960663015498,0,0,0.0277067627557695,0.00755132914926721,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.183044839605271,0,0.187880665415144,0,0,0,0.335787286591665,0.230171826886977,0,0,0,0.0236702515198156,0,-0.127578935032908,0,0,0,-0.0884373508522102,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351764806058809,0,0.0805989715659667,0,0,0,0,0.0993305742307738,0,0.229711080186495,0,0,0,0,0,0,0,0.000699643600660211,0,0.0252545263176036,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00744409833910191,0,0,-0.0194386416556042,0,0,0,0,0,0,0,0,0,0.155174917102855,0,0,0,0.329406064573547,0,0,0.192470227084018,0,0,0,0.14802541845052,0,0,0,0,0.0231101881367422,0,0,0,0.109889860925337,0,0,0,0,0.0587769920715055,0,0.0273401792127944,-0.0120260438167116,0,0,0,0,0,0
X002007.SZ,0,0,0,0.0338456432049168,0,0,0,0,0,0,0,0,0,0.12094821898279,0,0,0.0609527332620535,0,0.0946857247083467,0,0,0,0.073256219087865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449378479474657,0,0,0,0.172470869865253,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0101912132054265,0,0,0,0,0,0,0
X000977.SZ,0,-0.063605598849339,0,0,0,0,0,0,0.162304516970069,0,0,0,0,0,0.0817855157371799,0,0,0.21772818577828,0,0,0,0,0.000903824227103514,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.27216029601575,0,0,0.0934771807293401,0,0,0,0,0,-0.169048176166589,0,0,0.179358100369423,0,0,-0.0576168913537121,0,-0.0758297484490772,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204008181874322,0,0,0.205550283161606,0,0,0,0,0,0,0,0,0,0,0,0.0747956364608229,0.18961408375531,0,0,0,0,0,0.239818133042722,0,0,0,0,0.276472435187109,0,0,0.0265148510616347,0.000553691940566068,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0.122487944541354,0,0,-0.00377821409337427,0,0,0,0,0,0,0,0.0595690177968045,0,0.0356802728863485,0,0.0583189704723854,0,0,0,0,0.00245357275610973,0,0,0,0,0,0,0.0730101271782835,0,0,0,0.032165768405958,0.0898436654543742,0,0.0347641858542039,0,0,0.0451889913709454,0,0,0.00690088146753375,-0.00757712916835179,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0.117111079563397,0,0,0,-1.73472347597681e-18,0.00733888573770984,0.06708719945544,0,0,0,0,0,0,0.146928961787893,0,0,0,0,0,0,0.420282161280474,0.0930113343569812,0,0,0,0,0,0.0239211701957764,0,0.0491416437723317,0.128964511201845,0,0,-0.212621847158522,0,0.0709896848183681,0,0,0,0,0.00857043623570647,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,-0.243939617556141,0,0,0,0,0,0,0.158077021415476,0,0,0,0,0,0,0.0574935672989151,0,0,0.393116706444676,0,0,0,0,0.0720918966922736,0,0,0,0,0,0,0,0.0817854752426639,0,0,0.119174110039428,-0.00780708944433764,0,0,0,0,0,0,0,0,0,0,-0.0142810004742129,0,0,0,0,0,0
