,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X002241.SZ,X600066.SH,X000100.SZ,X002292.SZ,X600118.SH,X600031.SH,X002236.SZ,X002475.SZ,X000568.SZ,X600177.SH,X000559.SZ,X002506.SZ,X002074.SZ,X600372.SH,X000157.SZ,X300003.SZ,X000338.SZ,X002456.SZ,X300124.SZ,X000050.SZ,X002426.SZ,X002085.SZ,X002249.SZ,X600867.SH,X002007.SZ,X002294.SZ,X600089.SH,X002465.SZ,X000869.SZ,X002180.SZ,X600699.SH,X002508.SZ,X000981.SZ,X002049.SZ,X002179.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002456.SZ,0,0,0,0,0.033729317010717,0,0,0,0,0,0,0,0,0.0672657467228295,0,0,0,0.591903811180803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148424454328147,0,0,0,0,0,0,0,0,0,0.195839378900146,0.0127032285982498,0,0,-0.0258737255405735,0,0,0,0,0.0342402907558232,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578087710512705,0,0,0,0,0.0150107754781622,0,0,0.133764323115043,0.0138991767812639,0,0,0,0,0,0,0.160433634105206,0,0,0.311277541568561,0,0,0,0,0,0.0645279483109778,0.0523759862409897,0,0,0,0,0.0624303370290866,0,0,0.0202609621918767,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156931258595504,0,0,0,0,0,0,0,0.0609152742897107,0.0717787318938828,0.0456545989777973,0,0,0,0.161262217280315,0,0,0.0480341917749411,0,0,0,0.13601045475576,0,0,0,0,0,0.0856669251387864,0,0,0,0,0,0,0.0293172838759404,0,0,0,0,0,0,0
X002426.SZ,0,0,0,0.0632157615091121,0,0,0,0,0,0,0.0488819658623226,0,0,0.00578526532555076,0,0,0,0,0,0.256907218309668,0,0,0,0,0,0.345293230325085,0.297120282750413,0,0,0,0,0,0,0,0,0,0,0.292058662691477,0,0,0,0,0,0,0,0,-0.0417929107690793,0,0,0,0.0960003607890235,-0.0889356367963473,0,0,0,-0.425491409540853,0,0
X002085.SZ,0,0,0,0,0,0,0,-0.0904473787328816,0.123761391328912,0,0,0,0.171427054685259,-0.0230817340543695,0,0,-0.129799088876086,0,0,0,0,0,0,0,0.182715783771511,0.0743368617835061,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0.207384590795107,0,0,0,0,0,0,-0.0776895444151944,-0.0456863998029401,0,-0.162127192439825,0,-0.393346199021226,0,0,0.020099409320223,-0.0644351206458142,0,0,0,0,0,0
X002249.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12111215079995,0,0,0,0,0,0,0.0761612763571508,0.00720367527531546,0.0795605254745834,0.0259442823708156,0,0.121492508890465,0,0,0.150388357473623,0.0622718927221228,0,0,0,0,0,0,0,0,0,0,0.0413578180281367,-0.0713621413895608,0,0,0,0,0,0,0.00780709689167762,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592104330222652,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0373037392807351,0,0,0,0,0,0,0.12026483807349,0,0.0602392482504692,0,0,0,0,0,0,0,0,0,-0.0342535967649137,0.0138249652426959,0,0,0.0945930438344339,0,0,0,0.0306735897241286,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.0961590287313933,0,0,0,0,0,0,0,0.00600039067962467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259166174301387,0.0349642982371735,0.111261289641347,0,0,0,0,0,0,0,0.118350983025211,0,0,0,0.0646469603403693,-0.202255901997856,0.258988161376532,0,0,0.0191885187601329,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0.0544049301829579,0,0,0,0.0407411831852833,0,0,0,0,0.0181692215203931,0.185509100123373,0,0,0.129793791817423,0,0,0,0.0568494920493453,0,-0.0412589533058608,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.06147345638506,0,0,0.0985286900610715,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165915606612259,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0.0490587683551562,0,0,0,0.0513436597309624,0,0,0.0306608300466069,0,0.242934465058892,0,0,0,0.121780236896206,0,0,0,0,0,0,0,0,0,0,0,0,0.0625323441642786,0,0,0,0,0.0572656566039056,0,0,0,0,0,0,0,0.171171822915824,0,0,-0.0302137943344268,0,0,0,0,0,0
