,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X600066.SH,X002028.SZ,X000661.SZ,X000921.SZ,X002129.SZ,X600584.SH,X600522.SH,X601877.SH,X000800.SZ,X601799.SH,X600566.SH,X600183.SH,X002074.SZ,X600418.SH,X002223.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.519932162818405,0,0,0,0,0,0,0.0477150407906617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263690222735776,0,0,0.00246831141444802,0,0,0.115146353031612,0,0.0681547775833691,0,0.113247783099266,0,0,0,0,0,0,0,-0.00151115666181669,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.0205563760713461,0,0,0,0,0,0,0,0,0,0.342486780523775,0,0,0,0.0432408697030263,0,0,0,0,0,0,0,0,0.148254223679093,-0.0312046872964558,0,0,0,0,0.0170850863503077,0,0,0.179251848558141,0,-0.0822812561247189,0,0,0,0,0.0382046191225514,-0.0306387747684961,-0.017037605743274,0,0,0,0,0,-0.0295431794365601,0,-0.0430731016617993,0,0,0,0,0
X300014.SZ,0,0,0.0611580674236449,0,0,0,0,0,0.167080263024635,0.0253943947811652,0.0319510222270669,0,0,0,0,0,0.0253997527169768,0.181417251063487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654995477406872,0,0,0,0,0,0.221649029287086,-0.0440692986442205,0,0,0,0,0,0,0.516073217881642,0,0,0,0,0,0.00290313055722665,0,0,0,0,0,0,0
X600089.SH,0,0.110816548444896,0,0,0,0,0,0.23526234645097,0.103135973097373,0,0,0,0,0.102539666370696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108484114217638,0,0,0,0,0,0.0524996127878576,0.0802113628056363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257758161077923,-0.0139240625759821,0,0.153959326457964,0,0,0,0,0
X002179.SZ,0,0,0.0271983301088188,0,0,0,0,0,0,0,0,0,0.110265598052239,0,0,0,0,0,0,0,0,0,0.0309330959241432,0,0,0.0924096877751084,0,0,-0.0268211564813441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326145940034607,0,0.275472982111598,0,0,-0.0463569825924769,-0.00297555906501172,0,0,0,0,0,0
X002236.SZ,0,0,0,0.101862193446628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449038997129996,0,0,0,0,0.0507043003336061,0,0.160082534232243,0.0889073047442009,0,0,0,0,0.277362590141672,0,0,0,0,0,0.118230261024345,0,0,0.0917842014871186,0,0,0,-0.135426216996743,0.116312255660305,0,0,0,0,-0.0738263764118938,0.105536516983345,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0635262781491813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102256824625747,0,0,0,0,0,0,0,0.0976919991684431,0,0,0,0,0.134047280675215,0,0,0,0,0.00173810823892709,0,0,0,0,0,0,0.354046557725884,0,0.0281906311539736,0,0,0,0,0.0139352065716151,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0.0350461104613303,0,0,0,0,0,0,0,0,-0.398232842020944,0,0,0,0,0,0.091598159430855,0,0.288313266072546,0,0.113259632686972,0,0,0.192604552202308,0,0.371129155560044,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0529251373671251,0.301088260166634,0,0,0,0,-0.0433419552959696,0,0,0,0,0,0,0
X002463.SZ,0,0,-0.0188991281019517,0,0,-0.468690753000141,0,-0.44288401634006,0,0.0559530891824273,0,0,0,0,0,0,0,0,0,0.0763188308719636,0,0,0,0,0,0,0,0.363670572781817,0,0,0,0.487827026086779,0,0,0.311620039563743,0,0,0,0.0787561684969794,0,0,0,0,0,0.236468916536732,0,0,0,0,0,0,0,-0.0571653602743329,0,-0.161767656108718,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0.0691283822072776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195494510998338,0,0,0.0223349519634293,0,0,0,0.0655993332294511,0,0.101777490229501,0,0,0,0,0,0.0849492179096917,0,0,0,0,0,0,0.0344740127764363,0,0,0,0,0.00612160174488412,0.0466030920249433,0.0760151058328876,0,0,0,0,0
X600372.SH,0,0,0.141824488640583,0,0,0,0,-0.133515029952838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794302788637762,0,0,0,0,0.15791779649127,0,0,0,0,0,0,0,0.0742377663744452,-0.0322632627760006,0.0998857028030963,0,0,0,0,0,0,0,0,0.127454218677454,0,0,0,0,0.165512616401607,-0.162935980097881,0,0,0,0,0,0
