,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X002008.SZ,X000596.SZ,X600487.SH,X002236.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600809.SH,X002179.SZ,X600566.SH,X000661.SZ,X600498.SH,X600867.SH,X000625.SZ,X300146.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X600089.SH,X000977.SZ,X002506.SZ,X300136.SZ,X600372.SH,X002241.SZ,X002180.SZ,X000981.SZ,X300142.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600498.SH,0,0,0,0,0.0535163284802294,0,0,0,0,0.152365501502743,0,0,0,0,0,0,0,0,0,0,0,0,0.639849800207537,0.0319151315064492,0,0,0,0,0,0,0,0,0.117234664712852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226915353087331,0.0342985960877253,0.0823119814213714,0,0,0,0,0,0
X600867.SH,0,0,0.159614608205004,0,0,0.826657310956603,0,0,0.13756035120584,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0893058103205539,0,0,0.141138438997064,0,0,0.000323605894611795,-0.0792098029145359,0,0,0,0,0,0,0,0,0,-0.267402646720327,0.583526300222895,0,0,0,0,0,0,0,-0.193137372932158,0,0.237218114134911,0,-0.47196613038958,0,0,0,0,-0.0742102183382158,0,0.175091973295431,0,0,0,0
X000625.SZ,0,0,0,0,0,0,-0.0137242216257461,0,0.19170171283355,0,0,0,0.14748241802071,0,0,0,0,0.0216600184879967,0,0.175221053903722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422960108592671,0,0.0370294327447584,0,0.0557417944770011,0,0,0.0656494373750553,0,0,0,-0.0484995973297448,-0.0433276013846454,0,0,0,0,0,0
X300146.SZ,0,-0.155086183101497,0,0,0,0.729766419028761,0.0297759725411735,0,0,0,0,0,0,0,0,0.0240541932938376,0,0,0.541139693525522,0,0,0,0,0.106612550624456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100821417176832,0,0,0,0,0,0,0,0,0,0,-0.00358532668961575,0.0324955608823072,0,0,0,0,0,0
X600066.SH,0,0,0,0,0.027809516794199,0,0.00677043212286904,0,0,0,0,0,0,0,0,0,0,0.103097569814291,0,0,0,0,0,0,0,0,0,0,0.0480127799954935,0,0,0,0.148342521510683,0,0,0,0,0,0,0,0,0,0.0120229957753457,0.177126377369584,0,0,0,0.246805323851561,0,0.0178504033171416,0,0.0123227340124736,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.143396977161767,0,0.00506151053437626,0,0.0633657755675776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180363315608623,0.0467955633044714,0,0,0.0401885464512699,0,0.0159862669404263,0.177843663031598,0,0.0728990365444589,0,0,0,0,0,0,0,0,0,0.0990393377704074,0,0,0.056742810703498,0,0,0,0.0366568838422059,0,0,-0.00568827051585078,0,0,0,0,0,0
X600177.SH,0,0,0,0,-0.00342649038514195,0,0,0,0,0,0,0,0.0823865855154481,-0.0576463842224155,0,0,0,0,0,0,0,0,0,0,0,0,0.126013904857785,0.040010702137932,0,0,0,0,0,0.0126924555995578,0.0567421801581867,0,0,0,0,0,0,0,0.0401687450081548,0.0182338286334472,0.00959353345143227,0,0,0,0.232942933498491,0.0167713176036174,0,-0.00345295960114234,-0.0062475810333239,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.163779087650182,0,0,0,0,0,0.0218798488036594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343536297119438,0,0,0.242320206718181,0,0,-0.0170545636150922,-0.0217836318894583,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.235314977827684,0,0,0,0,0,0,0,0,0.0061742868635197,0,0,0,0,0,0,0,0,0.0065875814681155,0.0144746603335496,0,0,0,0,0,0,0,0,0,0.145879341864079,0,0,0,0.0645243765364587,0,0.078735555232373,0.00463014961749597,0,0,0,0,0,0,0,-0.0159804862743302,-0.0223959103132627,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.342575320362171,0,0,0,0,0,0,0,0,0.71637999607783,0,0.10243525392844,0,0,0,0,0,0,0,0,0,0,0.159896609032293,0,0,0,-0.0394243056319127,0,0,0,0,0,0,0,-0.00540611272094246,0,0,0,0,0.042380904870821,0,-0.0410867497759123,-0.228167026453415,0,5.42101086242752e-20,0,0,0,0,0,0
