,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002292.SZ,X002236.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X000559.SZ,X601877.SH,X002129.SZ,X600177.SH,X000547.SZ,X000016.SZ,X600839.SH,X600435.SH,X000568.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600582.SH,X002294.SZ,X600252.SH,X002456.SZ,X002276.SZ,X000066.SZ,X002179.SZ,X000550.SZ,X002007.SZ,X000581.SZ,X000800.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0.00279056197543445,0,0,0,0,0.0471180334314284,0,0,0.00487798935522384,0,0,0,0.246795265989707,0.029301091537553,0,0,0,0.111720409393897,0,0.244109435637729,0,0.100697624817358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826068380821147,0,0,0,-0.00753154043012573,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0.262301628384635,0,0,0,0,0.0322652620100231,0,0,0.0627358900949973,0,0,0,0,0,0.0811677466056566,0,0,0,0,0.0194305344793584,0,0,0,0,0,0,0,0,0.0673606495253688,0,0,0.0422699129650756,0,0,0,0,0,0,0,0.142270162682832,0,0,-0.00887777909644643,0,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0.0883726083147906,0,0,0,0,0,0,0,0.291238763556805,0,0,0,0,0,0,0,0,0.0596594591828209,0,0,0,0.204438208307158,0,0,0.0411396693886443,0,0.075139231463814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046347297492633,0.00654588246714663,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0.0953615753189318,-0.0657296300138173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978316409384936,0,0,0,0,0.0549216468949276,0.496308014397961,0,0,0,0,0,0,0,0,-0.0395808566032878,0.304305705441528,0,0.0127501920202898,0,0,0.0307049022621774,0,0,0.0311968044345351,0,0,0,0
X002276.SZ,0,0,0,0.0914655463217943,0,0.424834386585071,0,0,0,0,0,0,0,-0.191323673433234,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110946573643568,0,-6.93889390390723e-18,0.0208678216443646,0,0,0.212805578832856,0.194625218410605,0,0,0,0.0860789991702437,0.107617016804798,0,-0.262468174060718,0,0,-0.0655176818193356,0.0438524803821398,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0.224471114902598,0.0626855391908233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0856351245674147,0,0,0,0,0,-0.0885956286467801,-0.102357744458925,0,0,0,0,0,0,0,0,-0.0232034314117702,0,0.0824773738195543,-0.0512219949251954,0,0,0,0.234759774121363,0,-0.0391306830868708,-0.00819380525451397,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.360591202416991,0,0,0,0,0.60648586775794,0,0,0,0,0,0,0,0,0,-0.00909770963138495,0,0,0,0,0,0,0,0,0.0117270880468927,0.0499777812920481,0,0,0,0,0,0,0.0540117075413901,0,0,0,0,0,0,0,0,0.0200494765889885,0,0,0,0,0,0
X000550.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.121732192562885,0,0.320530873104161,0,0,0.218735758755773,0,0,0,0,0,0,0.0720790534195786,0,0,0,0,0.0573190574230077,0,0,0,0,0,0,0.031602228794703,0,0,0,0,0,0,0,0,0,0,0,0.0224175777221227,0,0,-0.0121866131528259,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425127070253488,0,0,0,0.0871096724752413,0,0,0.0447130407713319,0,0,0,0,0,0,0,0,0,0,0.170209236156536,0,0,0,0.0242813207793097,0,0,0,0,0,0,0.043597539795851,0,0,0,-0.00742741610586964,0,0,0,0,0,0
X000581.SZ,0,0.127352109339992,0,0,0,0,0,0,0,0,0,0,0,0.0159938328764159,0,0,0,0,0,0,0,0,0.192124387099669,0,0,0,0.0868740017893792,0,0,0,0.174978649638687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07037367711444,0,0,0,0,0,0,-0.0218280187117701,0,0,0,0,0,0,0
