,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X600183.SH,X002236.SZ,X600066.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600487.SH,X600460.SH,X601799.SH,X600177.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056623357322739,0,0,0,0,0,0,0.0283429907435457,0,0,0,0,0,0.153095070528448,0.0423006834592546,0.094727425433658,0.114214223747732,0,0.0381582365220365,0,0,0,0,0,0,0.143831867536169,0,0,0,0,0,0,0,0,0.00756186692000913,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0.144306612109522,0,0,0,0,0,0,0,0,0,0.398070275946343,0,0.0536399217266511,0,0,0,0,0,0,0,0,0,0.0568485835593279,0,0.312676092223654,0,0,0,-0.0469293954348332,0,0,0.0230072579299346,0,0,0,0,0,-0.0548734905558506,0,0,0.0269054925283485,-0.191982474639043,0,0,-0.232789025974321,0,0,0.0148772777414859,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.494833380622224,0,0,0,0,0,0,0,0,0,0,0,0,0.0788070988472294,0,0,0,0,0,0.0754401806525893,0,0,0,0,-0.0529162469721154,0,0.0944101426653489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00966915761807028,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351124870323205,0,0,0.157908838907771,0.103473777674925,0,0,0.048376490339629,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.347433206388764,0,0,-0.00733425642839894,0,0,0.0235307534624531,0,0,0,0,0,0,0.166566819717673,0,0,0,0,0,-0.0402039194552875,0,0,0,-0.0590794739719524,0,0
X600460.SH,0,0,0,0,0,0,-0.0658621079622557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221268278034622,0,0,-0.0889774210645899,0,0.0989455372282537,-0.0549528085446236,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.56002978220325,0,0,0,0.064098735286419,0,0.00184771751937885,0,0,0,0,0.00421178909749151,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900971538922886,0,0.11899220162865,0.0279742498358949,0.0233687645724799,0.157943008080382,0,0,0,0,0,0,0,0,-0.200167493998949,0.111095399599519,0,0,0,0,0,0,0,0.129666683996558,0,0.0439404953965836,0,0.00462203223805115,0,0,-0.164462828712324,0,0,0,0.155658379365606,0,0,0,-0.0499514767373937,0,0,0.0606934460021678,0,0
X600177.SH,0,0,0,0,0,0,0,0.193025295532322,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.00188723638324404,0,0,0,-0.0002673642679753,0,0,0,0,0,0.0153645911236834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270738225093013,0,0,0,0,-0.0304932256271923,0,-0.058466269220961,0,0,-0.00705130924213871,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.259816197289724,0,0,0,0,0,0.0877826902904142,0,0,0.18577958793183,0,0,0,-0.0151077609101735,0,0,0,0,0,0.00206767472045886,0,0,0,0.184272618995786,0,0,0,0,0,0,0,0,0,0,0,0.0421902310767226,0,0,0,0,-0.00855669384456578,0,0,0,0.0789383149739088,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184787996116938,0.120978666151485,0.105711633790926,0,0,0,0,0.0251209752193224,0,0,0,0.0241079258417777,0,-0.115186011077142,0,0,0.0164083946839418,0,0,0,-0.0237753599558441,0,0,0,0,0,0.109202470410791,0,0.0289362691162402,0.143311644847682,0,-0.151521451494666,0,0,0,0,0,0,0.058932586789915,0,0
Slope,0,0,0,0,0,0,0.198168724833166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116989838309039,0,0,0,0,0,0,0,0,0.0905943572977385,0,0,0,0,0,0.130083062538918,0,0,0,0,0,0,0,0,0,0,0,0.605680063636086,0,0,0,-0.0377601864553993,0,0
TED,0,0,0,0.0632455695158146,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0636376724249537,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926395168568988,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200131344689009,0,-0.0148346628840828,0,0,0,-0.0947184760412544,0.472461998703908,0,0,0,0,0.01130118115452,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.00713217026960372,0,0,-8.67361737988404e-19,0,0,0,-0.0628156707584576,-0.100034985826917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200670111514796,0,0,0,0,-0.111288566037994,0,0,0,-0.104012332456588,0,0,0,-0.00992564195819054,-0.112805142274557,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,-0.125005970431926,0,0,0,0,0,0,0,0,-0.051241899764473,0,0,0,0,-0.018578175366548,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521089388106341,0,0,0.00952597615353347,0,0,-0.0436603211963601,0,0,0,0,0,0,0.110081106599343,0,0,0,0,0.0033270944551361,0.00104878393627697,0.0219687612456632,0,0,-0.0107824218537349,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00397796828491598,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00619504899866651,0,0,0,0,0,0,0,0,0.00444443749559067,0,0,0,0,0,0.00980855160826189,-0.0026922360927191,0,-0.000863291267509584,0,0.00992942719135868,0,0,0,0,0.00971226200452456,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151103213684824,0,-0.000621065252660024,-0.00200998701840187,0,0,0,0,0,0,0,0.00603718501353736,0,-0.0012779291910286,0,0,0,0,-0.0119239694543951,0,0,0,0.00136537973612642,0,0,0,0,0,0,0,0,0,0,0,-0.00234332333589651,-0.0153635657897648,0,0,0,0,0.00961639025726988,0,0
