,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002129.SZ,X600703.SH,X600118.SH,X600271.SH,X002241.SZ,X600177.SH,X600066.SH,X600582.SH,X002236.SZ,X601877.SH,X000581.SZ,X000800.SZ,X000568.SZ,X000559.SZ,X000623.SZ,X000550.SZ,X600839.SH,X002475.SZ,X600060.SH,X002294.SZ,X000977.SZ,X300124.SZ,X002007.SZ,X002292.SZ,X000869.SZ,X000050.SZ,X300146.SZ,X000400.SZ,X002456.SZ,X002008.SZ,X002465.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000050.SZ,0,0,0.0410918506385464,0.0867708303292355,-0.0902225472651582,0,0.083370973258138,0.10331160203181,0.115522165323586,0,0,0.0693416022583319,0,0,0,0,0,-0.0682373214968229,0,0,0,0,0,0.0260942567720679,0,0,0,0,0,0,0,0.0790544402129436,0,0,0.377529142986817,0,0,0,0,0.104361705660218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0.119301659142781,0,-0.0556630965277489,0,0,0,0,0,0,0.0072335245184888,0,0,0,0,0,-0.107360715096177,0,0,0.0603019777973532,0,0,0,0,0.30026574832549,0,0,0,0,0.000924426419234063,0,0,0.20049793147955,0,0.158280642611181,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0172875607033657,0,0,-0.0199646285515844,0.0846407669087201,0,0,0,0,0,0
X000400.SZ,0,0,0,0.0521162520744902,0.0693829419413649,0,0,0,0,0,0,0.0262166996145924,0,0,0,0,0.479478162115108,0,0,0,0.0583983070807053,0,0,0,0,0.0559259476951939,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0360959492178582,0,0,0.0838757929239065,0.165509318369469,0,0,0,0,0,0,0.0731693062781492,0,0,0,-0.0780392296911991,0,0,0,0,0,0,0
X002456.SZ,0,-0.0803456759559208,0,0,0,0,-0.0379874959869577,0,0,0,0,0,0,0,0.0508878605251609,0,0,0,0,0,0,0,0.26256230810658,0,0.0458466348867786,0.0918554697051996,0.0716034037647493,0,0,0,0,0,0,0,-0.0655945553437822,0.073695755171711,0.11443590334695,0,0,0,0,0,0,0,0,0,0,0.172384870114375,0,0,0,-0.0482651686913533,0,0,0,0,0,0,0
X002008.SZ,-0.0260665119702527,0,0,0,0,0,0,0,0,0,0,0,0,0.0347707961909305,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.124672904382605,0,0.157447585696476,0.0148271264930353,0.0041759652482381,0,0,0,0,0,0,0.159936954813518,0.0424548843342618,0,0.0531377688013629,0,0.096840444092315,0.084044774588977,0,0,0,0,0,0.183644388661869,0,0,0,0.0460654832152853,0,0,0,0,0,0
X002465.SZ,0,0,0,0.137537928383442,0,0,-0.04124082192582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310041414557244,0.0934604810679859,0,0,0,0.0707832284825128,0,0,0.0699705440326112,0,0,0,0,0,0,0.0297822617203527,0,0.0259540128087485,0,0,0.0746717266750682,0,0,0,0,0,0.0998370744398102,0,0,0,0,0.00976518376670322,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0.0270548532425334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563843987777494,0,0,0,0,0.323846759521439,0.0758859539896743,0.103474701427917,0,0,0.0621725352680315,0,0.101972484584184,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183329147918371,0,0,0,0,0,0,0
Change_TY3M,-0.00120481921988851,0,0,0,0,0,-0.0498326082024124,0,0,0,0,0.0313146442465545,0,0,0,0,0.162659039149031,0,-0.056924609361015,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296129178606684,0,0.0442440465200811,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219023790999187,0,0,0,-0.0643674285900129,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0.154050596451707,0,0,0,0,0,0,0,0,-0.203577961231286,0.382188201214856,0,0,0,0,0.121907625730099,0,0,0,0,0,0,0,-0.289656875751125,0,0,0.570865771512325,0,-0.244557155570062,0,0,0,0.370066822508083,0,0,-0.0226780343568629,0,0,0,0,0,0,0,0,-0.177706541107496,0,0,0,0,0,0
TED,0,0,0,0,0,-0.32587244030756,0,0.620490362066614,0,-1.24998958205334,0,0,0,0,0,0,0,0.0833359962945126,0,-0.233799849936051,-0.784363214322391,0,0,0.265832452804199,0,0,0,0,-0.0904257316819733,0,0,0,0,0,0.685808313218128,0,0,0,0,0,-0.0387702128272122,0,0,0,0,-0.362494221096471,0,0,0,0,0,-0.484299585284535,0,-0.138987675375049,0,0,0,0,0
