,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X000100.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X000581.SZ,X000800.SZ,X002236.SZ,X002475.SZ,X600582.SH,X000623.SZ,X600060.SH,X600177.SH,X000568.SZ,X300124.SZ,X002129.SZ,X000559.SZ,X000050.SZ,X000977.SZ,X002294.SZ,X000400.SZ,X002456.SZ,X300146.SZ,X600839.SH,X300003.SZ,X002465.SZ,X002292.SZ,X000869.SZ,X600312.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000050.SZ,0,0,0,-0.0797218188771322,0,-0.0743165829808265,0,0,0,0,0,0,0,0,0,-0.0641839273763461,0,0,-0.0169075430722513,0,0,0,0,0,0,0,0.0888029918005586,0,0,0,0.204079868983244,0,0,0,0.0839703519546374,0.175023618204711,0.281269112700251,0,0,0,0,0,0,0.402992435669603,0,0.0634451472422899,0,0,0,0,0,0.0428421366694023,0.0164760463310922,0,0.0763800193418313,0,0,0,0
X000977.SZ,0,-0.189044158925144,0,-0.0747970712723895,0,0,0,0,0.00815002276069912,-0.019684206095084,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00159579247722666,0,0,0,0,0,0,0,0.0580724869986964,0,0,0,0,0.000793042379079803,0,0,0,0,0,0,0.127013172819504,0.0347529052045102,0,0.123385997044587,0,0,0.0739117425183022,0,-0.110874474440898,-0.0215755993154338,0,0,0,0,0,0
X002294.SZ,0,0,0,0.218556560306119,0,0,0.0470472358131191,0,0,0,0,0,0,0,0,0,0,0,0.0878852203542411,0,0,0.105415998597645,0,0.00873877198557749,0.0117377238595751,0,0,0,0,0,0,0.0706509575153203,0,0,0.073334471007912,0,0.0765078091880847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424835075813308,0,0,0,0,0,0
X000400.SZ,0,0,0,0.215718189503617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867315828268387,0.0418759958784102,0,0,0,0.0310139127568765,0,0.112145870359542,0,0.117867759413664,0,0,0.0628794856062716,0,0,0,0,-0.0494046756683255,0,0,0,0,0,-0.0724694596939068,0,0,0,0,0.0598537651685602,8.67361737988404e-19,0,0,-0.00239045574960236,0,0,0,0,0,0
X002456.SZ,0,0,-0.10561690215863,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.149576943521524,0,0,0,0,0,0.0996813648371218,0,0.289598115139993,0,0,0,0,0,0.2087615147472,0.169761458813501,0,0,0.119067527302859,0,0,0,0,0.0266333670442577,0,0,0.109600578932019,0,0,0.0912811987173233,0.107257805590866,0,0,0.0010488580929649,0,0,0,0,0,0
X300146.SZ,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538916085721479,0,0,0.248178883388715,0,0,0,0.213633984726405,0,0,0.192590059949617,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547079269067921,0,0,0,0,0,0
X600839.SH,0,0,0.200127915252905,0,0,0,0,0,0,0,0.0331898260022808,0,0,0,0,0,0,0,0,0,0.0196702008781504,0,0.183383887597347,0,0,0,0,0,0,0,0,0.016101654211763,0,0,0,0,0,0,0,0,0,0.0963390428949176,0,0,0,0,0,0,0,0.0412709838842292,0,0,-0.0327062248130641,0,0,0,0,0,0
X300003.SZ,0,0,0,0,-0.0399420635579053,0,0,-0.0343020131246524,0,-0.298486584692572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4963340673286,0.189605850438059,0,0,0.0990472107741748,0,0,-0.000963249727215587,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986512797326305,0,0,0,0,0,0,0.0957580448052743,0.262948572895782,0,0,-0.0297057585971755,0.186409500442366,0,0,0,0.0390900939508535,0,0,0,0,0.0177044641787512,0.00980329553596683,0.0592468480073771,0,0,0,0,0,0,0.23908457189635,0,0.214811456101165,0,-0.0494741511711834,0,0,0,-0.00800352957198506,0,0.0184028283197454,0,0,0,0
X002292.SZ,0,0,0,0,0.0196871007918383,0,0,0,0,0,0,0,0,0.0074554533140353,0,0,0,0,0,-0.0781057631952278,0,0,0.112185449461642,0,0,0,0,0,0.0651314730123054,0,0,0,0,0,0.0734462671814359,0,0,-0.0358261906282936,0.228089838244765,0,0.359555850301092,0,0,0,0.116772270969264,0.166738578049473,0,0,0,0,0,0,-0.00465225735563914,0,0,0,0,0,0
