,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X002371.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600104.SH,X000063.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X000157.SZ,X002028.SZ,X600372.SH,X600066.SH,X600741.SH,X600584.SH,X600703.SH,X600418.SH,X000977.SZ,X002236.SZ,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X000800.SZ,X601799.SH,X600487.SH,X002294.SZ,X002180.SZ,X002074.SZ,X000661.SZ,X000400.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0.2554637576872,0.136245107002928,0,0,0,0,0,0,0.343171465754467,0,0,0,0,0,0,0,0,0,0,0,0.233316990068016,-0.0602212550792324,0,0,0,0,0,0,0,0.0390958757007555,0,0.0860494520230112,0,0.000821858380913311,0,0,0,-0.0807959807621402,0,0,0,0,0,-0.12449857783225,0,0,0,0,0,0,0,-0.0453552395229983,0,-0.0712924799940901,0,0,-0.0261092349629718,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244242792474452,0,0,0,0,0,0.681681038013132,0,0,0.054776220945189,0,0,0,0,0,0,-0.0394041227904033,0,3.46944695195361e-18,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0534972483192065,-0.0179816891796498,0,0.0529616861250532,0,0,0,0,0,-0.0414555374942052,0,0,0,0,-0.00878761990211504,0,0
X600031.SH,0,0,0,-0.0133477885541511,0.306313994646589,0.823909336676711,0,0,0,0,0,0,0,0,0,-0.111257947766511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543360135588627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581117546281797,0,0,0,-0.0150268273865356,0,0,0,0,0,0
X600104.SH,0,0,0,-0.126582109644683,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278858023224566,0,0,0,0,0,0,0,-0.119411214518823,0.10808909988612,0,0,0,0.201135589768614,0,0,0,0.0192957993061307,0,0,0,0,0,0,0,0,0.0201458854774656,0.0416010389493813,0,0.138911128149447,0,0,0,0,-0.00465770655896026,0.0137583622129779,0,-0.119213013867677,0,0,-0.0215204670089436,0,0
X000063.SZ,0,0,-0.011005873976646,0,0,0,0,0,0,0,0,0,0.139892222619003,0,0,0,0,0,0,0,0,0,0,0.0161212673832696,0,0,0,0,0,0,0,0,0,0.0954277293469538,0.129101519639507,0.134957629114616,0,0.0417834133283117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166462898069661,0,0,0,0.00712596317580716,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109356613398711,0.0292308553772661,0,0,0.270301189950943,0.0562872280061553,0,0,0.0615991354694675,0,0.123052533610429,0,0,0,0,0.210883981903912,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0862777225998298,0,0
X300124.SZ,0,0,0,0,0,0,0,-0.0699200859259076,0,-0.0603640358552745,0,0,0,0,0,0.0214468697509116,0,0,0,0.134133354881754,0,0,0.0265688392877245,0,0,0,0,0,0,0.0737873400144218,0,0,0,0,0,0,0,0.140126534412604,0,0,-0.0224571601855546,0,0,0.267443449352942,0,0,0,0.0889394458096947,0,0,0,-0.158277137966564,0,-0.086571587557383,0,0,-0.00255287921676643,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.454677659915514,0,0,0,0,0,0,0,0,0,0,0.00376860662282232,0,0.150195142127101,0,0,0,0,0,0,0,0.0806921609645212,0,0,0,0,0,-0.0542128891850474,0,0,0,0,0,0,0,0.0579758613613666,0,0,-0.017970651156375,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0
X000338.SZ,0,0,0,0,0.0617998514066502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771624815067315,0,0.270632876757382,0.0332741129052949,0,0.0131973276955559,0,0,0,-0.0457915636832409,0,0,0,0,0,0,0,0,0,0,0,0,-0.235282157034574,0,0.162776089067121,0,0,-0.1253634434384,-0.0131669762482869,0,0,0,0.0899417325522959,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445549711287528,0,0,0,0,0,0,0,0.117355924157559,0.0463819409967363,0.24985015950483,0,0,-0.0665721761956009,0,1.73472347597681e-18,0.0512433154047439,0,0,0,0,0.027529901288131,0,0,0,0.0625171946536276,0,0,0,0,0.0968751454663432,0,0,-0.0131481303366707,-0.0662906403439146,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.08596598548594,0.324249814232031,0,0.451001963607213,0,0,0,0.19627516818691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318056659447178,0.0455811894591269,0,0,-0.176112046900177,0,0,0,0.0523135167959193,0,0,0,0,-0.0710086813365616,-0.00432665011733084,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,-0.0646401134320796,0.524307908625526,0,0,0,0,-0.0950685701375228,0,0,0,0,0,0.174700866601527,0,0,0,0,0,0,-0.0762254594258608,0,0,0,0.0559111676082012,0,0.148895619003699,0,0,0,0,0,0.0754008604948593,-0.0680788114754318,-0.000824190260276961,6.93889390390723e-18,0,0,0,-0.0459979434418524,0.0229752094052447,0,-0.0867856171699389,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.0459562446847166,0,0,-0.0584576503129835,0,0,0,0,0,-0.348820809660248,0,0,0.220048079147586,0,0,0,0.164863074251201,0,0,0,-0.0447802100738098,0,0,0,0,0,0,-0.0924945579126438,0,0.180712179304127,0,0,0,0,0.110088683751722,0,0,0,0,0,0,0,0.496109207741199,0,-0.0864615763830092,0.0589848628816738,0,0,0.0522573328248032,0,0,0,0.00348574238156753,0,0
X002241.SZ,0,0,0,0.304885448735537,0,0,0,0,0,0,0.136551375228927,0,0,0,0,0,0,0,0.0345530903970049,0,0.0308522152898509,0,0,0,0,0,0,0,0.147370599522938,0,0,0.281986787518895,0.127173089350267,0,0,0,0,0,-0.019509746184889,0,0,0,0,0,0,0,0,0,0,0.0167404604313109,0,0.0346572166065094,4.33680868994202e-19,-0.0533483874994104,0,0,-0.026704061580135,0,0
