,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X002129.SZ,X002236.SZ,X600089.SH,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X601877.SH,X600522.SH,X000977.SZ,X600418.SH,X000800.SZ,X002074.SZ,X002007.SZ,X600183.SH,X601799.SH,X002463.SZ,X300142.SZ,X600702.SH,X002456.SZ,X002180.SZ,X002028.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520939442576293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263880425508544,0.0184585932265557,0,0,0,0,-0.0377471784432919,0.185896435769363,0,0.114030648555848,0,0,0,0,0.0465981661614159,-0.00421077635376874,0,0,0,0,0,0,0
X600703.SH,-0.0107802256325656,0,0,0,0,0,0,0,0,0,0,0,-0.343370076404702,0,0,0,0,-0.11750885910213,0,0,0,0,0,0,0,0,0,0,0,0,0.252917970277105,0,0,0,0,0,0.569739385631195,0,0,0,0,0,0,0.0834749951454545,0.257518604953302,0,0.223612172882955,0,-0.0942317692383706,0,0,0,-0.0307773333461341,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102038216659924,0,0,0,0,0.005262997221914,0,0,0,-3.46944695195361e-18,0.0858415279262145,0,0.0289366644280189,0,0,0.242752212971975,0,0,0,0,0.093761035543406,-0.0744759789430529,0,0.546818272564233,0,0,0.0273064490813562,0,0.213081480398291,0,0,0,0.108803900352849,0.0238141778354971,0,0.0105956364356117,0,0,0,0,0,0,0
X002236.SZ,0,0,0.259420935983549,0,0,0,0,0,0,0,0,0.51485770197506,0,0,0,0,-0.0583000108832602,0.501470619359873,0,0,0,0,0,0,0,0,0,0,0,0,-0.206197331975598,0,0,0,0,0,-0.0195096117713116,0,0,0,0,0,0.237728680452064,0,-0.0275097910078152,0,0,0,0,0.0286080623320461,0.0308698178626823,-0.0126742493935513,-0.00824345529177284,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.21045541669814,0,0,0,0.0470476582461556,0,0,0,0,0,0.0601734222252211,0,0.216177333704262,0,0,0,0,-0.0232498882544645,0,0,0,0,0,0,0.0970655514199976,0,0,0,0,0,0,-0.115691055869705,0,0,-0.126664838847488,0.177267085433439,0,0,0,0,-0.00673554432512217,0,0,0,0,0,0
X600372.SH,1.35525271560688e-20,0,0,0,-0.0247545083238954,0,0,0,0,0,0,0,0,0.159590016861317,0,0,0,0,0,0,0,0,0.0407206630591727,0,0.0296341907597021,0,0,0,0.0159964963106677,0.0348522643000704,0,0,0,0,0,0,0.0610726814518825,0,0,0,0,0,0,0.0253252390112235,0,0,0,0.120069793256533,0,0.0961978533414237,0,0,0.00696187515011372,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147577286900441,0.156423568714671,0,0,0,0,0,0,0,0.187242824225715,0,0,0,0.142013957633399,0,0,0,0,0,0.0206710486750437,0,0,-0.193930020809487,0,0.139953587112031,0.515636412529772,-0.149770125922543,0,-0.0585708995867814,0,0,0,0,0,0
X002241.SZ,0,0,0.144456325008897,0,-0.00940027437428393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158330453449775,0,0,0,0,0,0,0,0,0,-0.0560357857326054,0,0,0,0,0,0.122352879976805,0.0858409245462615,-0.118619074373228,0,0.0457901725327416,0,0,0.0897284925090968,0.222579385495174,0,0.0914013336163102,0,0,0,0,-0.0193384254962736,1.73472347597681e-18,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.145977325125167,0,-0.0116521702541463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129897592544767,0,0.0187741718489084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0916008827981245,0,0,0,-0.0300142679891486,-0.060859127016167,0.368454536121901,0.269311976912612,0.0439711977027927,0,0,0,0,0.00736703994304425,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759017716050952,0.0482819143302191,0,0,0,0,0,0,0,0.240509883132052,0,0,0,0,0,0,0,0.0601381763533959,0,0,0,0.107654754943341,0,0,0,0,0,0.104866697203549,0,0,0,0.0991765217235435,0,0.0485912031614203,-0.0292385564633708,0,0.0115229422627126,0,0,0,0,0,0
X000157.SZ,-0.00943922998641646,0,0,-0.142016175135869,0,0,0,0,0,0,0,0,-0.0285373933469726,0,0,0,0,0,0,0.554719803991358,0,0,0,-0.00549342549273802,0,0,0,0,0,0,0,0,0,0,0,-0.00804413952741908,0,0,0.240956274270227,0,0,0,0,0,0,0,-0.00417355078875686,0,0,-0.0015915554134865,0,0,-0.00796224444404625,0,0,0,0,0,0
X600741.SH,0.0662568986120805,0,0,0,0,0,0,0,0,0,0,0,0.113534402857975,0,0,0,0,0,0,0,-0.139707295644665,0,0,0,0,0,0,0,0.091389873041001,0,0,0,0,0,0,0,0,0,0.0525669531764933,0,0,0.0688871516311169,0,0.00952325691755176,0.269255939579561,0.0376106733401491,0,0,0.100696534476801,0,-0.0647636910179739,0.00407026568519681,0.0186192196266837,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.0053938242728048,0,0,0,0,0,0,0,0.244660263628917,0,0,-0.109254828768551,0,0,0,0,0.236906621429207,0,0,0,0,-0.0163847774263811,0,0,0,0,0,0,-0.000744335091448214,0,0,0,0.0453632832936734,0,0,0,0,0,0,0,0.0513634072511932,0,-0.00254898029109744,0,0,0,0,0,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,-8.67361737988404e-19,0,-0.115350239256945,0,0,0,0,0,0,0,0,0,0,0,0,0.269155138438781,0,-0.0326859928494384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687738669265908,0.15969325586186,0,0.115435049569254,0,0,0.203881450756193,0.0945798202959682,0,0,0,0,-0.0269683690660094,0,0.133636831176884,0.0133040863424339,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122517608755276,0,0,0,0,0,0.108542147317071,0.450361589214322,0,0,0,0,0,0.0513686787967855,0,0,0,0,0,0,0,0,0,0,0,-0.353345907667946,0.680710458371494,0,0,0,0,0,-3.46944695195361e-18,0,0.0651655826403502,-0.108649733459334,0,0,0,0,0,0
X600418.SH,0,0,0,0,-0.238731859815025,0,0,0,0,0,0,0,0.243678776867393,0,0,0,0,0,0,0.196638149602869,0,0,0,0,0,0,0,0,0.108370759271369,0,0,0,0,0,0,0,0,0,0.88594036950713,0,0,0,0,-0.0622810383771716,0,0,0.216030921425822,0,0.167586334856644,0,0,0.0872396168146233,-0.160023866611576,0,0,0,-0.288924847751937,0,0
X000800.SZ,0,0,0,0,0,0,-0.0574115868976705,0,0,0,0.42574763586948,0,0.249995733684087,0,0,0,0,0,0.0138611858855481,0,0,0,-0.0255452968655026,0,0,0,0,0,0,0,0,-0.119158666527659,0.165395391634142,0,0,0,0.0357131912471616,0.0811122672062149,0,0.0295570523467775,-0.104658453351898,0,0,0,0,0,0,0,0,0,0.0249719067667684,0,0.02754985904028,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.156898034388929,0,0,0,0,0,0,0,0.237964382019925,0,0,0,0.168105505377283,0,0.120835571517587,0,0,0,0,0,0,0,0,0,0,0.0264281956870038,0,0,0,0,0.0448676684996444,0,0,0,-0.0471389169398717,0.0506769189656711,0.0200026851760994,0,0,0.00516584852800791,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935059635206993,0,0,0.22484098448275,0,0,0,0,0,0,0,-0.0797108193410968,0.0157094647963862,-0.0464103109530303,0,0,0,0,0,0,0,0,0,0,0.21008521116197,0,0.0482832571399827,0.0138786371236444,-0.0561496037156514,0,0.0169453302866857,0,0,0,0.0514022382849581,-0.104872270318761,0,0,0,-0.0833202422361984,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573990000012414,0,0,-0.109113983155799,0.379772488924708,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.105605284881073,0,0,0,0,0,0.0874777267905862,0,0,0,0.0201548788770235,0.019559912782465,0.0021338192127,0.086027553227232,0.0700811758826155,0,0,0,0.0404833116386454,-0.0551559594294895,0.0681412433092272,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564619261320303,0,0,0,0,0,0,0,0.00519233612778676,0.0818396037538401,0,0,0,0,0,0,0,0,0,0.0988091075956509,-0.0610657633775689,0.0586209247831629,0,0,0,0,0,0,0,0,0.22581696397067,0,0,0,0,0.0692187464908596,-0.134323532750785,-0.532886032503489,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0.225526743456574,0,0,0,0,0,0,0,0,0,0,0.0118417127248779,-0.113437926056094,0,0,0,0,0,0,0.311290046269324,0,0,0,0,0,0.236929397548581,0,0,0,0,0.4049259124828,-0.0200256992199471,0,0,0,0,0.225110025062143,0,0,0,0,0,0,0,0,0,0.0206575940217208,0,0,0,0,0,0
X300142.SZ,0,0.138523752798677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129221647929743,-0.161530444445894,0,0,0,0.287109199836635,0.242024030800315,0,0,0.414272784631853,0,0,-0.117408090014388,-0.260360370876188,0,0,0,0,-0.129063458939356,-0.0244308342510086,0,3.46944695195361e-18,0,0,0,-0.0528435238837528,0,-0.00173138207544816,0.0152435104989019,0,0,0,0,0,0
