,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X000550.SZ,X601877.SH,X600177.SH,X002475.SZ,X000581.SZ,X000800.SZ,X600582.SH,X000568.SZ,X002129.SZ,X300124.SZ,X002294.SZ,X000623.SZ,X002292.SZ,X000559.SZ,X600060.SH,X300003.SZ,X000050.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X000869.SZ,X600839.SH,X300146.SZ,X002465.SZ,X002038.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.784513078553474,0,0.0109846346053727,0,0,0,0,-0.0263214234415248,0,0,0,0,0,-0.0149709828602717,0,0,0,0,0,0,0.0375891660997621,0,0.0547410576499774,0,0,0,0,0.00609017273428222,0,0.212401369530727,0,0,0,0.0126508278834327,0.0392526190650495,0,0,0,0,0,-0.0604940762344546,0.00965513302772041,0.11884291944136,0,0,0,0,0
X002241.SZ,0.279070140706003,-0.0552005137399882,0.0508571132593998,0,0,0,0,0,0,0,0,0,-0.0237724847222614,0,0,0,0,0,0.0230251712095144,0,0,0.0744068251930404,0,0.115110656644593,0,0,0,0,0,0,0,0,0,0,0,0,0.139929300564961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121405000053824,-0.00951650156440109,0,-0.154346601767049,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.182790890668836,0.0330040656327427,0,0,0.0431481586743474,0.0439432047048236,0,0.0222832206738316,0,0,0,0,0,0.0463128548553468,0.0301426502713386,0,0,0,0,0,0,0.0407623129720462,0,0,0,0.229744346542235,0.0207195121616097,0,0,0,0,0.0867942908776432,0,0,0,0,0,0,0.0435838976494549,0,0,0,0,0,0,-0.0136706091086262,0,0,0,0,0,0
X600089.SH,0.0112745379073198,0,0,0,0,0,0,0,0,0.13654814843417,0,0,0,0.131752083373131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723172749801897,0,0,0,0,0,0,0,0,0,0,-0.0324446528817223,0,0,0.28383401010649,0,0,0,0,0,0,0.0172358575806147,0,-0.036753134835857,-0.0149153498662423,0,0,0,0,0,0
X600066.SH,0,0,0.201579399578765,0,0,0,0,0,0,0,0,0.133748258871672,0.0854309061213809,0.0649520155241254,0,0,0,0,0,0,0,0,0,0,0.0235273642365552,0,0,0,0,0.0895138333828714,0,0,0,0,0,0,0,0,0.0244163185044391,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000394796948432064,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.0274964391940362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823796361190337,0,0,0,0.00881097811093001,0,0,0.0496749011958843,0.17532403306702,0,0,0.0833757760696203,0,0,0.000324629585112342,0,0,0.124370435821489,0,0,0,0,0,0,0,0.213211356467277,0,0.115996733682061,0,-0.0468911024397837,0.00299721763907107,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153994161953849,0.403652846567044,0,0,0,0,0,0,0,0,0.22247042582439,0.0929911447382745,0,0,0,0.241845592202911,0,0,0,0,0,0,0.08584674915966,0,0,0,0,0,0,0,0,0,0.0852579658423581,0,0,0,0.00822943227718016,0.00570260329342065,0.006939074520736,0,0,0,0,0
X002236.SZ,0,0,0,0.113400681803161,0,0,0,0,0.169210074542475,0,0,0,0,0,0,-0.0608259380390094,0,0.0982216953589952,0,0,0,0.250875013092468,-0.0757868515485926,0,-0.0297602739677112,0,0,0.323448076348216,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.227246872409646,-0.0940685031778554,0,0.0323039047249413,0,0,0,0,0,0,0,0,0,0,0,0.00904139231600531,0,0,0,0,0,0
X000550.SZ,0.0576806120307784,0,0,0.182657957230042,0,0.0404369946208851,0,0.148335657013813,0,0,0,0.0665546011049169,0.104172824571161,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0279517229911749,0,0,0,0,0.0934053346706135,0,0,0,0,0.0539951090976753,0,0,0,0,0,0,0,0,0,0,0.0608230256269776,0,0,0,0,0,0,0,0.00893599413007415,0,0,0,0,0,0
X601877.SH,0.0451702070606702,0,0.0334567788886722,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233887069130463,0.132101994717157,0.13383634154658,0,0,0,0,0,0.0900218610342816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196324906874852,0.0328519942912805,0.00711357709413855,0,0,0,0,0
