,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X002236.SZ,X600118.SH,X000581.SZ,X601877.SH,X002475.SZ,X000550.SZ,X600177.SH,X000800.SZ,X600582.SH,X002129.SZ,X000568.SZ,X300124.SZ,X002294.SZ,X000559.SZ,X000623.SZ,X002292.SZ,X600060.SH,X000050.SZ,X300003.SZ,X002456.SZ,X000400.SZ,X000869.SZ,X300146.SZ,X000977.SZ,X002465.SZ,X600839.SH,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600582.SH,0,0,0,0,0,0,0.0675228852104356,0,0,0,0,0,0,0,0,-0.0835629174712063,0,0,0,0,0.16984488203452,0.184885086222327,0,0.162160809408942,0,0,0,0,0,-0.0156836853842661,0,0,0.0473905111257579,0,0,0,0.125850070880023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201822677178387,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243364709012996,0,0.274296936500717,0,0,0,0,-0.0808575593301643,0,0,0,0,0,0.0904230233093651,0,0,0,3.46944695195361e-18,0,0,0.163839498669598,0,0.0485211984696997,0,0,0.291011469130861,0.055903445453349,0,0,0,0,0,0,0,0,0,0.020398498480441,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.207866220681796,0,0,0.197344264764341,0,0,0,1.73472347597681e-18,0,0,0,0,0.034733103634004,0,-0.113448796815255,0,0,0,0,0.0378748104030295,0,0.170885983873292,0,0,0,0,0.133164324419773,0,0,0,0,0,0,0,0,0,0,0,0,0.0291968254227623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0.0307177188400201,0,0,0.0309096516854149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064771562913769,0.259154590821035,0.0122040522100057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192243862694486,0,0,0.00922121837572806,0,0,0.0661221644631159,-0.0598858036425485,0,0,0,0.075895191968193,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130085617812946,0,0,0,0,0.0725127282044853,0,0,0.145151106475869,0,0,0,0,0,0,0.139261303525921,0,-3.46944695195361e-18,0,0,0.105383521707217,0,0,0,0,0,0,0,0,0,0,0,0,0.00350591790960391,-0.0059713265670005,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174780062305047,0,0,0,0,0,0,0,0,0,0.396231940699776,0,0,0,0,0,0,0,0,0,0,0,0.185789737410672,0.167674111973894,0.119041085360988,0,0,0,0,0,0.203946990876942,0,0,0,0,0,0,0.0737325150883318,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379116599196589,0.32413386652601,0,0,0,0,0,0,-0.00579467442857908,0,0,0,0,0.0349053528319088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590344987912173,0,0,0,0,0,0,0.0546203612471383,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0.161439871172411,0,0,0,0,0,0,0,0,0.0332244119352048,0,0,0,0,0,-0.197201187575825,0,0.0558805537132988,0.2295915957902,0,0,0,0.109618654918696,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714548519555165,0.119557920035225,0,0.171127135320742,0,0,0,0.0978788938543747,0,0,0,0,0,-0.00520437389555465,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.282680045873153,0,0,0,0,0,0,0.0478255339566941,0,0,0,0,0.157759487143985,0,0,0.152123601254961,0,0,0,0,0,0,0,0,0.181057497183255,0,0,0.285377228339683,0,0,0,0,0.102725712110371,0,0,0.0469807606868813,0,0,0,-0.0643028207690418,-0.0186298012680635,0,0,0,0.210728668747756,0,0
X000050.SZ,0,0,0,-0.097391055994918,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467233213694785,0,-0.061597782763102,0,0,0,0,0,0,0,0,0,0,0.0548008284814368,-0.105695481452048,0.453129385359898,0,0.0709967305028967,0,0.150073636183261,0,0,-0.0124354727248006,0,0,0,0,0,0,0,0,0.608801016969428,0,0,0,0.0824701799419517,0.0303717798633276,0,0.132409488721336,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,-0.0698229271485208,0,0,0,-0.151704278951612,-0.0198728093700433,0,0,0,0,0,0,0,0,0.0251029441606582,0,0,0,0,0.151299842126798,0,0,0,0,0,0,0,0,0,0,0.0467186675850543,0,0.00450504933269245,0,0,0,0,0,0,0.518905783822466,0,0,-0.198196104384168,0,0,-0.00489017630139151,0,0,0,0,0,0
