,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X601877.SH,X000100.SZ,X300003.SZ,X002241.SZ,X002007.SZ,X000157.SZ,X002463.SZ,X600271.SH,X002179.SZ,X300142.SZ,X300124.SZ,X000625.SZ,X000066.SZ,X002008.SZ,X600867.SH,X300014.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X600498.SH,X300136.SZ,X600066.SH,X600177.SH,X002506.SZ,X002371.SZ,X300146.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0.0197902526129622,0,0,0,0.0927979007812493,0,0,0,0,0,0,0,0,0,0,0.0799781949005257,0,0.0513668254464724,0,0,0,0.0294589572969299,0,0,-0.00386694366575638,0,0.0426133933800497,0.068943922176022,0,0,0.223799020149875,0,0.169128978392892,0,-0.0156307247867688,0,0.0169119523777095,0,0,0,0,-0.169283411423375,0,0,0,0,0,0,0,0,-0.0305738295718371,0,0,0,0,0.0812879537984575,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0324782446248806,0,0,0,0,0,0.0786871573081759,0,0,0,0,0,0.0893083584933745,0,0,0.026780907436024,0.0443194253713265,0,0,0.0381749142592133,-0.0266147160392605,0,0,0,0,0,0,0,0,0.0215719522812049,0,0,0,0,-0.0505128349090593,0,0,0,0,0,0,0,0,0,0.0336266623363178,0,0,0,-0.031257175900991,0,0
X002506.SZ,0,0,0.0971255341658939,0,0,0,0,0,0,0,0,0,0,0,0.217961574537014,0,0,0,0,0,0,0,0,0,0,0.094042575970868,0,0.199535271885515,-0.0419045764395561,0,0,0,0,0.0487934868580262,0,0.0696061574868336,0,-0.0574313684842309,0,0,0,-0.343021436413006,0,0.0749017568589739,0,0,0.144054313814424,0,0,0,0,0,0.0117945931373237,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986989910472913,0,0,0,0,0,0.158356899514649,0,0,0,0,0,0,0,0,0,0.221487652910192,0,0,0.0843215664220913,0,0.203180875197415,0.157989435427312,0,0,0,0,0.125975258930029,0,0,0,0,0,-0.0173979836779139,0.0052150083544717,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0.103289746084319,0,0,0.230262729609952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140850356792851,0,0,0,-0.035830000147208,0,0,0,0,0.0602435423417178,0,0,0.136132916068484,0,0,0,0,0,0.180250521489033,0.0364126352869448,0,3.46944695195361e-18,0,0,-0.010503202706896,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,-0.161776415560466,0,0,0.475479428481469,0,0,0,0,0,0,0,0,0,0,0.143034007863714,0,0,0,0,0.0285314336407915,0.0359905218163756,0.160348571542848,0,0,0,0,0,0,0.138964170265185,0.0749646349663147,0,0,0,0,0,0,0,0.0542191140192323,0,0.026680159428291,0,0.00788202444871835,0,0,0,0.00473896140757754,0,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0.0877025121864488,0,0,0,0,0,0,0.0961424637434755,0,0,-0.0186245442374234,0,0.193119328080563,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.08079989178976,0.0428651947472624,0,0,0,0,0.141846047283319,0,0,0,0,0,0.0780698898981006,0,0.0453884348739246,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
Change_TY3M,0,0,0,0.0337653105499746,0,0,0,0.0417299200063299,0,0,0,0,0,0,-0.157920598036784,0,0,0,0,0,0.0440075332038328,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0223559834539139,0,0,-0.152406719888213,0,0.0421236346238897,0,0,0,0,0,0,-0.0490835962147704,0,0,0,0.0583968423706646,0,0,0,0.00687279869777626,-0.0956754039599793,0,0,0,0.0102326156144337,0,0
Slope,0,0,0,0,-0.210846069978803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0916241055302033,0,-0.0497053154331962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107560287215523,0,0,0,0,0,0,-0.121000185565831,0,0,0,0,0.842244585214525,0,0,0,0.290702351453608,0,0
TED,0,0,0,0,0,0,0,0.0984594828960159,0,0.332640857765283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.15763634406503,0,0,0.209957085289461,0.0446060826186782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49910536115687,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0.00711771289609366,0,0,0,0,0,0,0,0,0,-0.0350634173016084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041167917377005,0,0,0,0,0,0,0,-0.0328508612204273,0,0,0.0272642778505088,0.00793315047512195,0,0,0,0,0,0.015829766002598,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.044118447800203,0,0,0,0,0,0,0,0,0.0207781677565868,0,0,0,0,0,0,0,0,0.0110843715674339,0.0214002602361815,0,0,-0.0214656453440118,0.0650200256167421,0,0,0,0,0.0852871043338136,0,0,-0.0403067962013998,0,0.0320597104133319,0,0,0,-0.204713023428461,0,0,0,0,0,0,0,-0.0583094054062606,0.0721311119549283,0,0,0,-0.00199277300453119,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00237697099931368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00227281452128264,0,0,0.000954305690290614,0.000921003507254028,0,0,0,0,0,0,0,0,0,0,0,0.00693293035163229,0,0,0,0,0.00550598259137315,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0.122674272732367,0,0,-0.116433495137716,0,0.640522984182596,-0.11663412134006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173252175187252,0,0,-0.0352858363696194,0,0,-0.177075541764732,-0.144605241120359,0,0.140966717723305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376867520930387,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,4.09849707170404e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00136596947268455,0,0,0,0.0032749386982269,0,0,0,0,0,0.00212586938364774,0,0.000641157576606934,0,0,0,0,0,0,0,0,0,0,0.0149092753542991,-0.0042047956207373,0,0,0,-0.0347940314103071,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.0163388059850179,0,0,0,0,0.0102660881624032,0,0,0,-0.0190182125024008,0,0,0,0,0,-0.00525687932142041,0,0,0,0,0.00804257222145462,0,0.00754547239794601,0,0,0,0,0,0,-0.0245693175744995,0,0.0082810540555509,0,0,0,0,0,0.00483907352509496,0,0,0,0,0,0,0,-0.00723239625027092,0.00481726946101775,0,0,0,0.0922354230874928,0,0
