,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600839.SH,X600522.SH,X600741.SH,X600183.SH,X600066.SH,X002456.SZ,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X600487.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0,0.0376823861583066,0,0,0,0,0,0.0541641992773249,0,0,0.0139320544875099,0,0,0,0,0,0.217608864837189,0,0,0,0,0.0631633735111876,0,0.0801641127095682,0.0698657038248616,0,0,0,0,0.119127594573144,0,0,0,0.0690046662330985,0,0,0,0,0.00913012542493344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0.239129132576427,0,0,0,0,0,0,0,0,0,0.100051482672402,0,0.0239219119380013,0,0,0,0.106574241364646,0,0,0,0,0,0.132867210017194,0,0,0,-0.195179316884153,0,0,0,0,0,0.0611952471232365,0,0,0,0,0,0,0,-0.0214679200935157,0,0,0,0,0,0,0.0856240871224457,-0.0667636987669104,0,-0.0702575214111834,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345640808200215,0,0.269185072322498,0,0,0,0,0,0,0,0.360137862411381,0.201782364726816,0,0,0,0,0,0,-0.0851876655506974,0,0,0,0,0,0,0,0,0,0,0,0,0.0156065683009698,0,-0.0281930547590573,0,0.1988910424488,0,0,0,-0.0846528455665826,0,0,0,0.164627510687437,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0.0602506586814531,0,0.0370803586437547,0,0,0,0,0,0.21260257960425,0,0,0,0,0,0.0192607125630787,0,0,0.0265205871699974,0,0,0,0.0617576715417321,0,0,0,0,0.0169629544049738,0,0,0.044519152045456,-0.0106677753424317,0,0,0,0,0,0,0.0686820732042879,0,0,0,0.0234155464978119,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161200664300305,0,0,0,0.188863941845618,0,0,0,0.120115192657432,0,0,0,-0.0653214618984194,0,0,0.337600603201203,0,0.0318924280688905,0,0,0,0,0.169570728493035,0,0,0,0.0735399791278456,0.0507061158426594,0,0,0,0,-0.0672513532769515,0.113530675773537,0,0,0,0.0559697516265314,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0.0533720852568451,0,0,-0.123785843058889,0,0,0,0,0,0,0,0,0,0,0,0,-0.00282530312885634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399544948430444,0,0,0.360851743421174,0,0,0,0,0,0,0,0.0118496271335726,0,0.158196538026772,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105028866333125,0,0,0,0,0,0.119237244369594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787254854902479,0,0,0,0.09264577823087,0,0,0,0,0.173377937772973,0,0,0.171925868232532,0,0,0.0190631089605998,0,-0.217382878460986,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273038280173902,0,0.0704893203731065,0,0.0205169867802425,0,0,0,0.0379985289938158,0,0,0,-0.051610690441861,0,0,0.0305223621765995,0,0.0976719800627273,0.205242601247772,0,0,0,0,0,0,0,0.196897381263798,0,0.089054107087306,0,0,0,-0.057160552311268,0,-0.0607854200222847,0,0,0.0667849683045231,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.0314118887344463,0.0781625475804565,0,0.0567185559019305,0,0,0.144045635250905,0,0,0.112860024407776,0,0,0,0.0167700923405347,0,0,0,0.0469364884498557,0,0,0,0,0,0,0,0,-0.00979103366638398,0,0.0209838186786568,0,0,0,0,0,0,0,0,0,0,-0.0182643106796433,0,0,0,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117130038713385,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0614497330540102,0,0.0650618755099467,0,0,0,0,0,0,0.154012685544312,0,0,-0.013759809948541,0.382005355857708,0.0505418849907221,0,0,0.0423020302440652,0,0,0,0,0,0,0,-0.0202712676861672,0,0,0,0,0,0,0.0563738284798626,0,0
