,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X002008.SZ,X600487.SH,X000100.SZ,X600498.SH,X300124.SZ,X000661.SZ,X002456.SZ,X600867.SH,X002179.SZ,X600566.SH,X000625.SZ,X300146.SZ,X300142.SZ,X600809.SH,X000157.SZ,X000596.SZ,X600177.SH,X002180.SZ,X600372.SH,X002294.SZ,X600089.SH,X002506.SZ,X600066.SH,X300136.SZ,X600522.SH,X000977.SZ,X002241.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600498.SH,-0.165740761684456,0.0522861704727656,0,0,0,0,0,0.193111603763956,0,0.664539905301341,0,0,0,0,0,0.0357685243841667,0,-0.142577707166191,0,0,0,0,0,0,0,0,-0.163961586347423,0,0,0.05143193862027,0,0,0.0106269091216087,0,0,0,0,0,0,0,0,0,0,0,0.0769626168535769,0,0,0,0,0,0,0,0.0209042641175378,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.108837602192616,0,0,0,0,0.470360550381787,0.0972037723661455,0,0,0,0,0,0.15079946119034,0,0,0.0152389692092884,0,0,0,0,0,0,0,0,0,0,0,0,0.330947514740005,0,0.0235977217679187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473023108435443,-0.053824122674778,0,0,0,0,0,0
X000661.SZ,0,0,-0.12894652469735,0,-0.13004175199903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851344203828779,0,0.466692895000754,0.0692486309060726,-0.257331051311784,0,0,0.0993848012944411,0,0,0,0.274206909075074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0921447473113196,0,0,0.669159377561537,0,-0.0315553244346043,-0.602136544878941,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0.0610256530623706,0,0.343947440390298,0,0,0,0,0,0.202325470236665,0,0,0,0,0.0830172571231739,0,0,0,0,0,0.0341958743842215,-0.0190403022794163,0.0693102848259134,0,0,0.0921557041772718,0,0,0,0,0,0,0,0,0,0,0.386485474847085,0,-0.11436757102673,0,0.193534192269833,0,0,-0.00940829235223128,0,0,0,0,0,0,0
X600867.SH,0,0,-0.684324327923735,0,0,0,0.365976632815959,0,0,0,0,0,0,0.0337757840078319,0,0.227295389703198,0,0,-0.122487407752061,0,0,0.897581769868153,0,0,0,0.174141006056434,0.061992625236249,0,0,0,0,0,0,-0.184820154404058,0,0,0,0,0.432159225489148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200036024630839,0,0.517718759903224,0,0,0,0
X002179.SZ,0,-0.199705222078742,0,0,0,0,0,0,0,0,0,0,0,0,0.11612431860102,-0.0490182547324672,0,0.123221894211099,0,0,0,0,0.0233532975043987,0,0.0195430076889727,0,0,0,0,0,0.0849420947907499,0,0.0992042155613307,0,0,0,0,0,0,0.311548985757791,0,0,0,0,0,0,0.229538001077611,0,0,0.264076900493582,0,0,0,0,0,0,0,0,0
X600566.SH,0,0,0,0.462559203829953,0,0,0,0,0,-0.102102054340309,0,0,0,0,0.00590721849024657,0,0,0.0669984549317853,0,0.0517676457023316,0.123009530036991,0,0,0,0,0.158640685117156,0,0.102898820314711,0.0659389238328496,0.0728632553336213,0,0,-0.176680681479765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313498907557996,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.130956357549445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202320992457478,0,0.129052474774266,0,0,0,0,0,0,-0.0286176255361165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269268140827974,0.0784226406722377,0,0,0,0.00705344623036304,-0.032068405242431,0,0,0,0,0,0
X300146.SZ,0,0,0,0.0758148301119195,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.282341269000859,0.148836340338441,0,0,0,0,0,0,0,0.283741250949391,0,0.12415840335574,0,0,0,0.107592711173898,0,0.0922773319201506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122164503385083,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,-0.0305743893834198,0,0,0,0.0660544747798569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565044804589255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149416084526627,0,6.93889390390723e-18,0,-0.199225376604376,0,0,0,0,-0.444294118079991,0
X600809.SH,0.343643224385334,0.0595620433890253,0,0,0,0.0418945814472193,0.280887748878157,0,0,0,0,0,0,0,0,0,0.050734529604022,0,0,0.0411968100346613,0,0,0,0,0.00362411477809857,0,0,0,0,0,0,0,0,0,0,0,0.0823096364551285,0,0,0,0.0362340935558148,0,0,0,0,0,0,0,0.118956307732836,0,0,-0.0300864740226751,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.0997713549245787,0,0,0,0,0,0,0,0,0,0,0,0,0.0416893688004103,0,0,0,0,0.0391272684839817,0.00694846921654509,0,0,0.188908076392747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552643403243877,0,0.19414610289019,0,0,0,-0.0510805940375443,0,0,0,0,0,0
X000596.SZ,3.46944695195361e-18,0,0,0,0,0.403461130008704,0.361052774258062,0,0,0,0,0,0,0,0,0,0,0,0.14975096506936,0,0.0219503139899301,0,0.0263449352750906,0,0,0,0.0147417616832048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591156252154509,0,0,0,0,0,0,0,-0.00965506369768483,0.0619851792143278,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0.106577173013402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714247278319651,0,0,0,0,0,0,0,0,0.0913950345876623,0,0,0.0551804527992138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223320976828577,0,0,0,-0.000590906738121342,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,-0.00352741409277097,0,0,3.46944695195361e-18,0,0,0,0,0,0.0587065499767673,0,0,0,0,0,0,0,0,0.446945928809284,0,0,0,0.153760448178058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166150120929708,0,0,0,0,0,0,-0.0236271038157376,0,0,0,0,0,0,0
X600372.SH,0,0,0.0755720821526803,0,0,0,-0.0426674983284656,0,0,0.0175683395518144,0.359203080733994,0,0,-0.157381744816464,0.0786269895035345,0,0,0,0.201365500292466,0.181733306125285,0,0,0,0,0,0,-0.0349066300392348,0,0,0.0909669778009027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207289498392822,0,0.00531539253544498,0,0,0,0,0.0104734129568594,0.0313999067697455,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0.0144939284264878,0,0,0,0,0,0,0,0,0,0,0.039053143716276,0,0,0,0,0,0,0.0476516306406391,0,0,0,0.00948803767294092,0,0.0989006725296396,0,0,0.112131950442275,0,0.00498076781647677,0.355048923370036,0,0,0,0.00940544658324937,0,0,0,0,0,0,0,0.136529303865805,0,0,0,0,0,-0.0258874083959698,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526122812938276,0,0,0,0.0862216789098185,0,0,0,0,0,0,0.0732512202588111,0,0,0,0,0,0.189826422032958,0,0.0660744388776298,0,0.0571927080564077,0,0,0,-0.043783406027456,0,0,0,0,0,0
